,1996-03-31,1996-06-30,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedDate,1996-04-17,1996-07-17,1996-10-16,1997-01-15,1997-04-16,1997-07-16,1997-10-15,1998-01-14,1998-04-15,1998-07-15,1998-10-14,1999-01-13,1999-04-14,1999-07-14,1999-10-13,2000-01-19,2000-04-19,2000-07-18,2000-10-18,2000-12-31,2001-04-18,2001-07-18,2001-10-18,2002-01-16,2002-04-18,2002-07-16,2002-10-16,2003-01-15,2003-04-16,2003-07-16,2003-10-15,2004-01-14,2004-04-14,2004-07-14,2004-10-13,2005-01-12,2005-04-13,2005-07-13,2005-10-11,2006-01-18,2006-04-19,2006-07-19,2006-10-18,2007-01-17,2007-04-25,2007-07-25,2007-10-22,2008-01-22,2008-04-23,2008-07-21,2008-10-21,2009-01-21,2009-04-22,2009-07-21,2009-10-19,2010-01-25,2010-04-20,2010-07-20,2010-10-18,2011-01-18,2011-04-20,2011-07-19,2011-10-18,2012-01-24,2012-04-24,2012-07-24,2012-10-25,2013-01-23,2013-04-23,2013-07-23,2013-10-28,2014-01-27,2014-04-23,2014-07-22,2014-10-20,2015-01-27,2015-04-27,2015-07-21,2015-10-27,2016-01-26,2016-04-26,2016-07-26,2016-10-25,2017-01-31,2017-05-02,2017-08-01,2017-11-02,2018-02-01,2018-05-01,2018-07-31,2018-11-01,2019-01-29,2019-04-30,2019-07-30,2019-10-30,2020-01-28,2020-04-30,2020-07-30,2020-10-29,2021-01-27,2021-04-28,2021-07-27,2021-10-28,2022-01-27,2022-04-28,2022-07-28,2022-10-27,2023-02-02,2023-05-04,2023-08-03,2023-11-02
reportedEPS,-0.07,-0.02,0.0018,-0.03,-0.05,-0.02,-0.0114,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,-0.0097,0.01,0.003,0.0034,0.01,0.002,0.01,-0.0022,-0.0004,0.0007,0.0009,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.03,0.03,0.04,0.06,0.0425,0.0425,0.045,0.0625,0.0475,0.0475,0.065,0.13,0.12,0.125,0.165,0.23,0.2275,0.2775,0.2525,0.495,0.44,0.3325,0.31,0.4925,0.36,0.2675,0.295,0.5175,0.415,0.32,0.355,0.765,0.5825,0.4625,0.49,0.82,0.475,0.355,0.4175,0.84,0.525,0.4175,0.5175,0.9725,0.6825,0.585,0.73,1.05,0.62,0.55,0.76,1.25,0.64,0.65,0.73,1.68,1.4,1.3,1.24,2.1,1.52,1.2,1.29,1.88,1.52,1.26,1.46
estimatedEPS,-0.05,-0.04,-0.01,-0.02,-0.04,-0.02,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,,,,0.01,,0.01,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.06,0.0375,0.0375,0.04,0.05,0.04,0.0425,0.05,0.075,0.0875,0.11,0.145,0.1925,0.1925,0.2075,0.265,0.3625,0.3575,0.37,0.3125,0.48,0.3575,0.2625,0.285,0.5025,0.365,0.3075,0.3275,0.65,0.54,0.4525,0.47,0.8075,0.5,0.345,0.415,0.8025,0.505,0.3925,0.4675,0.965,0.6725,0.545,0.7,1.04,0.59,0.53,0.71,1.14,0.56,0.51,0.7,1.41,0.99,1.01,1.24,1.89,1.43,1.16,1.27,1.94,1.43,1.19,1.39
surprise,-0.02,0.02,0.0118,-0.01,-0.01,0,,0,0,0,-0.01,0,0,0,0,0,0,0,0,,,,,0,,0,,,,,,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0.005,0.005,0.005,0.0125,0.0075,0.005,0.015,0.055,0.0325,0.015,0.02,0.0375,0.035,0.07,-0.0125,0.1325,0.0825,-0.0375,-0.0025,0.0125,0.0025,0.005,0.01,0.015,0.05,0.0125,0.0275,0.115,0.0425,0.01,0.02,0.0125,-0.025,0.01,0.0025,0.0375,0.02,0.025,0.05,0.0075,0.01,0.04,0.03,0.01,0.03,0.02,0.05,0.11,0.08,0.14,0.03,0.27,0.41,0.29,0,0.21,0.09,0.04,0.02,-0.06,0.09,0.07,0.07
surprisePercentage,-40,50,118,-50,-25,0,,0,0,0,-50,0,0,0,0,0,0,0,0,,,,,0,,0,,,,,,0,0,0,100,0,0,0,0,0,0,0,0,33.3333,50,0,33.3333,0,13.3333,13.3333,12.5,25,18.75,11.7647,30,73.3333,37.1429,13.6364,13.7931,19.4805,18.1818,33.7349,-4.717,36.5517,23.0769,-10.1351,-0.8,2.6042,0.6993,1.9048,3.5088,2.9851,13.6986,4.065,8.3969,17.6923,7.8704,2.2099,4.2553,1.548,-5,2.8986,0.6024,4.6729,3.9604,6.3694,10.6952,0.7772,1.487,7.3394,4.2857,0.9615,5.0847,3.7736,7.0423,9.6491,14.2857,27.451,4.2857,19.1489,41.4141,28.7129,0,11.1111,6.2937,3.4483,1.5748,-3.0928,6.2937,5.8824,5.036
startPeriod,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31
endPeriod,1996-03-31,1996-06-30,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,,0.26,0.22,0.25,0.2,0.18,0.26,0.22,0.25,0.28,0.39,0.37,0.42,0.45,0.72,1.05,1.34,1.25,1.15,0.48,0.42,0.48,0.45,0.43,0.46,0.47,0.34,0.31,0.27,0.35,0.42,0.45,0.5,0.61,0.69,1.24,1.62,1.59,1.95,2.69,3.09,2.64,2.78,3.33,3.49,4.56,5.54,7.25,7.16,6.87,6.46,4.16,3.93,5.23,6.75,7.64,8.48,9.96,10.53,11.67,13.03,12.68,15.1,15.24,22.19,23.0,25.18,24.17,19.82,16.63,18.35,20.54,20.05,23.76,25.93,29.94,33.4,33.63,33.24,30.95,27.6,28.1,29.05,29.67,36.12,39.16,41.24,44.3,45.88,48.55,57.42,58.37,49.42,53.83,56.6,73.49,81.96,93.1,137.98,138.79,145.09,137.07,157.26,182.13,182.94,178.49,176.15,157.5,162.47,190.07,198.23
stockLow,,0.18,0.14,0.19,0.14,0.13,0.11,0.11,0.12,0.22,0.25,0.25,0.29,0.3,0.4,0.53,0.77,0.72,0.45,0.24,0.26,0.33,0.26,0.26,0.36,0.29,0.25,0.24,0.24,0.23,0.33,0.34,0.38,0.46,0.51,0.67,1.12,1.18,1.3,1.71,2.06,1.98,1.79,2.59,2.92,3.2,3.99,5.38,4.12,5.09,3.59,2.83,2.79,3.71,4.8,6.45,6.79,7.12,8.41,9.92,11.48,11.09,11.89,12.65,14.61,18.65,20.36,17.9,14.96,13.75,14.33,16.94,17.63,18.26,23.02,23.8,26.16,30.77,23.0,26.39,23.1,22.37,23.58,26.02,28.69,35.01,35.6,38.12,37.56,40.16,45.85,36.65,35.5,42.57,48.15,53.78,53.15,59.22,89.14,107.32,116.21,121.15,135.76,138.27,150.1,129.04,133.77,125.87,124.17,159.78,167.62
