,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,4556000000,4931000000,5102000000,5253000000,6028000000,5864000000,6583000000,7023000000,8962000000,10047000000,10691000000,11153000000,12419000000,66915000000,67502000000,67811000000,67580000000,67634000000,67967000000,67626000000
totalCurrentAssets,3540000000,3677000000,3754000000,3912000000,4597000000,4390000000,5109000000,5500000000,6143000000,7197000000,7818000000,7988000000,8583000000,13369000000,13462000000,14420000000,15019000000,15658000000,16505000000,16688000000
cashAndCashEquivalentsAtCarryingValue,1078000000,978000000,963000000,1156000000,1466000000,1330000000,1775000000,1296000000,1595000000,1763000000,2623000000,2440000000,2535000000,4740000000,4964000000,3398000000,4835000000,3825000000,3841000000,3561000000
cashAndShortTermInvestments,1156000000,1194000000,1128000000,1209000000,1503000000,1385000000,1775000000,1771000000,2290000000,3116000000,3793000000,3608000000,3608000000,6532000000,5992000000,5591000000,5855000000,5939000000,6285000000,5785000000
inventory,845000000,955000000,1015000000,1040000000,982000000,1056000000,1324000000,1292000000,1399000000,1653000000,1765000000,1902000000,1955000000,2431000000,2648000000,3369000000,3771000000,4235000000,4567000000,4445000000
currentNetReceivables,1235000000,1644000000,1731000000,1586000000,2056000000,1896000000,1799000000,2138000000,2189000000,2185000000,2026000000,2229000000,3035000000,3681000000,4053000000,4340000000,5226000000,None,4312000000,5055000000
totalNonCurrentAssets,1016000000,1040000000,1348000000,1341000000,1431000000,1474000000,1474000000,1523000000,2819000000,2850000000,2873000000,3165000000,4752000000,53546000000,54047000000,53391000000,53813000000,51976000000,51462000000,50938000000
propertyPlantEquipment,348000000,377000000,458000000,453000000,500000000,540000000,585000000,595000000,641000000,681000000,671000000,717000000,702000000,1406000000,1441000000,1486000000,1513000000,1500000000,1541000000,1566000000
accumulatedDepreciationAmortizationPPE,707000000,724000000,745000000,769000000,768000000,794000000,837000000,890000000,912000000,975000000,1005000000,1052000000,1134000000,1186000000,1311000000,1396000000,1507000000,1593000000,1682000000,1730000000
intangibleAssets,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,49915000000,50359000000,49349000000,48295000000,47468000000,46775000000,46136000000
intangibleAssetsExcludingGoodwill,226000000,222000000,231000000,220000000,210000000,194000000,174000000,194000000,229000000,203000000,204000000,203000000,0,26832000000,26159000000,25162000000,24118000000,23291000000,22598000000,21950000000
goodwill,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,289000000,23083000000,24200000000,24187000000,24177000000,24177000000,24177000000,24186000000
