,2007-01-31,2007-04-30,2007-07-31,2007-10-31,2008-01-31,2008-04-30,2008-07-31,2008-10-31,2009-01-31,2009-04-30,2009-07-31,2009-10-31,2010-01-31,2010-04-30,2010-07-31,2010-10-31,2011-01-31,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31
reportedDate,2007-03-08,2007-06-26,2007-09-05,2007-12-04,2008-03-03,2008-06-24,2008-09-09,2008-12-03,2009-03-09,2009-06-23,2009-09-08,2009-12-08,2010-03-09,2010-06-24,2010-09-08,2010-12-07,2011-03-08,2011-06-21,2011-09-07,2011-12-06,2012-03-06,2012-06-26,2012-09-05,2012-12-04,2013-03-05,2013-06-25,2013-08-27,2013-11-26,2014-03-04,2014-07-08,2014-09-03,2014-11-25,2015-03-03,2015-06-30,2015-09-01,2015-12-08,2016-03-08,2016-06-28,2016-08-30,2016-12-06,2017-03-07,2017-06-27,2017-08-29,2017-12-05,2018-03-06,2018-06-26,2018-09-05,2018-11-29,2019-03-05,2019-06-25,2019-09-04,2019-12-03,2020-03-03,2020-06-23,2020-09-09,2020-12-08,2021-03-09,2021-06-29,2021-09-08,2021-12-07,2022-03-03,2022-06-28,2022-09-07,2022-12-06,2023-03-06,2023-06-27,2023-09-05
reportedEPS,0.57,0.27,0.18,0.24,0.28,0.3,0.22,0.41,0.21,0.27,-0.17,0.1,0.3,0.71,-0.16,0.01,0.52,0.79,0.01,0.3,0.26,0.8,-0.06,0.39,0.17,-0.32,-0.17,0.07,0.49,0.35,-0.16,-0.13,0.1,0.31,-0.24,0.19,0.27,0.23,-0.51,-0.18,-0.09,1.3,-0.19,0.29,0.09,0.77,0.85,0.29,0.35,0.26,0.74,0.34,-0.01,0.75,0.44,0.48,0.14,1.04,-0.17,0.78,0.32,0.3,-0.1,-0.2678,0.33,0.99,1
estimatedEPS,0.25,0.26,0.17,0.21,0.26,0.27,0.18,0.27,0.28,0.26,0.12,0.05,0.32,0.59,-0.22,-0.06,0.38,0.69,0.01,0.2,0.41,0.72,-0.03,0.22,0.37,-0.1,-0.07,0.07,0.19,0.22,-0.11,-0.11,0.06,0.18,-0.15,-0.09,0.05,-0.06,-0.17,-0.01,-0.34,1.03,-0.34,-0.06,0.05,0.54,0.29,0.16,0.14,0.26,0.36,0.29,0.13,0.7,0.4,0.31,0.0033,0.81,-0.24,0.62,0.3,0.39,0.11,0.2,0.41,1.01,0.26
surprise,0.32,0.01,0.01,0.03,0.02,0.03,0.04,0.14,-0.07,0.01,-0.29,0.05,-0.02,0.12,0.06,0.07,0.14,0.1,0,0.1,-0.15,0.08,-0.03,0.17,-0.2,-0.22,-0.1,0,0.3,0.13,-0.05,-0.02,0.04,0.13,-0.09,0.28,0.22,0.29,-0.34,-0.17,0.25,0.27,0.15,0.35,0.04,0.23,0.56,0.13,0.21,0,0.38,0.05,-0.14,0.05,0.04,0.17,0.1367,0.23,0.07,0.16,0.02,-0.09,-0.21,-0.4678,-0.08,-0.02,0.74
surprisePercentage,128,3.8462,5.8824,14.2857,7.6923,11.1111,22.2222,51.8519,-25,3.8462,-241.6667,100,-6.25,20.339,27.2727,116.6667,36.8421,14.4928,0,50,-36.5854,11.1111,-100,77.2727,-54.0541,-220,-142.8571,0,157.8947,59.0909,-45.4545,-18.1818,66.6667,72.2222,-60,311.1111,440,483.3333,-200,-1700,73.5294,26.2136,44.1176,583.3333,80,42.5926,193.1034,81.25,150,0,105.5556,17.2414,-107.6923,7.1429,10,54.8387,4142.4242,28.3951,29.1667,25.8065,6.6667,-23.0769,-190.9091,-233.9,-19.5122,-1.9802,284.6154
startPeriod,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31
endPeriod,2007-01-31,2007-04-30,2007-07-31,2007-10-31,2008-01-31,2008-04-30,2008-07-31,2008-10-31,2009-01-31,2009-04-30,2009-07-31,2009-10-31,2010-01-31,2010-04-30,2010-07-31,2010-10-31,2011-01-31,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31
stockHigh,,24.5,23.43,26.93,26.52,24.35,32.98,36.37,40.5,41.22,32.9,31.25,35.38,34.11,28.17,24.47,29.91,35.96,36.49,34.28,33.87,31.87,27.82,24.88,23.7,23.18,23.97,27.48,31.5,41.67,36.5,33.85,30.96,28.92,29.22,27.0,30.65,29.94,32.44,30.08,29.42,29.96,40.1,55.75,58.99,58.06,76.32,121.32,103.46,95.38,71.01,63.96,72.7,72.7,80.77,87.0,143.72,142.29,115.95,106.32,96.12,114.11,98.22,106.54,94.32,109.22,112.39
stockLow,,20.5,19.76,17.97,20.26,18.44,22.82,25.08,28.5,18.5,22.41,26.28,25.64,21.64,20.7,21.25,22.25,27.2,26.81,24.01,27.77,23.7,21.14,21.56,19.25,16.98,19.0,20.78,26.73,27.34,30.2,27.2,24.73,25.0,25.01,19.1,21.86,23.13,26.02,22.16,23.4,25.42,28.13,36.71,41.53,41.6,49.69,73.0,63.01,64.05,53.0,48.61,57.51,45.0,57.49,59.13,75.13,97.77,91.3,83.31,52.03,53.8,70.08,74.91,80.58,83.55,88.24
stockAverage,,22.55,21.34,21.86,24.19,21.73,26.91,31.93,34.41,27.65,28.39,28.47,29.9,25.21,24.52,22.9,25.91,30.17,30.82,28.75,30.83,27.18,23.87,23.44,21.71,19.91,20.51,23.24,28.53,34.95,32.91,30.4,27.55,26.62,26.65,22.55,26.01,26.85,28.73,25.51,26.8,27.44,33.39,47.09,50.97,49.68,63.4,94.07,79.86,73.58,61.69,55.34,63.92,58.68,70.96,72.57,92.92,116.96,105.34,94.11,71.95,80.82,84.0,89.28,87.09,93.75,98.65
