,2018-10-27,2019-01-26,2019-04-30,2019-07-27,2019-10-26,2020-01-25,2020-04-30,2020-08-01,2020-10-31,2021-01-30,2021-04-30,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30,2022-10-29,2023-01-28,2023-04-30,2023-07-29
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,486567000,498963000,508844000,534582000,544493000,559080000,584954000,577819000,588007000,590992000,928566000,908553000,925307000,905263000,914200000,896654000,891682000,921202000,824577000,826060000
totalCurrentAssets,421912000,436875000,469588000,455329000,456152000,457334000,503927000,486792000,507599000,521544000,401638000,344918000,364077000,354522000,368909000,357268000,357532000,390881000,477002000,481688000
cashAndCashEquivalentsAtCarryingValue,151255000,149369000,172708000,137094000,130742000,131496000,255142000,246839000,280099000,324543000,148741000,93924000,104770000,82528000,77231000,93183000,101417000,78276000,132859000,105871000
cashAndShortTermInvestments,289791000,294184000,323195000,300728000,292377000,279998000,302649000,318173000,347236000,373042000,180712000,111877000,111081000,86497000,101947000,105838000,101417000,78276000,132859000,105871000
inventory,46096000,50379000,54056000,56336000,52769000,65156000,45535000,45530000,51779000,53104000,71646000,84852000,81944000,89616000,90629000,98603000,109810000,125942000,138814000,175396000
currentNetReceivables,80293000,85696000,84919000,90659000,102961000,105347000,149497000,None,101274000,87705000,134279000,133217000,157291000,166310000,164806000,141459000,133061000,171340000,193286000,186472000
totalNonCurrentAssets,65321000,62650000,39715000,61637000,88341000,101746000,81027000,91027000,80408000,69448000,526928000,563635000,561230000,550741000,545291000,539386000,534150000,530321000,347575000,344372000
propertyPlantEquipment,20460000,20542000,16905000,17747000,20571000,19877000,21694000,22907000,22868000,22920000,58896000,66563000,68217000,65377000,62296000,61862000,52415000,45388000,39795000,39770000
accumulatedDepreciationAmortizationPPE,None,None,75463000,None,None,None,79993000,None,None,None,92802000,None,None,None,122134000,None,None,None,162998000,None
intangibleAssets,666000,562000,459000,24807000,24032000,20697000,19977000,19268000,18553000,17892000,420473000,452884000,446508000,438989000,431571000,424800000,423623000,419997000,224378000,221337000
intangibleAssetsExcludingGoodwill,666000,562000,459000,16727000,15952000,14357000,13637000,12928000,12213000,11552000,106268000,117855000,110620000,103825000,97224000,91009000,88660000,83442000,43577000,40540000
goodwill,700000,562000,459000,8080000,8080000,6340000,6340000,6340000,6340000,6340000,314205000,335029000,335888000,335164000,334347000,333791000,334963000,336555000,180801000,180797000
investments,168995000,172769000,159873000,165828000,170166000,156764000,125011000,None,88113000,59721000,44121000,28118000,17582000,16357000,40184000,30362000,16434000,16017000,18644000,18623000
longTermInvestments,30459000,27954000,9386000,4887000,13478000,26409000,15030000,20338000,20976000,11222000,12156000,10165000,11271000,12388000,15433000,17707000,22462000,19319000,23613000,22578000
shortTermInvestments,138536000,144815000,150487000,163634000,161635000,148502000,47507000,71334000,67137000,48499000,31971000,17953000,6311000,3969000,24716000,12655000,24716000,24716000,None,None
otherCurrentAssets,5732000,6616000,7418000,7606000,8045000,6833000,6246000,5941000,7310000,7693000,15001000,14972000,13761000,12099000,11527000,11368000,13244000,15323000,12043000,13949000
otherNonCurrentAssets,1628000,884000,5821000,14196000,13339000,16995000,10605000,9640000,102000,312000,10440000,3840000,6276000,5881000,1932000,1961000,1972000,8741000,5220000,7312000
totalLiabilities,42391000,43397000,46273000,53076000,54133000,68339000,75053000,57890000,64101000,65802000,316473000,310313000,325405000,302835000,306231000,296731000,284199000,299689000,273607000,251515000
totalCurrentLiabilities,39491000,41786000,44866000,43108000,44791000,60476000,66953000,46323000,53478000,56128000,96185000,82660000,101429000,87483000,101391000,95876000,103854000,116397000,121334000,107189000
currentAccountsPayable,14149000,11629000,15972000,11450000,11022000,14269000,19859000,11740000,14225000,15837000,24841000,18046000,21443000,15118000,19244000,21945000,26317000,26420000,31355000,28824000
deferredRevenue,None,None,2962000,None,2550000,10633000,7899000,None,2957000,4279000,7183000,9117000,10322000,6864000,8968000,10258000,7074000,22553000,16645000,19940000
currentDebt,None,None,None,None,2290000,2083000,3380000,None,None,None,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,7500000,10000000
shortTermDebt,15922000,19220000,18507000,2771000,2290000,2083000,3380000,4478000,4030000,4403000,16154000,16747000,16440000,16150000,16819000,17029000,17564000,17794000,15729000,18272000
totalNonCurrentLiabilities,2900000,1628000,1403000,2349000,9345000,7886000,8100000,11604000,10682000,9686000,220274000,227576000,223644000,215065000,204599000,200608000,180345000,183292000,152273000,144326000
capitalLeaseObligations,None,None,None,10368000,9133000,9639000,10213000,14822000,13452000,12829000,25257000,29795000,28105000,26828000,28734000,27400000,27607000,30424000,29418000,27726000
longTermDebt,None,None,None,None,None,None,None,None,None,None,200000000,197500000,195000000,192500000,190000000,187500000,167500000,167500000,135000000,130000000
currentLongTermDebt,None,None,None,None,2290000,2083000,3380000,None,None,None,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,7500000,10000000
longTermDebtNoncurrent,None,None,None,None,None,None,None,None,None,None,187512000,185141000,182769000,180398000,177840000,175481000,155622000,155763000,125904000,118537000
