Date,Open,High,Low,Close,Adj Close,Volume,Close_Pct_Change,Price Change,RSI,MACD,Signal_Line,MACD_Histogram
1998-08-18,12.875,13.125,12.875,13.0,8.973017692565918,5783000,,,,0.0,0.0,0.0
1998-08-19,13.0,13.25,13.0,13.0,8.973017692565918,388700,0.0,0.0,,0.0,0.0,0.0
1998-08-20,13.125,13.25,13.0,13.0,8.973017692565918,348500,0.0,0.0,,0.0,0.0,0.0
1998-08-21,13.0,13.0,13.0,13.0,8.973017692565918,804000,0.0,0.0,,0.0,0.0,0.0
1998-08-24,13.0,13.0,13.0,13.0,8.973017692565918,119700,0.0,0.0,,0.0,0.0,0.0
1998-08-25,13.0,13.0,12.875,13.0,8.973017692565918,294100,0.0,0.0,,0.0,0.0,0.0
1998-08-26,13.0,13.0,12.125,12.25,8.455344200134277,383800,-5.769224024382891,-0.75,,-0.05982905982905784,-0.01196581196581157,-0.04786324786324627
1998-08-27,12.25,12.375,10.75,11.125,7.678832054138184,435300,-9.183684633249612,-1.125,,-0.19576545644921595,-0.04872574086249245,-0.1470397155867235
1998-08-28,11.375,11.375,10.0,10.0,6.902323246002197,192400,-10.112329618115812,-1.125,,-0.38978097566501724,-0.1169367878229974,-0.2728441878420198
1998-08-31,10.0,10.125,7.625,8.125,5.60813570022583,150800,-18.750028065201906,-1.875,,-0.6869181377211007,-0.23093305780261808,-0.4559850799184826
1998-09-01,8.25,9.0,6.6875,8.5,5.866973400115967,440700,4.615396519019921,0.375,,-0.8819752517226345,-0.36114149658662137,-0.5208337551360132
1998-09-02,8.5,10.5,8.5,9.5625,6.600345611572266,509200,12.500009143416314,1.0625,,-0.9399889421600474,-0.4769109857013066,-0.4630779564587408
1998-09-03,9.75,9.75,8.5,8.75,6.039532661437988,165900,-8.496720977019967,-0.8125,,-1.039543953845655,-0.5894375793301763,-0.45010637451547875
1998-09-04,9.0,9.0,8.125,8.375,5.780694961547852,155700,-4.2857239856123,-0.375,19.16666666666667,-1.1356107697948268,-0.6986722174231064,-0.4369385523717204
1998-09-08,9.0,10.0,8.75,9.875,6.816042423248291,149300,17.910432371667873,1.5,32.638888888888886,-1.0782772407544918,-0.7745932220893834,-0.3036840186651084
