,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,165223000,162987000,278591000,535166000,1554150000,1600934000,893171000,1843138000,297625000,-248591000,148826000,80362000,283895000,344605000,331000000
totalRevenue,190630000,186382000,315357000,585112000,1801112000,2227962000,1311908000,2498463000,1166436000,808325000,590339000,629108000,772529000,707911000,674148000
costOfRevenue,25407000,23395000,36766000,49946000,246962000,627028000,418737000,655325000,868811000,1056916000,441513000,548746000,488634000,363306000,343148000
costofGoodsAndServicesSold,25407000,23395000,36766000,49946000,234066000,335426000,197251000,501181000,277826000,167187000,101876000,82991000,96369000,108200000,90577000
operatingIncome,38775000,42086000,101505000,226585000,987713000,874725000,291808000,922324000,-554463000,-1044389000,-556484000,-554872000,-123875000,-73575000,-79825000
sellingGeneralAndAdministrative,58958000,51988000,71433000,97501000,239221000,443928000,348037000,541896000,613782000,611063000,415045000,470785000,312737000,342841000,330808000
researchAndDevelopment,47138000,60777000,73319000,90498000,184225000,291461000,356264000,459611000,570664000,609249000,556338000,590103000,358031000,320667000,322756000
operatingExpenses,151855000,144296000,213852000,358527000,813399000,1353237000,1020100000,1576139000,1720899000,1852714000,1146823000,1183980000,896404000,781486000,753973000
investmentIncomeNet,,,,,,,,,,,,,,,
netInterestIncome,,,,,3320000,6481000,8389000,-21515000,-11684000,8858000,80271000,160610000,219286000,179692000,18646000
interestIncome,,,,,3320000,7229000,15361000,-75000,10454000,32514000,101778000,182210000,240822000,201364000,39467000
interestExpense,,,,,0,748000,6972000,21440000,22138000,23656000,21507000,21600000,21536000,21672000,20821000
nonInterestIncome,,,,,2858000,-5261000,-14042000,29964000,-7389000,-107683000,-77181000,163795000,-16892000,17900000,81209000
otherNonOperatingIncome,-3866000,-3280000,1211000,6183000,8953000,-5096000,-13976000,-10344000,-32844000,-172524000,-65699000,5594000,-20265000,16564000,135307000
depreciation,,,,,,,,,,,,,,,
depreciationAndAmortization,6894000,7484000,8007000,8577000,6900000,8300000,12300000,17800000,25900000,26400000,27700000,26100000,26400000,21500000,13200000
incomeBeforeTax,34909000,38806000,102716000,232768000,996666000,868881000,270860000,890540000,-609445000,-1240569000,-643690000,-570878000,-165676000,-78683000,34661000
incomeTaxExpense,2936000,6546000,21417000,55983000,225203000,-737468000,-135240000,50332000,-179786000,-146915000,-99055000,-13877000,-86780000,18722000,36926000
interestAndDebtExpense,,,,,0,748000,6972000,21440000,22138000,23656000,21507000,21600000,21536000,3772000,-60770000
netIncomeFromContinuingOperations,31973000,32260000,81299000,176785000,771463000,1606349000,406100000,840208000,-429659000,-1093654000,-544635000,-557001000,-78896000,-97405000,-2265000
comprehensiveIncomeNetOfTax,31162000,33547000,84143000,180442000,767325000,1607005000,402894000,837245000,-430154000,-1107947000,-562945000,-559114000,-68699000,-102788000,-12586000
ebit,38775000,42086000,101505000,226585000,996666000,869629000,277832000,911980000,-587307000,-1216913000,-622183000,-549278000,-144140000,-57011000,55482000
ebitda,45669000,49570000,109512000,235162000,1003566000,877929000,290132000,929780000,-561407000,-1190513000,-594483000,-523178000,-117740000,-35511000,68682000
netIncome,31973000,32260000,81299000,176785000,771463000,1606349000,406100000,840208000,-429659000,-1093654000,-544635000,-557001000,-78896000,-97405000,-2265000
startPeriod,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31
endPeriod,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,,,,,,429.54,294.0,368.9,261.63,198.08,116.3,78.29,87.63,74.31,114.43
stockLow,,,,,,208.0,213.22,224.51,150.12,40.83,44.15,31.83,31.55,46.43,68.15
stockAverage,,,,,,259.74,246.56,290.37,196.4,97.48,69.55,52.88,59.76,59.59,84.09
