,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,232792000000,245349000000,257101000000,263044000000,275909000000,273403000000,278492000000,299243000000,319616000000,327095000000,335387000000,347403000000,359268000000,357096000000,355185000000,358255000000,365264000000,369491000000,383044000000,396711000000
totalCurrentAssets,135676000000,138207000000,147437000000,148358000000,152578000000,147018000000,149069000000,164369000000,174296000000,172137000000,175697000000,184110000000,188143000000,177853000000,172371000000,166109000000,164795000000,161985000000,168788000000,176310000000
cashAndCashEquivalentsAtCarryingValue,16701000000,19148000000,16587000000,16032000000,18498000000,19644000000,17742000000,20129000000,26465000000,26622000000,23630000000,23719000000,20945000000,20886000000,17936000000,21984000000,21879000000,25924000000,25929000000,30702000000
cashAndShortTermInvestments,109140000000,113488000000,121056000000,121177000000,119675000000,117229000000,121080000000,132596000000,136694000000,135104000000,135863000000,142003000000,139649000000,133970000000,124997000000,116259000000,113762000000,115102000000,118332000000,119935000000
inventory,1107000000,1053000000,964000000,1401000000,999000000,889000000,815000000,835000000,728000000,888000000,907000000,1278000000,1170000000,1369000000,1980000000,3156000000,2670000000,2315000000,2231000000,2957000000
currentNetReceivables,21193000000,19260000000,21317000000,21081000000,27492000000,23735000000,21595000000,25513000000,31384000000,28499000000,32851000000,34800000000,40270000000,35622000000,37073000000,36176000000,40258000000,36036000000,38804000000,41020000000
totalNonCurrentAssets,97116000000,107142000000,109664000000,114686000000,123331000000,126385000000,129423000000,134874000000,146720000000,68952000000,69593000000,70162000000,172625000000,76425000000,77991000000,85083000000,202772000000,92466000000,95440000000,97154000000
propertyPlantEquipment,59719000000,60528000000,64891000000,69252000000,73646000000,87966000000,78748000000,81636000000,84749000000,87606000000,91697000000,94631000000,97599000000,104218000000,106223000000,108363000000,112668000000,117560000000,121208000000,125705000000
accumulatedDepreciationAmortizationPPE,22788000000,24730000000,26539000000,28153000000,30561000000,,,,41713000000,,,,49414000000,,,,59042000000,,,
