,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedDate,2004-10-21,2005-02-01,2005-04-21,2005-07-21,2005-10-20,2006-01-31,2006-04-20,2006-07-20,2006-10-19,2007-01-31,2007-04-19,2007-07-19,2007-10-18,2008-01-31,2008-04-17,2008-07-17,2008-10-16,2009-01-22,2009-04-16,2009-07-16,2009-10-15,2010-01-21,2010-04-15,2010-07-15,2010-10-14,2011-01-20,2011-04-14,2011-07-14,2011-10-13,2012-01-19,2012-04-12,2012-07-19,2012-10-18,2013-01-22,2013-04-18,2013-07-18,2013-10-17,2014-01-30,2014-04-16,2014-07-17,2014-10-16,2015-01-29,2015-04-23,2015-07-16,2015-10-22,2016-02-01,2016-04-21,2016-07-28,2016-10-27,2017-01-26,2017-04-27,2017-07-24,2017-10-26,2018-02-01,2018-04-23,2018-07-23,2018-10-25,2019-02-04,2019-04-29,2019-07-25,2019-10-28,2020-02-03,2020-04-28,2020-07-30,2020-10-29,2021-02-02,2021-04-27,2021-07-27,2021-10-26,2022-02-01,2022-04-26,2022-07-26,2022-10-25,2023-02-02,2023-04-25,2023-07-25,2023-10-24
reportedEPS,0.0175,0.023,0.0325,0.034,0.038,0.0385,0.0575,0.0625,0.0655,0.0795,0.092,0.089,0.098,0.111,0.121,0.116,0.123,0.1275,0.129,0.134,0.1475,0.17,0.169,0.1615,0.191,0.219,0.202,0.2185,0.243,0.2375,0.252,0.253,0.2255,0.265,0.2895,0.239,0.2685,0.3005,0.3135,0.304,0.3175,0.344,0.3285,0.3495,0.3675,0.4335,0.375,0.421,0.453,0.468,0.3865,0.2505,0.4785,0.485,0.6665,0.227,0.653,0.6385,0.475,0.7105,0.506,0.7675,0.4935,0.51,0.82,1.12,1.31,1.36,1.4,1.53,1.23,1.21,1.06,1.05,1.17,1.44,1.55
estimatedEPS,0.014,0.0195,0.023,0.0305,0.034,0.044,0.0495,0.0555,0.0605,0.073,0.0825,0.09,0.0945,0.111,0.113,0.1185,0.1185,0.124,0.123,0.127,0.1355,0.162,0.165,0.163,0.1675,0.2025,0.2025,0.1965,0.2185,0.2625,0.2415,0.251,0.2665,0.2605,0.2665,0.2695,0.2585,0.305,0.3205,0.312,0.3265,0.3555,0.33,0.335,0.3605,0.4055,0.3985,0.402,0.4315,0.4825,0.3695,0.2245,0.4165,0.499,0.464,0.4795,0.521,0.541,0.5305,0.565,0.621,0.6265,0.5165,0.41,0.56,0.8,0.79,0.97,1.17,1.37,1.3,1.28,1.25,1.18,1.07,1.34,1.45
surprise,0.0035,0.0035,0.0095,0.0035,0.004,-0.0055,0.008,0.007,0.005,0.0065,0.0095,-0.001,0.0035,0,0.008,-0.0025,0.0045,0.0035,0.006,0.007,0.012,0.008,0.004,-0.0015,0.0235,0.0165,-0.0005,0.022,0.0245,-0.025,0.0105,0.002,-0.041,0.0045,0.023,-0.0305,0.01,-0.0045,-0.007,-0.008,-0.009,-0.0115,-0.0015,0.0145,0.007,0.028,-0.0235,0.019,0.0215,-0.0145,0.017,0.026,0.062,-0.014,0.2025,-0.2525,0.132,0.0975,-0.0555,0.1455,-0.115,0.141,-0.023,0.1,0.26,0.32,0.52,0.39,0.23,0.16,-0.07,-0.07,-0.19,-0.13,0.1,0.1,0.1
surprisePercentage,25,17.9487,41.3043,11.4754,11.7647,-12.5,16.1616,12.6126,8.2645,8.9041,11.5152,-1.1111,3.7037,0,7.0796,-2.1097,3.7975,2.8226,4.878,5.5118,8.8561,4.9383,2.4242,-0.9202,14.0299,8.1481,-0.2469,11.1959,11.2128,-9.5238,4.3478,0.7968,-15.3846,1.7274,8.6304,-11.3173,3.8685,-1.4754,-2.1841,-2.5641,-2.7565,-3.2349,-0.4545,4.3284,1.9417,6.9051,-5.8971,4.7264,4.9826,-3.0052,4.6008,11.5813,14.886,-2.8056,43.6422,-52.659,25.3359,18.0222,-10.4618,25.7522,-18.5185,22.506,-4.453,24.3902,46.4286,40,65.8228,40.2062,19.6581,11.6788,-5.3846,-5.4688,-15.2,-11.0169,9.3458,7.4627,6.8966
startPeriod,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30,2004-6-30
endPeriod,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,,5.05,5.43,7.74,8.03,11.17,11.89,11.28,10.71,12.84,12.84,13.39,14.31,18.7,17.58,15.08,13.91,10.64,9.53,11.19,12.69,15.67,15.75,14.96,13.43,15.79,16.09,14.89,15.7,16.19,16.77,16.34,19.14,19.38,21.12,23.04,23.22,28.04,30.75,29.48,30.45,29.62,29.16,29.24,35.67,39.93,40.52,39.55,40.95,41.95,43.72,50.43,50.31,54.32,59.9,60.07,64.57,61.23,61.82,64.85,63.42,68.35,76.54,73.79,86.31,92.19,107.26,123.1,146.25,150.97,151.55,143.71,122.43,104.82,108.18,129.04,139.16
stockLow,,3.23,4.32,4.45,6.84,7.27,8.3,9.02,9.09,9.96,10.94,11.31,12.02,14.25,10.31,10.81,9.53,6.19,7.08,8.52,9.91,12.08,13.01,11.29,10.85,12.98,13.8,11.84,12.28,12.03,14.13,13.93,14.07,15.92,17.41,19.05,21.16,21.1,27.08,25.55,28.37,24.86,24.55,26.45,26.98,31.46,34.1,33.63,34.74,37.18,39.84,41.73,45.77,48.1,49.2,49.71,55.33,48.88,51.12,51.35,54.77,58.16,50.44,53.75,69.35,71.66,84.81,102.35,121.35,131.05,124.5,101.88,95.96,83.34,84.86,101.04,115.35
