,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,44876000000,47684000000,47840000000,49275000000,47528000000,49248000000,49603000000,50773000000,50710000000,51437000000,52099000000,51843000000,50873000000,51510000000,51758000000,52030000000,52880000000,54622000000,56978000000,56666000000
totalCurrentAssets,16103000000,18031000000,18100000000,19803000000,17095000000,19222000000,19570000000,20290000000,19378000000,20252000000,20674000000,21357000000,19815000000,20390000000,20973000000,20960000000,20991000000,22144000000,24087000000,23322000000
cashAndCashEquivalentsAtCarryingValue,772000000,991000000,1167000000,2539000000,1514000000,1988000000,2855000000,3585000000,3160000000,2933000000,2745000000,2727000000,3604000000,1883000000,1775000000,2430000000,2547000000,2440000000,3673000000,3551000000
cashAndShortTermInvestments,772000000,991000000,1167000000,2539000000,1514000000,1988000000,2855000000,3585000000,3160000000,2933000000,2745000000,2727000000,3604000000,1883000000,1775000000,2430000000,2547000000,2440000000,3673000000,3551000000
inventory,2997000000,3285000000,3599000000,3474000000,3619000000,3539000000,3521000000,3293000000,3545000000,3256000000,3119000000,2903000000,2981000000,3144000000,3431000000,3113000000,3088000000,3471000000,3498000000,3312000000
currentNetReceivables,2444000000,2833000000,2546000000,2384000000,2337000000,2892000000,2835000000,2480000000,1978000000,2214000000,2611000000,2267000000,1963000000,2527000000,3401000000,2484000000,2505000000,2583000000,3427000000,2405000000
totalNonCurrentAssets,26796000000,26484000000,30711000000,30456000000,32633000000,30026000000,30033000000,30483000000,33116000000,31185000000,31425000000,30486000000,33047000000,31120000000,30785000000,31070000000,33674000000,32478000000,32891000000,33344000000
propertyPlantEquipment,6124000000,6140000000,6170000000,6240000000,6591000000,6605000000,6663000000,6803000000,7213000000,7213000000,7290000000,7332000000,7597000000,7561000000,7569000000,7629000000,7975000000,7938000000,7966000000,8046000000
accumulatedDepreciationAmortizationPPE,9965000000,,,,10387000000,,,,10936000000,,,,11503000000,,,,12163000000,,,
