,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,2217000000,1663000000,1668000000,2490000000,1490000000,2314000000,2182000000,1880000000,1807000000,1748000000,1268000000,1937000000,4268000000,1410000000,1331000000,3133000000,1928000000,1564000000,1100000000,2891000000
paymentsForOperatingActivities,,,,54000000,679000000,,,,,,,,,,,,,,,
proceedsFromOperatingActivities,,,,,,,,,,,,,,,,,,,,
changeInOperatingLiabilities,388000000,1570000000,-394000000,345000000,-2126000000,2173000000,-1159000000,-539000000,-1572000000,968000000,-491000000,1000000,-236000000,2205000000,121000000,-749000000,-186000000,1385000000,-527000000,-43000000
changeInOperatingAssets,-302000000,1702000000,-82000000,297000000,-1780000000,1570000000,-443000000,-16000000,-1093000000,1347000000,740000000,712000000,-2344000000,2278000000,784000000,-655000000,-19000000,1332000000,690000000,-611000000
depreciationDepletionAndAmortization,304000000,277000000,288000000,302000000,322000000,301000000,307000000,319000000,363000000,336000000,334000000,329000000,365000000,329000000,343000000,293000000,439000000,325000000,334000000,350000000
capitalExpenditures,459000000,284000000,249000000,308000000,643000000,293000000,343000000,408000000,722000000,281000000,318000000,316000000,607000000,268000000,304000000,405000000,693000000,294000000,329000000,364000000
changeInReceivables,28000000,389000000,-287000000,-162000000,-47000000,555000000,-57000000,-355000000,-502000000,236000000,397000000,-344000000,-304000000,564000000,874000000,-917000000,21000000,78000000,844000000,-1022000000
changeInInventory,-53000000,288000000,314000000,-125000000,145000000,-80000000,-18000000,-228000000,252000000,-289000000,-137000000,-216000000,78000000,163000000,287000000,-318000000,-25000000,383000000,27000000,-186000000
profitLoss,1851000000,1704000000,1420000000,1608000000,2149000000,1717000000,1626000000,1753000000,2289000000,1837000000,1815000000,614000000,2049000000,1733000000,309000000,1778000000,1912000000,1689000000,1681000000,1684000000
cashflowFromInvestment,-402000000,-257000000,-251000000,-295000000,-438000000,-295000000,-337000000,-385000000,-993000000,-169000000,-220000000,-230000000,-542000000,-251000000,-332000000,-398000000,-808000000,-259000000,-334000000,-398000000
cashflowFromFinancing,-1940000000,-1187000000,-1241000000,-823000000,-2077000000,-1545000000,-978000000,-765000000,-1239000000,-1806000000,-1236000000,-1725000000,-2849000000,-2880000000,-1107000000,-2080000000,-1003000000,-1412000000,467000000,-2615000000
proceedsFromRepaymentsOfShortTermDebt,110000000,-200000000,-400000000,0,0,0,0,0,0,,,,0,,,,0,,0,
paymentsForRepurchaseOfCommonStock,666000000,281000000,219000000,210000000,490000000,756000000,259000000,85000000,0,1000000000,500000000,500000000,2087000000,2000000000,356000000,1338000000,4206000000,500000000,750000000,1750000000
paymentsForRepurchaseOfEquity,666000000,281000000,219000000,210000000,490000000,756000000,259000000,85000000,0,1000000000,500000000,500000000,2087000000,2000000000,356000000,1338000000,4206000000,500000000,750000000,1750000000
paymentsForRepurchaseOfPreferredStock,,,,,,,,,,,,,,,,,,,,
dividendPayout,622000000,638000000,622000000,621000000,675000000,693000000,671000000,672000000,728000000,739000000,721000000,718000000,762000000,767000000,744000000,739000000,750000000,784000000,758000000,747000000
dividendPayoutCommonStock,622000000,638000000,622000000,621000000,675000000,693000000,671000000,672000000,764000000,739000000,721000000,718000000,722000000,767000000,744000000,739000000,750000000,784000000,758000000,747000000
dividendPayoutPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromIssuanceOfCommonStock,0,0,0,,0,,,,0,,,,0,,,,0,,0,
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,0,0,0,,0,,,,0,,,,0,,,,0,,0,
proceedsFromIssuanceOfPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromRepurchaseOfEquity,-666000000,-281000000,-219000000,-210000000,-490000000,-756000000,-259000000,-85000000,0,-1000000000,-500000000,-500000000,-2087000000,-2000000000,-356000000,-1338000000,-4206000000,-500000000,-750000000,-1750000000
proceedsFromSaleOfTreasuryStock,,,,,,,,,,,,,,,,,,,,
