Date,Open,High,Low,Close,Adj Close,Volume,Close_Pct_Change,Price Change,RSI,MACD,Signal_Line,MACD_Histogram
2000-05-02,24.875,25.0625,22.375,24.0,24.0,2051300,,,,0.0,0.0,0.0
2000-05-03,23.6875,23.75,21.3125,22.5,22.5,1734900,-6.25,-1.5,,-0.11965811965812279,-0.023931623931624558,-0.09572649572649823
2000-05-04,23.5625,23.625,20.5,21.125,21.125,1235300,-6.111111111111112,-1.375,,-0.3217303430978653,-0.08349136776487272,-0.2382389753329926
2000-05-05,20.75,22.0,20.5,20.875,20.875,1164400,-1.1834319526627168,-0.25,,-0.4963256139626502,-0.16605821700442822,-0.33026739695822194
2000-05-08,20.4375,21.0625,20.0625,20.25,20.25,750000,-2.9940119760479056,-0.625,,-0.6773181980993002,-0.26831021322340265,-0.4090079848758975
2000-05-09,20.625,21.125,19.75,20.1875,20.1875,1221300,-0.30864197530864335,-0.0625,,-0.8163885338405592,-0.37792587734683397,-0.43846265649372523
2000-05-10,20.375,20.4375,17.8125,19.375,19.375,1240300,-4.024767801857587,-0.8125,,-0.9808580158732774,-0.4985123050521227,-0.4823457108211547
2000-05-11,19.875,20.25,19.5,20.0,20.0,1602200,3.2258064516129004,0.625,,-1.0486804531824063,-0.6085459346781794,-0.4401345185042269
2000-05-12,20.625,23.0,20.125,21.375,21.375,1807800,6.875000000000009,1.375,,-0.9801803063085615,-0.6828728090042558,-0.2973074973043056
2000-05-15,21.6875,22.25,20.1875,21.6875,21.6875,800900,1.4619883040935644,0.3125,,-0.890413179198756,-0.724380883043156,-0.1660322961556
2000-05-16,21.8125,22.5625,21.375,22.25,22.25,646100,2.5936599423631135,0.5625,,-0.7650638553469271,-0.7325174775039103,-0.03254637784301684
2000-05-17,21.625,22.75,21.375,21.875,21.875,861300,-1.6853932584269704,-0.375,,-0.6880515491342791,-0.7236242918299841,0.035572742695704984
2000-05-18,21.875,24.3125,21.8125,24.0,24.0,1856900,9.714285714285719,2.125,,-0.45035755937639976,-0.6689709453392673,0.2186133859628675
2000-05-19,23.25,24.5,21.5,22.75,22.75,1248800,-5.2083333333333375,-1.25,44.444444444444436,-0.3587128943595239,-0.6069193351433186,0.24820644078379472
2000-05-22,23.125,23.125,19.75,20.0,20.0,1056700,-12.08791208791209,-2.75,35.71428571428572,-0.5021968417752554,-0.5859748364697059,0.08377799469445057
2000-05-23,20.875,21.25,19.625,19.875,19.875,1311500,-0.6249999999999978,-0.125,39.603960396039604,-0.6188615089325928,-0.5925521709622833,-0.026309337970309543
2000-05-24,19.9375,20.25,19.125,19.5,19.5,845700,-1.8867924528301883,-0.375,43.01075268817205,-0.7331274275438098,-0.6206672222785886,-0.11246020526522116
