Date,Open,High,Low,Close,Adj Close,Volume,Close_Pct_Change,Price Change,RSI,MACD,Signal_Line,MACD_Histogram
2000-01-28,12.0,12.1875,12.0,12.0,6.088477611541748,11192000,,,,0.0,0.0,0.0
2000-01-31,12.0,12.0625,12.0,12.0625,6.120186805725098,1880900,0.520806615486924,0.0625,,0.004985754985753488,0.0009971509971506975,0.00398860398860279
2000-02-01,12.0,12.0625,12.0,12.0,6.088477611541748,367100,-0.5181082733240694,-0.0625,,0.0038494005730456138,0.0015676009123296807,0.002281799660715933
2000-02-02,12.0,12.0625,12.0,12.0625,6.120186805725098,697400,0.520806615486924,0.0625,,0.007900981582199762,0.002834277046303697,0.005066704535896065
2000-02-03,12.0,12.0625,12.0,12.0,6.088477611541748,579800,-0.5181082733240694,-0.0625,,0.005999502525757094,0.003467322142194377,0.0025321803835627174
2000-02-04,12.0,12.0625,11.25,11.375,5.7713704109191895,1681900,-5.2083167723476205,-0.625,,-0.045416180524455285,-0.006309378391135555,-0.039106802133319726
2000-02-07,11.125,11.125,10.5,10.8125,5.485971450805664,927200,-4.945081320262556,-0.5625,,-0.13005335464613843,-0.03105817364213613,-0.0989951810040023
2000-02-08,10.75,10.875,9.75,9.875,5.010306358337402,795400,-8.670571779924341,-0.9375,,-0.2696687662269852,-0.07878029215910595,-0.19088847406787926
2000-02-09,9.875,10.25,9.75,10.125,5.137151718139648,1710100,2.531688697861134,0.25,,-0.35603789192449575,-0.1342318121121839,-0.22180607981231185
2000-02-10,10.5,11.25,10.4375,10.625,5.390839099884033,571500,4.938288679475766,0.5,,-0.3797625585886468,-0.1833379614074765,-0.19642459718117034
2000-02-11,10.75,10.9375,10.0,10.0625,5.105442047119141,1062000,-5.294111871582885,-0.5625,,-0.43889427681738447,-0.2344492244894581,-0.20444505232792637
2000-02-14,10.1875,10.3125,9.75,9.8125,4.978600025177002,289000,-2.4844473949853563,-0.25,,-0.5001639218476779,-0.2875921639611021,-0.21257175788657579
2000-02-15,10.0,10.625,9.9375,10.4375,5.295704364776611,541400,6.3693475675089095,0.625,,-0.49260978138027056,-0.32859568744493584,-0.16401409393533473
2000-02-16,10.5625,10.625,10.25,10.5625,5.359127521514893,360700,1.197634013713622,0.125,34.66666666666667,-0.4711059986051769,-0.35709774967698404,-0.11400824892819283
2000-02-17,10.875,10.875,10.25,10.375,5.263996124267578,291600,-1.7751284489013863,-0.1875,33.33333333333333,-0.46384684117619734,-0.3784475679768267,-0.08539927319937063
2000-02-18,10.5,10.75,10.3125,10.5,5.327416896820068,330700,1.2048027972534792,0.125,34.17721518987341,-0.44290195326259685,-0.3913384450339808,-0.05156350822861605
2000-02-22,10.25,10.625,9.875,10.3125,5.232285976409912,314500,-1.7856856756778283,-0.1875,33.33333333333333,-0.4364020900452452,-0.4003511740362337,-0.0360509160090115
2000-02-23,9.9375,10.3125,9.8125,10.125,5.137151718139648,494300,-1.8182159518646768,-0.1875,31.325301204819283,-0.44129362638441094,-0.4085396645058692,-0.03275396187854174
2000-02-24,10.125,10.3125,9.875,9.9375,5.042018413543701,919900,-1.8518686972009202,-0.1875,30.588235294117638,-0.45505430441214045,-0.41784259248712347,-0.03721171192501699
2000-02-25,10.3125,10.625,10.0,10.4375,5.295704364776611,1095500,5.031436429336855,0.5,40.963855421686745,-0.4207636184861503,-0.4184267976869288,-0.002336820799221484
2000-02-28,10.25,10.3125,10.0,10.125,5.137151718139648,366800,-2.9939859878044928,-0.3125,43.037974683544306,-0.41403144440184114,-0.4175477270299113,0.003516282628070133
2000-02-29,10.125,11.25,10.0,10.875,5.517680644989014,1652500,7.407391249623618,0.75,60.526315789473685,-0.34420958214887065,-0.4028800980537032,0.05867051590483252
2000-03-01,10.875,11.25,10.875,11.0,5.581103324890137,266700,1.149444557990531,0.125,59.45945945945946,-0.27561171762419256,-0.3774264219678011,0.10181470434360851
2000-03-02,10.875,11.9375,10.8125,11.5,5.834789276123047,890300,4.54544444826066,0.5,59.45945945945946,-0.17884003780999436,-0.3377091451362398,0.15886910732624543
2000-03-03,11.5,11.5,10.875,10.9375,5.549391746520996,160300,-4.891308256322913,-0.5625,59.45945945945946,-0.14585550191214658,-0.2993384164914212,0.1534829145792746
2000-03-06,10.5,10.8125,10.375,10.75,5.454258441925049,242800,-1.71430147557321,-0.1875,60.273972602739725,-0.13330801080229904,-0.26613233535359676,0.13282432455129772
2000-03-07,10.625,10.75,10.0625,10.25,5.2005720138549805,393500,-4.6511625873843165,-0.5,47.88732394366197,-0.1618442156501132,-0.24527471141290005,0.08343049576278685
2000-03-08,10.1875,10.5,9.875,10.375,5.263996124267578,424200,1.2195602761317037,0.125,47.88732394366197,-0.17238575260324218,-0.2306969196509685,0.05831116704772632
2000-03-09,10.3125,10.8125,10.25,10.5,5.327416896820068,310100,1.2048027972534792,0.125,51.42857142857143,-0.16870877155394837,-0.2182992900315645,0.04959051847761614
2000-03-10,10.5,10.5,10.0,10.25,5.2005720138549805,168900,-2.3809828557025736,-0.25,47.22222222222222,-0.18384835880531192,-0.211409103786314,0.027560744981002083
2000-03-13,10.0,10.125,9.5625,9.75,4.946887016296387,1767400,-4.878021050044978,-0.5,44.15584415584415,-0.23350076068252967,-0.21582743516555716,-0.01767332551697251
2000-03-14,9.75,10.125,9.75,9.875,5.010306358337402,660500,1.282005063630831,0.125,47.368421052631575,-0.25976972784351027,-0.2246158937011478,-0.03515383414236248
2000-03-15,9.875,9.875,9.25,9.625,4.883467197418213,1231100,-2.531564975225975,-0.25,46.753246753246756,-0.2973335086352389,-0.23915941668796603,-0.058174091947272855
2000-03-16,9.8125,10.25,9.5,9.75,4.946887016296387,404100,1.2986637631497322,0.125,42.25352112676056,-0.31340389519701617,-0.25400831238977606,-0.05939558280724011
2000-03-17,9.75,9.9375,9.25,9.5625,4.851755619049072,814800,-1.9230557911253277,-0.1875,43.47826086956522,-0.33738036449530817,-0.2706827228108825,-0.06669764168442566
2000-03-20,9.6875,9.875,9.5,9.625,4.883467197418213,473200,0.6536103806348725,0.0625,32.758620689655174,-0.34733480209943934,-0.2860131386685939,-0.06132166343084544
2000-03-21,9.5625,9.8125,9.5,9.625,4.883467197418213,176200,0.0,0.0,30.35714285714286,-0.3511756315374388,-0.2990456372423629,-0.05212999429507592
2000-03-22,9.625,9.75,9.5,9.5625,4.851755619049072,430300,-0.6493660566801007,-0.0625,18.367346938775512,-0.35516858187732403,-0.3102702261693551,-0.04489835570796891
2000-03-23,9.5,9.8125,9.5,9.6875,4.9151763916015625,477400,1.3071716205879325,0.125,26.19047619047619,-0.34427794659515776,-0.31707177025451566,-0.027206176340642096
2000-03-24,9.5625,9.875,9.5625,9.75,4.946887016296387,236700,0.6451574097932067,0.0625,30.0,-0.32683624719636306,-0.3190246656428852,-0.0078115815534778865
2000-03-27,9.75,10.0,9.75,9.875,5.010306358337402,67600,1.282005063630831,0.125,41.17647058823529,-0.29947495852555406,-0.31511472421941894,0.015639765693864882
2000-03-28,9.875,10.0,9.75,9.8125,4.978600025177002,157900,-0.6328222446445708,-0.0625,36.36363636363636,-0.2796109863928624,-0.3080139766541077,0.028402990261245264
2000-03-29,9.8125,9.9375,9.8125,9.8125,4.978600025177002,253000,0.0,0.0,32.25806451612904,-0.2608615952758768,-0.29858350037846154,0.03772190510258472
2000-03-30,9.8125,10.125,9.8125,9.8125,4.978600025177002,235200,0.0,0.0,37.037037037037045,-0.24319911966825813,-0.28750662423642087,0.04430750456816274
2000-03-31,9.8125,10.5,9.75,10.5,5.327416896820068,627300,7.006324466297431,0.6875,70.0,-0.17174619297091276,-0.26435453798331926,0.0926083450124065
2000-04-03,10.375,10.375,10.0625,10.3125,5.232285976409912,108400,-1.7856856756778283,-0.1875,61.29032258064516,-0.12876459863002054,-0.2372365501126595,0.10847195148263897
2000-04-04,10.375,10.375,10.0,10.0625,5.105442047119141,411000,-2.4242545201591637,-0.25,61.29032258064516,-0.1135651774383799,-0.2125022755778036,0.0989370981394237
2000-04-05,9.9375,10.375,9.875,10.25,5.2005720138549805,196100,1.863305191947462,0.1875,62.50000000000001,-0.08540534399833888,-0.18708288926191066,0.10167754526357178
2000-04-06,10.25,11.125,10.125,10.8125,5.485971450805664,296700,5.487847032794546,0.5625,76.31578947368422,-0.017497721286074963,-0.15316585566674354,0.13566813438066858
2000-04-07,10.5,10.625,10.25,10.5,5.327416896820068,262800,-2.890181901371558,-0.3125,66.66666666666666,0.010976885924799618,-0.12033730734843491,0.13131419327323451
2000-04-10,10.5,10.75,10.25,10.3125,5.232285976409912,139400,-1.7856856756778283,-0.1875,62.22222222222223,0.018203693444148072,-0.09262910718991832,0.11083280063406639
2000-04-11,10.25,10.625,10.25,10.5625,5.359127521514893,315000,2.424208953349516,0.25,66.66666666666666,0.04360129257248069,-0.06538302723743852,0.10898431980991921
2000-04-12,10.5625,11.0,10.5625,10.8125,5.485971450805664,392000,2.3668764884123394,0.25,68.0,0.08294583556393675,-0.03571725467716347,0.11866309024110022
2000-04-13,10.6875,10.8125,10.625,10.625,5.390839099884033,243200,-1.7341021872736784,-0.1875,63.46153846153846,0.09786881556506088,-0.009000040628718599,0.10686885619377948
2000-04-14,10.5,10.625,10.0,10.125,5.137151718139648,269900,-4.705897858272978,-0.5,53.44827586206896,0.06855925498970272,0.0065118184949656665,0.062047436494737054
2000-04-17,10.0,10.375,10.0,10.375,5.263996124267578,321300,2.4691582629345676,0.25,57.377049180327866,0.0647576419464464,0.01816098318526181,0.04659665876118459
2000-04-18,10.375,10.8125,10.25,10.625,5.390839099884033,862200,2.409632769896919,0.25,60.0,0.08098421130633149,0.030725628809475748,0.05025858249685574
2000-04-19,10.5,11.25,10.5,10.9375,5.549391746520996,531900,2.94114967446113,0.3125,62.85714285714286,0.1177032133825211,0.048121145724084824,0.06958206765843628
2000-04-20,10.9375,11.0,10.625,10.625,5.390839099884033,193500,-2.8571175703420493,-0.3125,51.5625,0.12020154021278451,0.06253722462182476,0.05766431559095975
