,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,4297000000,2107000000,1807000000,1034000000,4817000000,32000000,-3811000000,298000000,2153000000,511000000,1076000000,1461000000,9351000000,476000000,1286000000,778000000,12743000000,-863000000,719000000,3316000000
paymentsForOperatingActivities,1102000000,32000000,192000000,223000000,2016000000,39000000,3000000,8000000,3024000000,7000000,4000000,5000000,1858000000,5000000,4000000,8000000,1763000000,4000000,8000000,8000000
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,-706000000,-217000000,540000000,1160000000,105000000,35000000,-1229000000,682000000,-25000000,482000000,-1260000000,1286000000,1781000000,-366000000,2166000000,-786000000,1907000000,713000000,-607000000,3745000000
changeInOperatingAssets,-594000000,228000000,551000000,1275000000,-1047000000,922000000,-1731000000,35000000,-574000000,1416000000,-761000000,1191000000,721000000,531000000,2170000000,-5000000,-297000000,3406000000,679000000,299000000
depreciationDepletionAndAmortization,1216000000,374000000,348000000,369000000,1617000000,354000000,600000000,599000000,2650000000,596000000,602000000,622000000,2737000000,487000000,467000000,497000000,2657000000,509000000,510000000,545000000
capitalExpenditures,345000000,363000000,315000000,444000000,746000000,325000000,458000000,389000000,623000000,387000000,360000000,433000000,1142000000,439000000,479000000,515000000,1342000000,674000000,686000000,786000000
changeInReceivables,-1232000000,-849000000,113000000,774000000,-126000000,-390000000,-773000000,596000000,-751000000,799000000,-1092000000,690000000,173000000,-556000000,1346000000,-1111000000,-116000000,962000000,-263000000,214000000
changeInInventory,-574000000,697000000,98000000,461000000,11000000,395000000,155000000,-439000000,-523000000,113000000,20000000,-76000000,-220000000,587000000,446000000,401000000,141000000,720000000,602000000,108000000
profitLoss,798000000,1425000000,1999000000,1257000000,1267000000,14000000,-3811000000,298000000,204000000,794000000,1080000000,1466000000,772000000,1107000000,1338000000,1395000000,1468000000,1481000000,1359000000,-933000000
cashflowFromInvestment,-16240000000,-394000000,-823000000,-756000000,-703000000,-1283000000,3098000000,2096000000,-568000000,582000000,-343000000,-378000000,-1225000000,-518000000,-618000000,-755000000,-938000000,-579000000,-623000000,-859000000
cashflowFromFinancing,1370000000,-1077000000,-689000000,-1128000000,981000000,1362000000,-4175000000,-692000000,-355000000,-1539000000,-1556000000,-2060000000,-1530000000,-1745000000,-1882000000,617000000,-2849000000,1096000000,-628000000,-2377000000
proceedsFromRepaymentsOfShortTermDebt,-1598000000,-349000000,-39000000,223000000,1061000000,-663000000,-1382000000,-15000000,-141000000,-13000000,-38000000,10000000,88000000,6000000,-23000000,3000000,-15000000,22000000,-46000000,92000000
paymentsForRepurchaseOfCommonStock,253000000,29000000,40000000,42000000,40000000,47000000,0,0,0,375000000,632000000,993000000,327000000,743000000,1036000000,616000000,408000000,562000000,596000000,1429000000
paymentsForRepurchaseOfEquity,253000000,29000000,40000000,42000000,40000000,47000000,0,0,0,375000000,632000000,993000000,327000000,743000000,1036000000,616000000,408000000,562000000,596000000,1429000000
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,564000000,609000000,610000000,611000000,612000000,614000000,724000000,688000000,706000000,705000000,756000000,751000000,745000000,745000000,798000000,794000000,791000000,790000000,844000000,838000000
dividendPayoutCommonStock,564000000,609000000,610000000,611000000,612000000,614000000,724000000,688000000,706000000,705000000,756000000,751000000,745000000,745000000,798000000,794000000,791000000,790000000,844000000,838000000
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,46000000,32000000,24000000,17000000,15000000,17207000000,-15223000000,15000000,5000000,0,0,1981000000,2081000000,0,0,0,1000000,2971000000,3000000,0
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
