,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,941000000,2396000000,3234000000,5874000000,3150000000,6205000000,2943000000,10003000000,3127000000,6101000000,6005000000,5540000000,7580000000,3218000000,5319000000,6871000000,18549000000,-4533000000,16327000000,11032000000
paymentsForOperatingActivities,35719000000,36920000000,37726000000,40266000000,39544000000,40157000000,39918000000,38291000000,39814000000,44076000000,41955000000,46282000000,46557000000,52168000000,48338000000,51954000000,52555000000,56671000000,57093000000,60130000000
proceedsFromOperatingActivities,,,,,,,,,,,,,,,,,,,,
changeInOperatingLiabilities,1032000000,-2171000000,1443000000,-1029000000,-86000000,1626000000,5257000000,-19000000,-2412000000,2674000000,3838000000,-454000000,1712000000,-1233000000,4438000000,398000000,772000000,409000000,4263000000,-308000000
changeInOperatingAssets,-765000000,-524000000,2916000000,-3338000000,1646000000,177000000,6901000000,-2678000000,-1332000000,-8000000,3850000000,-1109000000,-459000000,-251000000,5610000000,-763000000,-1543000000,593000000,6181000000,-4377000000
depreciationDepletionAndAmortization,611000000,637000000,639000000,654000000,709000000,718000000,723000000,717000000,719000000,732000000,758000000,778000000,796000000,771000000,788000000,802000000,828000000,982000000,970000000,1021000000
capitalExpenditures,545000000,558000000,562000000,415000000,444000000,650000000,469000000,451000000,557000000,574000000,568000000,562000000,629000000,695000000,555000000,657000000,724000000,866000000,760000000,829000000
changeInReceivables,-37000000,367000000,1421000000,-3617000000,1239000000,795000000,2652000000,-2213000000,-245000000,494000000,2895000000,-1677000000,-371000000,153000000,4521000000,-317000000,-1641000000,-40000000,4306000000,-4503000000
changeInInventory,728000000,891000000,-1495000000,-279000000,-407000000,618000000,-4249000000,465000000,1087000000,502000000,-955000000,-568000000,88000000,404000000,,,,,,-185000000
profitLoss,3284000000,3164000000,3557000000,3385000000,3629000000,3668000000,3465000000,6696000000,3256000000,2352000000,4978000000,4372000000,4191000000,4191000000,5148000000,5199000000,5384000000,4908000000,5774000000,5657000000
cashflowFromInvestment,-4547000000,-1140000000,-1416000000,-5462000000,-4433000000,-1388000000,-1533000000,-2952000000,-2869000000,-5178000000,-3707000000,-5502000000,-1879000000,716000000,-3673000000,-8587000000,-847000000,-15369000000,-11020000000,-728000000
cashflowFromFinancing,-4480000000,-672000000,-272000000,915000000,-56000000,-6212000000,9303000000,-6279000000,-5018000000,-1596000000,787000000,-218000000,-4397000000,-3627000000,2304000000,946000000,-3416000000,4392000000,13190000000,-10459000000
proceedsFromRepaymentsOfShortTermDebt,17000000,-37000000,3101000000,3823000000,-2926000000,-3698000000,10797000000,-10446000000,-774000000,1295000000,4057000000,-4233000000,-1125000000,-1000000,3148000000,-1808000000,-1356000000,748000000,7349000000,-3923000000
paymentsForRepurchaseOfCommonStock,500000000,850000000,3002000000,1499000000,600000000,399000000,1691000000,0,850000000,1709000000,1650000000,1250000000,1050000000,1050000000,2500000000,2500000000,1000000000,1000000000,2000000000,3000000000
paymentsForRepurchaseOfEquity,500000000,850000000,3002000000,1499000000,600000000,399000000,1691000000,0,850000000,1709000000,1650000000,1250000000,1050000000,1050000000,2500000000,2500000000,1000000000,1000000000,2000000000,3000000000
paymentsForRepurchaseOfPreferredStock,,,,,,,,,,,,,,,,,,,,
dividendPayout,866000000,866000000,860000000,1024000000,1024000000,1024000000,1024000000,1188000000,1188000000,1184000000,1181000000,1367000000,1367000000,1365000000,1363000000,1545000000,1542000000,1541000000,1537000000,1747000000
dividendPayoutCommonStock,866000000,866000000,860000000,1024000000,1024000000,1024000000,1024000000,1188000000,1188000000,1184000000,1181000000,1367000000,1367000000,1365000000,1363000000,1545000000,1542000000,1541000000,1537000000,1747000000
dividendPayoutPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromIssuanceOfCommonStock,267000000,93000000,323000000,125000000,292000000,297000000,557000000,313000000,336000000,234000000,436000000,328000000,313000000,278000000,551000000,205000000,328000000,169000000,344000000,284000000
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,0,2971000000,0,0,5444000000,0,0,0,0,0,0,0,0,-1000000,0,5922000000,0,8897000000,6401000000,-7000000
proceedsFromIssuanceOfPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromRepurchaseOfEquity,-233000000,-757000000,-2679000000,-1374000000,-308000000,-102000000,-1134000000,313000000,-514000000,-1475000000,-1214000000,-922000000,-737000000,-772000000,-1949000000,-2295000000,-672000000,-831000000,-1656000000,-2716000000
proceedsFromSaleOfTreasuryStock,,,,,,,,,,,,,,,,,,,,
changeInCashAndCashEquivalents,-8105000000,603000000,1541000000,1338000000,-1382000000,-1378000000,10584000000,6696000000,3256000000,-629000000,3034000000,4372000000,4191000000,290000000,3950000000,-770000000,14286000000,-15510000000,18497000000,-155000000
changeInExchangeRate,-19000000,19000000,-5000000,11000000,-43000000,17000000,-129000000,-14000000,-17000000,44000000,-51000000,57000000,-51000000,-17000000,,,,,,
netIncome,3188000000,3040000000,3467000000,3293000000,3538000000,3541000000,3382000000,6637000000,3172000000,2212000000,4862000000,4266000000,4086000000,4071000000,5027000000,5070000000,5262000000,4761000000,5611000000,5474000000
freeCashflow,396000000.0,1838000000.0,2672000000.0,5459000000.0,2706000000.0,5555000000.0,2474000000.0,9552000000.0,2570000000.0,5527000000.0,5437000000.0,4978000000.0,6951000000.0,2523000000.0,4764000000.0,6214000000.0,17825000000.0,-5399000000.0,15567000000.0,10203000000.0
startPeriod,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30
endPeriod,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30
stockHigh,271.16,287.94,272.49,253.49,268.69,300.0,306.71,315.84,324.57,367.95,380.5,425.98,431.36,509.23,521.2,553.29,553.13,558.1,525.63,530.45
stockLow,244.12,231.81,234.51,208.07,213.43,212.08,187.72,226.03,287.1,299.6,320.35,360.55,395.8,383.12,445.74,449.7,492.25,487.74,457.59,445.68
stockAverage,260.1,264.41,254.93,240.52,241.67,260.43,275.9,285.82,306.91,334.59,346.15,398.29,414.34,450.92,482.18,502.13,525.97,529.33,482.74,488.85
