,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,50016000000,52061000000,52787000000,53282000000,57857000000,60895000000,62057000000,62406000000,62408000000,63312000000,64869000000,65739000000,69405000000,70113000000,70089000000,69544000000,71124000000,72189000000,70347000000,70281000000
totalCurrentAssets,16210000000,14904000000,14843000000,14184000000,17103000000,19389000000,20226000000,19930000000,20216000000,20985000000,21988000000,22843000000,24934000000,25601000000,25571000000,24598000000,22217000000,21725000000,19439000000,19251000000
cashAndCashEquivalentsAtCarryingValue,4225000000,4399000000,4072000000,4040000000,5238000000,8955000000,8813000000,8839000000,5910000000,7731000000,9608000000,10212000000,10255000000,12208000000,11735000000,11045000000,5602000000,6190000000,4812000000,4311000000
cashAndShortTermInvestments,5035000000,5111000000,4797000000,4538000000,5741000000,9460000000,9216000000,9241000000,6316000000,8082000000,9954000000,10906000000,10929000000,12880000000,12405000000,11705000000,9586000000,12600000000,7883000000,7278000000
inventory,421000000,-8460000000,-8672000000,-8155000000,511000000,-8126000000,,,620000000,1135000000,,,717000000,,,,889000000,,,
currentNetReceivables,9898000000,7613000000,8071000000,7951000000,9934000000,8126000000,9230000000,8993000000,10750000000,10127000000,10137000000,10474000000,12541000000,11199000000,11396000000,10975000000,12583000000,10299000000,9587000000,9461000000
totalNonCurrentAssets,33665000000,34461000000,35324000000,36400000000,41926000000,42594000000,42957000000,43488000000,42890000000,43251000000,43839000000,43975000000,39446000000,45473000000,45368000000,45750000000,49983000000,51435000000,16365000000,15949000000
propertyPlantEquipment,26576000000,27247000000,28095000000,29071000000,30482000000,30908000000,31439000000,32164000000,32254000000,32455000000,32631000000,32859000000,33475000000,33595000000,33487000000,33625000000,34719000000,34995000000,34658000000,35203000000
accumulatedDepreciationAmortizationPPE,27912000000,28118000000,28454000000,28787000000,29245000000,29554000000,29968000000,30444000000,29837000000,30183000000,30698000000,31118000000,31334000000,31815000000,32135000000,32523000000,32711000000,33333000000,,
intangibleAssets,5886000000,5906000000,5932000000,5914000000,5980000000,5952000000,5994000000,6105000000,205000000,5614000000,5595000000,5556000000,204000000,6133000000,6151000000,6063000000,7019000000,7060000000,7140000000,6989000000
intangibleAssetsExcludingGoodwill,2075000000,2093000000,2121000000,2131000000,2167000000,2176000000,2207000000,2289000000,2274000000,2268000000,2238000000,2224000000,2486000000,2465000000,2476000000,2439000000,2796000000,2811000000,2890000000,2892000000
goodwill,3811000000,3813000000,3811000000,3783000000,3813000000,3776000000,3787000000,3816000000,3367000000,3346000000,3357000000,3332000000,3692000000,3668000000,3675000000,3624000000,4223000000,4249000000,4250000000,4097000000
investments,949000000,827000000,841000000,609000000,617000000,617000000,405000000,404000000,408000000,353000000,348000000,696000000,676000000,674000000,672000000,662000000,4242000000,6673000000,6394000000,6183000000
longTermInvestments,32000000,32000000,63000000,65000000,55000000,23000000,24000000,22000000,25000000,25000000,25000000,24000000,28000000,22000000,21000000,20000000,256000000,257000000,252000000,249000000
shortTermInvestments,810000000,712000000,725000000,498000000,503000000,505000000,403000000,402000000,406000000,351000000,346000000,694000000,674000000,672000000,670000000,660000000,3984000000,6410000000,3071000000,2967000000
otherCurrentAssets,1277000000,1333000000,1374000000,1491000000,1810000000,1803000000,1780000000,1696000000,1953000000,1641000000,1897000000,1809000000,1800000000,1857000000,2104000000,2247000000,2039000000,2028000000,1969000000,2512000000
otherNonCurrentAssets,1033000000,1139000000,1129000000,1246000000,1082000000,1283000000,1099000000,883000000,672000000,946000000,875000000,816000000,1080000000,1108000000,1265000000,1678000000,3275000000,4165000000,3911000000,3739000000
totalLiabilities,46995000000,48594000000,48382000000,47724000000,54590000000,57596000000,57694000000,56814000000,61751000000,56165000000,54064000000,53698000000,55152000000,54697000000,53800000000,52576000000,51338000000,52151000000,50328000000,51113000000
totalCurrentLiabilities,14087000000,13209000000,13633000000,12835000000,15413000000,15846000000,16271000000,15456000000,17016000000,16306000000,15770000000,15472000000,17569000000,16842000000,17337000000,17679000000,18140000000,16262000000,14686000000,15817000000
currentAccountsPayable,5188000000,3907000000,4291000000,4218000000,5555000000,4779000000,5271000000,5609000000,6455000000,6305000000,6563000000,6445000000,7523000000,7036000000,7168000000,6731000000,7515000000,6302000000,6085000000,5972000000
deferredRevenue,236000000,229000000,226000000,300000000,264000000,298000000,355000000,463000000,279000000,131000000,375000000,359000000,314000000,359000000,339000000,346000000,37000000,35000000,37000000,38000000
currentDebt,2805000000,2789000000,2952000000,2161000000,3420000000,9517000000,8215000000,5412000000,2623000000,1811000000,1564000000,1268000000,2131000000,2141000000,2579000000,2581000000,2341000000,2332000000,1412000000,2243000000
shortTermDebt,2805000000,3281000000,3439000000,2661000000,3420000000,4405000000,3749000000,2382000000,15000000,697000000,498000000,0,0,0,3141000000,3141000000,2962000000,3000000000,2085000000,2157000000
totalNonCurrentLiabilities,35723000000,36089000000,35683000000,34997000000,38584000000,43674000000,42722000000,41279000000,47372000000,41684000000,39866000000,39504000000,39723000000,40004000000,39047000000,37484000000,35548000000,38231000000,37061000000,35309000000
capitalLeaseObligations,,387000000,368000000,364000000,317000000,319000000,332000000,323000000,286000000,291000000,354000000,274000000,279000000,308000000,293000000,300000000,298000000,297000000,332000000,339000000
longTermDebt,22349000000,0,0,0,24891000000,24196000000,23199000000,23336000000,24472000000,21916000000,21027000000,20838000000,21677000000,0,0,0,19436000000,0,0,0
currentLongTermDebt,2805000000,2789000000,2952000000,2161000000,3420000000,4405000000,3749000000,2382000000,2623000000,1811000000,1564000000,1268000000,2131000000,2141000000,2579000000,2581000000,2341000000,2332000000,1412000000,2243000000
longTermDebtNoncurrent,19931000000,20377000000,20427000000,21740000000,21818000000,24196000000,23199000000,23336000000,22031000000,21916000000,21027000000,20838000000,19784000000,19740000000,17997000000,17769000000,17321000000,19856000000,19351000000,
shortLongTermDebtTotal,22349000000,20377000000,20427000000,21740000000,28311000000,4405000000,3749000000,2382000000,24472000000,697000000,498000000,25596000000,21677000000,25430000000,24100000000,23870000000,19436000000,26395000000,25116000000,2157000000
otherCurrentLiabilities,1522000000,1660000000,1635000000,1299000000,1641000000,1760000000,1921000000,1780000000,1450000000,1608000000,1356000000,1352000000,1430000000,1721000000,1628000000,1046000000,1467000000,1683000000,1253000000,1226000000
otherNonCurrentLiabilities,1424000000,1346000000,1314000000,1299000000,2719000000,2783000000,3276000000,3760000000,3847000000,3816000000,3953000000,3987000000,3578000000,3568000000,3563000000,3640000000,3513000000,3532000000,3537000000,3480000000
totalShareholderEquity,3021000000,3467000000,4405000000,5558000000,3267000000,3299000000,4363000000,5592000000,657000000,7147000000,10805000000,12041000000,14253000000,15416000000,16289000000,16968000000,19786000000,20038000000,20019000000,19168000000
treasuryStock,32000000,25000000,25000000,25000000,26000000,19000000,20000000,20000000,20000000,15000000,16000000,16000000,16000000,12000000,12000000,12000000,13000000,9000000,9000000,9000000
retainedEarnings,8006000000,8249000000,9109000000,10037000000,9105000000,9137000000,10032000000,11115000000,6896000000,10748000000,12531000000,13973000000,16179000000,17433000000,18958000000,20177000000,21326000000,21510000000,21584000000,20699000000
commonStock,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000
commonStockSharesOutstanding,866000000,866000000,865000000,864000000,861000000,864000000,866000000,868000000,870000000,872000000,875000000,875000000,874000000,874000000,874000000,870000000,865000000,862000000,860000000,857000000
