,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"2,175","2,206","2,092","2,053","1,768","1,805","1,699","1,726","1,085","1,186","1,086","1,016",960,917,940,733,613,591,476,457,429,493,476,470,438,631,"1,001",761,854,"1,083","1,324","1,216","1,263","1,328","1,398","1,285","1,435","1,407","1,598","1,502"
Short-Term Investments,"8,111","8,405","8,249","6,721","6,309","8,125","7,967","7,857","5,864","6,435","6,672","6,374","6,037","6,302","6,500","5,428","4,771","4,994","4,381","4,552","4,485","4,012","5,088","4,856","3,546","3,102","9,351","8,031","6,619","13,762","17,625","14,243","12,158","12,108","12,121","10,900","8,525","11,041","11,447","10,005"
Cash & Cash Equivalents,"10,286","10,611","10,341","8,774","8,077","9,930","9,666","9,583","6,949","7,621","7,758","7,390","6,997","7,219","7,440","6,161","5,384","5,585","4,857","5,009","4,914","4,505","5,564","5,326","3,984","3,733","10,352","8,792","7,473","14,845","18,949","15,459","13,421","13,436","13,519","12,185","9,960","12,448","13,045","11,507"
Cash Growth,116.91%,-,-,-,-21.48%,-6.42%,-6.53%,9.22%,-13.97%,-23.25%,-19.74%,-22.88%,0.69%,-5.27%,-4.10%,-16.63%,-23.05%,-22.63%,-34.72%,-18.70%,-8.73%,-19.34%,14.56%,6.33%,-18.93%,-17.14%,86.05%,65.08%,87.58%,297.67%,83.05%,75.83%,79.59%,-9.49%,-28.66%,-21.18%,-25.79%,-7.35%,-3.51%,-5.56%
Receivables,"1,560","2,008","1,981","1,961","1,771","1,826","1,892","1,828","1,425","1,450","1,593","1,703","1,594","1,397","1,543","1,700","1,752","1,809","1,941","2,170","1,706","1,876","1,943","1,850","1,750","1,020",879,"1,135","1,342",971,"1,249","1,332","1,505","1,537","1,835","1,991","2,138","1,989","2,073","2,021"
Inventory,"1,012","1,052","1,093","1,182","1,004",995,"1,069","1,010",863,886,999,"1,100","1,094","1,154","1,206","1,315","1,359","1,455","1,522","1,576","1,522","1,666","1,708","1,800","1,851","1,772","1,653","1,633","1,614","1,658","1,789","1,851","1,795","2,002","2,273","2,215","2,279","2,308","2,280","2,461"
Other Current Assets,"1,465","1,522","1,551","1,533",898,"1,378","1,482","1,285",748,845,834,855,639,856,827,826,651,824,856,743,495,607,635,596,621,650,905,780,666,615,660,553,615,787,898,986,892,907,822,719
Total Current Assets,"14,323","15,193","14,966","13,450","11,750","14,129","14,109","13,706","9,985","10,802","11,184","11,048","10,324","10,626","11,016","10,002","9,146","9,673","9,176","9,498","8,637","8,654","9,850","9,572","8,206","7,175","13,789","12,340","11,095","18,089","22,647","19,195","17,336","17,762","18,525","17,377","15,269","17,652","18,220","16,708"
"Property, Plant & Equipment","19,259","19,944","21,236","22,163","23,084","24,042","25,288","26,292","27,510","28,633","29,611","30,304","31,159","32,291","32,993","33,311","34,156","34,333","34,424","34,223","43,249","43,534","43,804","43,461","43,732","42,825","41,674","40,235","39,738","38,897","38,163","37,601","37,387","37,603","37,504","37,536","38,294","37,982","38,347","38,196"
Goodwill and Intangibles,"6,397","6,408","6,419","6,394","6,331","6,372","6,365","6,352","6,340","6,327","6,304","6,280","6,264","6,327","6,315","6,305","6,294","6,284","6,248","6,238","6,228","6,206","6,196","6,186","6,175","6,150","6,140","6,130","6,120","6,110","6,099","6,089","6,079","6,061","6,170","6,160","6,150","6,148","6,146","6,144"
