,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-06-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,14488000000,19523000000,26690000000,11155000000,11636000000,19910000000,30516000000,13311000000,16271000000,20576000000,38763000000,23981000000,21094000000,20200000000,46966000000,28166000000,22892000000,24127000000,34005000000,26380000000
paymentsForOperatingActivities,764000000,902000000,836000000,926000000,801000000,860000000,1120000000,353000000,388000000,1127000000,619000000,708000000,543000000,2217000000,531000000,875000000,504000000,2755000000,703000000,
proceedsFromOperatingActivities,,,,,,,,,,,,,,,,,,,,
changeInOperatingLiabilities,-649000000,21898000000,-8301000000,-15536000000,-5496000000,22085000000,5410000000,-10207000000,-474000000,12206000000,30970000000,-28280000000,-2275000000,19386000000,24511000000,-23746000000,-6627000000,21420000000,-2186000000,
changeInOperatingAssets,1265000000,21040000000,-10073000000,-10914000000,-2698000000,19925000000,1165000000,-8205000000,-44000000,8329000000,25615000000,-24501000000,2422000000,21176000000,17986000000,-21694000000,-3402000000,21468000000,-689000000,
depreciationDepletionAndAmortization,2665000000,2754000000,3395000000,3040000000,2933000000,3179000000,2816000000,2786000000,2752000000,2702000000,2666000000,2797000000,2832000000,2989000000,2697000000,2737000000,2805000000,2865000000,2916000000,3052000000
capitalExpenditures,3267000000,3041000000,3355000000,2363000000,2000000000,2777000000,2107000000,1853000000,1565000000,1784000000,3500000000,2269000000,2093000000,3223000000,2803000000,2514000000,2102000000,3289000000,3787000000,2093000000
changeInReceivables,3946000000,22624000000,-12035000000,-10675000000,214000000,19320000000,-5917000000,-9290000000,1373000000,5364000000,21139000000,-25584000000,869000000,17604000000,13746000000,-19931000000,-3165000000,18693000000,-6595000000,-3661000000
changeInInventory,-1693000000,-1942000000,1076000000,-70000000,-1502000000,785000000,28000000,-727000000,689000000,137000000,950000000,276000000,-13000000,1429000000,-681000000,-384000000,16000000,-435000000,1807000000,22000000
profitLoss,11519000000,24084000000,19965000000,11561000000,10044000000,24313000000,22236000000,11249000000,11253000000,24689000000,28755000000,23630000000,21744000000,20551000000,34630000000,25010000000,19442000000,20721000000,29998000000,19881000000
cashflowFromInvestment,3947000000,-3001000000,5844000000,13348000000,27502000000,-798000000,-13668000000,9013000000,-5165000000,5531000000,-8584000000,-10368000000,3572000000,835000000,-16106000000,-9265000000,4234000000,-1217000000,-1445000000,437000000
cashflowFromFinancing,-31523000000,-22580000000,-13676000000,-29457000000,-26804000000,-21039000000,-25407000000,-20940000000,-19116000000,-21357000000,-32249000000,-11326000000,-29396000000,-20382000000,-28159000000,-28351000000,-27445000000,-26794000000,-35563000000,-24048000000
proceedsFromRepaymentsOfShortTermDebt,-22000000,-54000000,12000000,-84000000,-3980000000,-7902000000,-1958000000,7550000000,-365000000,-7153000000,44000000,0,6000000000,-4000000000,-2000000000,3998000000,7942000000,-2030000000,-16428000000,0
paymentsForRepurchaseOfCommonStock,20783000000,19104000000,8796000000,23702000000,16955000000,17444000000,20706000000,18574000000,15891000000,17187000000,24775000000,18548000000,22900000000,19748000000,20478000000,22631000000,21865000000,24428000000,19475000000,17478000000
paymentsForRepurchaseOfEquity,20783000000,19104000000,8796000000,23702000000,16955000000,17444000000,20706000000,18574000000,15891000000,17187000000,24775000000,18548000000,22900000000,19748000000,20478000000,22631000000,21865000000,24428000000,19475000000,0
paymentsForRepurchaseOfPreferredStock,,,,,,,,,,,,,,,,,,,,
dividendPayout,3653000000,3530000000,3568000000,3443000000,3629000000,3479000000,3539000000,3375000000,3656000000,3511000000,3613000000,3447000000,3767000000,3640000000,3732000000,3595000000,3811000000,3703000000,3768000000,3849000000
dividendPayoutCommonStock,3653000000,3530000000,3568000000,3443000000,3629000000,3479000000,3539000000,3375000000,3656000000,3511000000,3613000000,3447000000,3767000000,3640000000,3732000000,3595000000,3811000000,3703000000,3768000000,3849000000
dividendPayoutPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromIssuanceOfCommonStock,1000000,341000000,0,390000000,1000000,390000000,2000000,428000000,0,450000000,0,561000000,0,544000000,,,,,0,0
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,0,0,0,0,0,6963000000,2210000000,0,8425000000,5456000000,0,13923000000,0,6470000000,,0,0,5465000000,0,0
proceedsFromIssuanceOfPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromRepurchaseOfEquity,-20782000000,-18763000000,-8796000000,-23312000000,-16954000000,-17054000000,-20704000000,-18146000000,-15891000000,-16737000000,-24775000000,-17987000000,-22900000000,-19204000000,-20478000000,-22631000000,-21865000000,-24428000000,-19475000000,0
proceedsFromSaleOfTreasuryStock,,,,,,,,,,,,,,,,,,,,
changeInCashAndCashEquivalents,-13088000000,-6058000000,18858000000,11561000000,10044000000,24313000000,-8559000000,10896000000,10865000000,24689000000,-2070000000,23630000000,21744000000,653000000,2701000000,25010000000,19442000000,-3884000000,-3003000000,2769000000
changeInExchangeRate,,,,,,,,,,,,,,,,,,,,
netIncome,11519000000,14125000000,19965000000,11561000000,10044000000,13686000000,22236000000,11249000000,11253000000,12673000000,28755000000,23630000000,21744000000,20551000000,34630000000,25010000000,19442000000,20721000000,29998000000,19881000000
freeCashflow,11221000000.0,16482000000.0,23335000000.0,8792000000.0,9636000000.0,17133000000.0,28409000000.0,11458000000.0,14706000000.0,18792000000.0,35263000000.0,21712000000.0,19001000000.0,16977000000.0,44163000000.0,25652000000.0,20790000000.0,20838000000.0,30218000000.0,24287000000.0
startPeriod,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31,2018-3-31
endPeriod,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-06-30
stockHigh,48.55,57.42,58.37,49.42,53.83,56.6,73.49,81.96,93.1,137.98,138.79,145.09,137.07,157.26,182.13,182.94,178.49,176.15,157.5,190.07
stockLow,40.16,45.85,36.65,35.5,42.57,48.15,53.78,53.15,59.22,89.14,107.32,116.21,121.15,135.76,138.27,150.1,129.04,133.77,125.87,124.17
stockAverage,45.35,52.08,48.62,42.37,48.72,52.22,64.06,73.7,77.05,108.73,120.02,128.53,129.33,147.15,157.47,168.21,152.05,156.93,142.84,160.63
