,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"2,060","3,570","3,613","4,063","3,226","4,048","3,132","5,001","3,334","2,578","2,500","18,620","8,706","9,675","11,012","9,407","3,857","3,065","7,369","3,844","3,022","3,137","4,091","3,860","3,377","4,763","4,480","6,838","8,054","8,658","9,302","9,799","7,675","8,937","9,594","9,882","9,882","7,835","6,709","-7,047"
Short-Term Investments,"4,987","3,492","1,264",397,"6,623","7,129","3,007","1,124",623,"1,860","2,007",155,154,160,187,203,185,199,181,242,239,239,244,280,291,274,251,310,318,286,390,450,483,353,313,288,288,320,338,"14,094"
Cash & Cash Equivalents,"7,047","7,062","4,877","4,460","9,849","11,177","6,139","6,125","3,957","4,438","4,507","18,775","8,860","9,835","11,199","9,610","4,042","3,264","7,550","4,086","3,261","3,376","4,335","4,140","3,668","5,037","4,731","7,148","8,372","8,944","9,692","10,249","8,158","9,290","9,907","10,170","10,170","8,155","7,047","7,047"
Cash Growth,-17.26%,-24.82%,-43.33%,-44.92%,39.76%,58.27%,25.88%,37.33%,-59.82%,-60.29%,-26.58%,206.53%,123.91%,121.61%,148.48%,-48.81%,-54.38%,-66.81%,-32.58%,-57.48%,-19.32%,3.43%,-42.58%,1.32%,12.48%,49.20%,9.13%,72.66%,128.24%,77.57%,104.86%,43.38%,-2.56%,3.87%,2.22%,-0.77%,24.66%,-12.22%,-28.87%,-30.71%
Receivables,"7,860","8,121","7,791","3,586","7,340","7,126","6,983","3,418","5,587","5,671","5,306","3,248","6,474","6,545","6,695","5,249","7,076","7,127","6,853","5,182","7,063","7,467","7,392","5,425","7,262","6,982","7,507","6,414","8,058","8,244","8,539","6,487","7,179","7,199","6,408","8,881","8,172","8,479","8,967",0
Inventory,"2,775","2,823","2,696","2,643","2,623","2,735","2,633","2,599","2,786","2,813","2,613","2,434","3,995","3,603","3,483","3,601","3,826","3,714","3,781","3,796","4,085","4,352","4,392","4,316","4,568","5,202","5,152","5,012","5,387","5,439","5,261","5,157","5,691","5,899","5,734","6,173","6,173","6,871","6,650",0
Other Current Assets,249,252,"1,100","4,572",173,93,139,"2,013",76,66,552,"2,319",0,0,0,"1,687",20,17,12,"1,568",0,0,0,"1,786",0,0,0,"1,867",0,0,0,"2,346","2,401","2,568","2,796",0,709,0,0,0
Total Current Assets,"17,931","18,258","16,464","15,261","19,985","21,131","15,894","14,155","12,406","12,988","12,978","26,776","19,329","19,983","21,377","20,147","14,964","14,122","18,196","14,632","14,409","15,195","16,119","15,667","15,498","17,221","17,390","20,441","21,817","22,627","23,492","24,239","23,429","24,956","24,845","25,224","25,224","23,505","22,664","7,047"
"Property, Plant & Equipment","5,948","5,935","5,872","5,935","5,699","5,738","5,797","5,730","5,836","5,826","5,734","5,705","7,265","7,286","7,219","7,607","7,659","7,432","7,448","7,563","7,626","7,825","7,825","8,038","7,907","8,343","8,620","9,029","8,832","8,816","8,831","8,959","8,908","8,818","8,689","9,162","9,162","9,449","9,552",0
Long-Term Investments,122,130,221,229,244,243,"3,055","4,041","3,552","3,339","2,997","2,947","1,756","1,545","1,386",883,913,940,971,897,867,851,874,883,790,776,803,821,832,805,812,816,763,734,764,766,766,799,788,0
Goodwill,"9,781","9,751","10,048","10,067","9,855","9,896","9,750","9,638","9,775","9,752","7,812","7,683","21,353","22,132","22,066","24,020","24,227","23,844","23,416","23,254","23,209","23,329","23,046","23,195","22,927","23,082","23,338","23,744","23,384","23,485","23,299","23,231","23,179","22,744","22,284","22,799","22,799","23,258","23,277",0
Intangible Assets,"5,613","5,428","6,094","6,198","5,979","5,785","5,844","5,562","5,458","5,311","4,674","4,539","19,405","18,653","18,578","21,473","20,943","19,951","19,477","18,942","18,472","18,091","17,500","17,025","16,200","15,800","15,208","14,784","14,181","13,681","13,312","12,739","12,225","11,592","10,850","10,454","10,454","9,834","9,282",0
Other Long-Term Assets,"2,267","1,973","3,815","3,585","1,333","1,332","1,385","2,121","2,610","2,615","5,302","5,016","1,779","1,552","1,622","2,120","2,202","2,126","2,129","1,885","3,027","3,136","3,175","3,079","3,390","3,571","3,684","3,729","3,739","3,855","4,049","5,212","5,503","5,358","5,369","6,033","6,033","6,509","6,527",0
Total Long-Term Assets,"23,731","23,217","26,050","26,014","23,110","22,994","25,831","27,092","27,231","26,843","26,519","25,890","51,558","51,168","50,871","56,103","55,944","54,293","53,441","52,541","53,201","53,232","52,420","52,220","51,214","51,572","51,653","52,107","50,968","50,642","50,303","50,957","50,578","49,246","47,956","49,214","49,214","49,849","49,426",0
Total Assets,"41,662","41,475","42,514","41,275","43,095","44,125","41,725","41,247","39,637","39,831","39,497","52,666","70,887","71,151","72,248","76,250","70,908","68,415","71,637","67,173","67,610","68,427","68,539","67,887","66,712","68,793","69,043","72,548","72,785","73,269","73,795","75,196","74,007","74,202","72,801","74,438","74,438","73,354","72,090",0
Accounts Payable,"1,074","1,062",965,"1,064","1,012","1,000","1,007","1,081","1,053","1,153","1,051","1,178","1,481","1,667","1,858","2,402","2,476","2,503","2,730","2,975","3,045","3,222","3,029","3,252","3,181","3,335","3,189","3,946","4,066","4,017","4,017","4,408","4,757","4,493","4,133","4,607","4,607","4,211","3,961",0
Deferred Revenue,152,181,481,270,534,589,483,430,261,232,240,188,186,192,180,309,212,188,231,305,277,83,67,226,165,165,117,362,276,242,368,0,0,0,0,0,0,273,318,0
Current Debt,"4,378","3,962","4,582","4,437","2,972","2,899","2,402","3,130","2,613","2,896","2,535","1,325",210,221,715,714,737,847,"4,274",207,209,212,"1,458","1,478","1,468","1,495",214,220,955,954,951,754,4,5,"1,117","2,251","2,251","2,284","1,051",0
Other Current Liabilities,"4,582","4,648","4,795","4,761","4,688","4,697","4,863","4,545","4,466","4,392","4,495","3,969","4,769","4,723","5,182","5,487","5,585","5,413","5,541","5,525","5,582","5,545","5,937","5,907","5,994","5,964","6,737","7,379","7,165","7,401","7,531","7,943","7,886","7,894","8,115","8,631","8,631","7,582","7,712",0
Total Current Liabilities,"10,186","9,853","10,823","10,532","9,206","9,185","8,755","9,186","8,393","8,673","8,321","6,660","6,646","6,803","7,935","8,912","9,010","8,951","12,776","9,012","9,113","9,062","10,491","10,863","10,808","10,959","10,257","11,907","12,462","12,614","12,867","13,105","12,647","12,392","13,365","15,489","15,489","14,350","13,042",0
Long-Term Debt,"3,387","3,403","3,719","3,408","5,931","5,862","5,953","5,871","5,977","6,016","5,975","20,681","23,764","23,810","23,310","27,210","21,154","19,823","19,284","19,359","18,845","18,982","17,639","16,661","16,804","18,184","18,349","19,429","17,489","17,547","17,446","18,252","17,086","16,755","15,297","15,465","14,522","14,562","14,477",0
Other Long-Term Liabilities,"4,600","4,515","4,979","5,696","5,970","5,952","5,798","4,864","4,425","4,347","4,305","4,608","8,930","8,750","8,785","9,030","9,143","8,867","8,679","8,080","8,523","8,489","8,390","9,062","8,738","8,835","8,842","8,209","9,046","9,079","8,844","7,815","8,645","8,339","8,255","6,579","7,522","7,038","6,877",0
Total Long-Term Liabilities,"7,987","7,918","8,698","9,104","11,901","11,814","11,751","10,735","10,402","10,363","10,280","25,289","32,694","32,560","32,095","36,240","30,297","28,690","27,963","27,439","27,368","27,471","26,029","25,723","25,542","27,019","27,191","27,638","26,535","26,626","26,290","26,067","25,731","25,094","23,552","22,044","22,044","21,600","21,354",0
Total Liabilities,"18,173","17,771","19,521","19,636","21,107","20,999","20,506","19,921","18,795","19,036","18,601","31,949","39,340","39,363","40,030","45,152","39,307","37,641","40,739","36,451","36,481","36,533","36,520","36,586","36,350","37,978","37,448","39,545","38,997","39,240","39,157","39,172","38,378","37,486","36,917","37,533","36,562","35,950","34,396",0
Total Debt,"7,765","7,365","8,301","7,845","8,903","8,761","8,355","9,001","8,590","8,912","8,510","22,006","23,974","24,031","24,025","27,924","21,891","20,670","23,558","19,566","19,054","19,194","19,097","18,894","18,272","19,679","18,563","19,649","18,444","18,501","18,397","19,006","17,090","16,760","16,414","17,716","16,773","16,846","15,528",0
Debt Growth,9.33%,-7.18%,0.46%,19.57%,14.66%,18.95%,0.65%,14.74%,-3.52%,1.72%,1.86%,144.48%,179.09%,169.65%,182.31%,26.89%,-8.69%,-13.99%,-1.94%,-29.93%,-12.96%,-7.14%,-18.94%,-3.43%,-4.10%,2.53%,-2.80%,4.00%,0.94%,-5.99%,-0.89%,-3.27%,-7.34%,-9.41%,-10.78%,-6.79%,-1.85%,0.51%,-5.40%,-
Common Stock,"12,032","12,126","12,207","12,383","12,462","12,566","12,641","12,734","12,744","12,835","12,939","13,027","22,886","23,012","23,118","23,206","23,223","23,317","23,428","23,512","23,461","23,665","23,771","23,853","23,731","23,893","24,037","24,145","24,023","24,153","24,285","24,470","24,304","24,429","24,560","24,709","24,709","24,612","24,727",0
Retained Earnings,"22,005","22,137","22,335","22,874","24,740","25,162","25,375","25,757","25,654","25,884","25,162","25,565","25,387","25,202","25,320","23,978","23,856","24,080","24,144","24,560","24,613","25,045","25,440","25,847","25,786","25,669","26,266","27,627","28,669","29,053","30,376","31,528","33,295","34,487","35,115","35,257","35,868","36,355","36,920",0
Comprehensive Income,"-1,934","-1,952","-2,975","-5,053","-5,607","-5,004","-7,211","-6,658","-6,851","-7,223","-6,533","-7,263","-6,532","-6,250","-6,116","-6,062","-5,733","-6,913","-7,009","-7,586","-7,470","-7,365","-7,763","-8,465","-9,386","-9,080","-9,044","-8,946","-9,285","-9,066","-9,240","-8,374","-8,474","-8,706","-9,445","-8,051","-8,051","-8,071","-8,480",0
Shareholders' Equity,"23,390","23,602","22,888","21,526","21,874","23,008","21,111","21,211","20,722","20,675","20,776","20,538","31,362","31,602","32,032","30,897","31,399","30,577","30,705","30,524","30,925","31,686","31,817","31,088","30,218","30,578","31,386","32,784","33,562","33,800","34,422","35,802","35,399","36,490","35,675","36,686","74,219","37,174","37,481","37,694"
Total Liabilities and Equity,"41,662","41,475","42,514","41,275","43,095","44,125","41,725","41,247","39,637","39,831","39,497","52,666","70,887","71,151","72,248","76,250","70,908","68,415","71,637","67,173","67,610","68,427","68,539","67,887","66,777","68,776","69,043","72,548","72,785","73,269","73,795","75,196","74,007","74,202","72,801","74,438","74,438","73,354","72,090",0
Net Cash / Debt,-718,-303,"-3,424","-3,385",946,"2,416","-2,216","-2,876","-4,633","-4,474","-4,003","-3,231","-15,114","-14,196","-12,826","-18,314","-17,849","-17,406","-16,008","-15,480","-15,793","-15,818","-14,762","-14,754","-14,604","-14,642","-13,832","-12,501","-10,072","-9,557","-8,705","-8,757","-8,932","-7,470","-6,507","-7,546","-6,603","-8,691","-8,481","7,047"
Net Cash Per Share,-0.46,-0.20,-2.25,-2.22,0.62,1.61,-1.47,-1.92,-3.12,-3.02,-2.71,-2.18,-8.71,-8.12,-7.31,-10.49,-10.11,-9.84,-9.03,-8.73,-8.89,-8.88,-8.27,-8.28,-8.20,-8.20,-7.74,-6.99,-5.62,-5.33,-4.87,-4.91,-5.03,-4.23,-3.69,-4.30,-3.77,-4.97,-4.85,4.03
Working Capital,"7,745","8,405","5,641","4,729","10,779","11,946","7,139","4,969","4,013","4,315","4,657","20,116","12,683","13,180","13,442","11,235","5,954","5,171","5,420","5,620","5,296","6,133","5,628","4,804","4,690","6,262","7,133","8,534","9,355","10,013","10,625","11,134","10,782","12,564","11,480","9,735","9,735","9,155","9,622","7,047"
