,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,434.06,"1,570",926.44,663.73,485.7,471.01,525.07,649.78,553.33,557.96,516.59,578.82,842.94,703.75,740.32,862.36,606.2,680.89,526.63,651.04,646.56,633.1,605.32,880.1,726.23,882.28,854.26,976.4,906.45,941.95,"1,234","1,138",858.67,812.92,813.55,813.58,855,803,904,859
Cash & Cash Equivalents,434.06,"1,570",926.44,663.73,485.7,471.01,525.07,649.78,553.33,557.96,516.59,578.82,842.94,703.75,740.32,862.36,606.2,680.89,526.63,651.04,646.56,633.1,605.32,880.1,726.23,882.28,854.26,976.4,906.45,941.95,"1,234","1,138",858.67,812.92,813.55,813.58,855,803,904,859
Cash Growth,16.98%,339.95%,146.97%,52.18%,11.90%,-69.99%,-43.32%,-2.10%,13.92%,18.46%,-1.62%,-10.92%,52.34%,26.13%,43.31%,48.99%,-28.09%,-3.25%,-28.86%,-24.51%,6.66%,-7.02%,14.94%,35.18%,12.32%,39.36%,41.13%,10.94%,24.82%,6.76%,44.46%,16.52%,-5.27%,-13.70%,-34.08%,-28.49%,-0.43%,-1.22%,11.12%,5.58%
Receivables,"2,197","2,903","3,025","3,391","2,713","3,278","3,471","3,659","2,515","3,568","3,544","3,658","2,848","3,260","3,354","3,520","3,319","3,595","3,539","3,653","3,415","4,007","3,873","3,763","8,269","8,821","8,914","9,192","8,645","8,778","9,373","10,076","10,403","11,091","11,488","11,699","11,932","12,959","13,871","13,622"
Goodwill and Intangibles,27.32,120.88,118.72,111.53,109.54,106.75,102.52,103.62,97.53,92.67,88.33,90.94,781.55,750.32,712.98,684.41,652.61,626,593.01,566.66,634.92,659.22,641.01,624.5,738.08,705.45,688.49,713.78,692.86,679.51,667.15,963.32,944.98,926.43,868.01,806.66,804,785,775,739
Total Assets,"19,566","21,800","22,574","22,611","22,006","22,850","23,085","23,771","23,139","24,541","24,412","25,643","29,372","30,092","30,863","32,625","32,052","32,132","31,853","32,253","32,218","33,977","34,852","35,573","37,885","38,416","41,200","42,716","43,282","44,204","46,482","44,784","45,101","45,678","45,719","46,337","47,990","51,103","53,856","55,227"
Accounts Payable,"1,420","1,924","2,139","2,383","1,707","2,358","2,498","2,782","2,169","2,895","2,618","2,861","2,857","3,016","3,275","3,851","3,228","3,032","3,049","3,035","2,836","3,332","3,379","3,303","3,262","3,397","3,728","3,511","3,199","3,375","3,726","3,590","3,480","3,501","3,688","3,582","3,359","3,833","4,481","4,439"
Deferred Revenue,"1,896","2,148","2,300","2,303","2,232","2,401","2,443","2,468","2,334","2,579","2,618","2,671","3,407","3,631","3,680","3,752","3,622","3,885","3,834","3,868","3,754","4,036","4,057","4,243","4,340","4,817","4,827","5,062","4,839","5,549","6,011","6,165","6,012","6,738","7,145","7,271","7,337","8,218","9,052","9,074"
Total Liabilities,"13,919","14,895","15,332","15,528","14,887","15,552","15,948","16,629","16,028","17,168","16,714","17,251","20,061","20,413","20,881","22,647","21,806","21,921","21,622","21,814","21,781","22,818","23,032","23,511","25,570","26,501","28,473","29,448","29,295","30,173","31,519","31,386","31,546","32,749","33,293","34,533","35,069","37,104","39,213","39,986"
Total Debt,900,900,900,900,891.14,900,891.22,"1,130","1,322","1,249","1,189","1,190","2,489","2,467","2,419","2,559","2,549","2,488","2,306","2,288","2,189","2,222","2,225","2,362","2,356","2,372","3,196","3,071","3,017","3,017","3,017","2,724","2,724","2,725","2,725","2,725","2,725","2,726","2,726","2,726"
Debt Growth,125.00%,125.00%,125.00%,125.00%,-0.98%,-,-0.98%,25.59%,48.32%,38.75%,33.44%,5.24%,88.31%,97.58%,103.41%,115.12%,2.42%,0.85%,-4.69%,-10.58%,-14.12%,-10.69%,-3.50%,3.23%,7.61%,6.76%,43.66%,30.03%,28.05%,27.17%,-5.60%,-11.31%,-9.69%,-9.69%,-9.69%,0.04%,0.02%,0.05%,0.04%,0.03%
