,2014-02-28,2014-05-30,2014-08-29,2014-11-28,2015-02-27,2015-05-29,2015-08-28,2015-11-27,2016-03-04,2016-06-03,2016-09-02,2016-12-02,2017-03-03,2017-06-02,2017-09-01,2017-12-01,2018-03-02,2018-06-01,2018-08-31,2018-11-30,2019-03-01,2019-05-31,2019-08-30,2019-11-29,2020-02-28,2020-05-29,2020-08-28,2020-11-27,2021-03-05,2021-06-04,2021-09-03,2021-12-03,2022-03-04,2022-06-03,2022-09-02,2022-12-02,2023-03-03,2023-06-02,2023-09-01,2023-12-01
Cash & Equivalents,733.92,817.02,903.33,"1,117",712.88,956.15,829.29,876.56,830.7,886.38,767.67,"1,011","1,069","1,317","1,775","2,306","2,667","2,988","1,747","1,643","1,739","2,083","2,209","2,650","2,688","3,044","3,767","4,478","3,452","4,250","4,623","3,844","2,739","3,365","3,870","4,236","4,072","5,456","6,601","7,141"
Short-Term Investments,"2,398","2,513","2,617","2,622","2,464","2,457","2,839","3,112","3,267","3,432","3,679","3,750","3,579","3,615","3,594","3,514","3,481","3,346","3,197","1,586","1,487","1,396","1,442","1,527","1,483","1,307","1,497","1,514","1,511","1,518","1,541","1,954","1,962","1,934","1,894","1,860","1,581","1,145",915,701
Cash & Cash Equivalents,"3,132","3,330","3,520","3,739","3,177","3,413","3,669","3,988","4,098","4,318","4,446","4,761","4,648","4,932","5,368","5,820","6,148","6,334","4,944","3,229","3,226","3,479","3,651","4,177","4,171","4,351","5,264","5,992","4,963","5,768","6,164","5,798","4,701","5,299","5,764","6,096","5,653","6,601","7,516","7,842"
Cash Growth,-14.44%,-13.85%,11.26%,17.83%,1.43%,2.49%,4.22%,6.65%,28.99%,26.52%,21.20%,19.39%,13.41%,14.20%,20.74%,22.23%,32.28%,28.44%,-7.90%,-44.52%,-47.52%,-45.08%,-26.16%,29.36%,29.28%,25.07%,44.19%,43.45%,18.99%,32.57%,17.10%,-3.24%,-5.28%,-8.13%,-6.49%,5.14%,20.25%,24.57%,30.40%,28.64%
Receivables,510.51,531.56,528.33,591.8,532.43,502.62,593.55,672.01,599.21,666.74,731.17,833.03,850.84,901.45,"1,006","1,218","1,063","1,075","1,045","1,316","1,342","1,273","1,372","1,535","1,389","1,366","1,318","1,398","1,520","1,477","1,545","1,878","1,685","1,588","1,723","2,065","1,801","1,685","1,851","2,224"
Other Current Assets,299.79,252.58,230.94,271.04,262.91,262.53,263.6,161.8,238.3,253.42,241.15,245.44,257.11,219.23,206.38,210.07,270.15,332.5,311.94,312.5,565.12,591,727.61,783,895,932,805,756,901,833,910,993,"1,090","1,021","1,002",835,888,988,"1,043","1,018"
Total Current Assets,"3,942","4,114","4,279","4,602","3,972","4,178","4,526","4,822","4,935","5,239","5,419","5,840","5,756","6,052","6,581","7,248","7,481","7,741","6,301","4,857","5,134","5,343","5,750","6,495","6,455","6,649","7,387","8,146","7,384","8,078","8,619","8,669","7,476","7,908","8,489","8,996","8,342","9,274","10,410","11,084"
"Property, Plant & Equipment",651.08,642.45,785.86,785.12,784.31,785.2,797.46,787.42,794.88,796.08,811.52,816.26,821.73,924.11,939.81,936.98,991.67,993.49,"1,019","1,075","1,104","1,205","1,244","1,293","1,844","1,876","1,974","2,004","2,007","2,031","2,081","2,116","2,138","2,220","2,272","2,315","2,369","2,421","2,409","2,388"
Long-Term Investments,207.24,207.24,80.44,80.44,80.44,80.44,80.44,80.44,80.44,80.44,80.44,80.44,80.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodwill and Intangibles,"5,353","5,306","5,238","5,192","6,025","5,972","5,959","5,877","5,908","5,939","5,887","5,821","6,243","6,243","6,241","6,207","6,198","6,144","7,806","12,650","12,725","12,615","12,504","12,412","12,317","12,230","12,184","12,101","13,574","13,500","13,395","14,488","14,538","14,451","14,304","14,236","14,146","14,054","13,967","13,893"
