,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29,2017-07-29,2017-10-28,2018-02-03,2018-05-05,2018-08-04,2018-11-03,2019-02-02,2019-05-04,2019-08-03,2019-11-02,2020-02-01,2020-05-02,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30,2022-10-29,2023-01-28,2023-04-29,2023-07-29,2023-10-28,Current
Market Capitalization,"15,014","16,067","15,710","15,591","16,215","19,717","18,289","18,858","16,808","17,460","19,618","19,534","23,708","23,562","29,082","33,535","32,849","33,382","35,814","32,402","37,216","43,074","41,665","40,402","40,421","38,162","42,314","43,757","54,436","56,500","61,749","63,882","83,333","80,789","89,386","74,518","87,003","90,993","99,491","80,014","93,337"
Market Cap Growth,11.52%,16.69%,2.23%,1.01%,8.00%,22.71%,16.41%,20.95%,3.65%,-11.44%,7.27%,3.58%,41.05%,34.94%,48.24%,71.68%,38.56%,41.68%,23.15%,-3.38%,13.29%,29.03%,16.34%,24.69%,8.61%,-11.40%,1.56%,8.30%,34.67%,48.05%,45.93%,45.99%,53.08%,42.99%,44.76%,16.65%,4.40%,12.63%,11.31%,7.38%,-
Enterprise Value,"11,185","12,132","13,646","13,598","14,215","17,515","16,062","16,699","14,749","15,438","17,546","17,210","21,196","30,267","36,373","40,338","39,456","39,558","41,597","37,918","42,844","48,347","46,743","45,246","45,261","42,969","46,816","47,847","58,535","60,343","65,418","68,673","87,796","85,305","94,114","79,596","91,876","96,544","105,325","86,005","99,328"
PE Ratio,21.61,22.38,21.75,24.78,24.74,29.28,25.79,27.06,24.62,26.95,29.64,22.67,25.93,28.14,43.04,41.64,37.27,28.09,23.44,21.50,23.72,28.04,27.96,29.64,33.35,34.33,38.05,35.84,38.73,36.20,36.30,45.94,65.00,49.19,47.34,27.11,25.37,25.11,26.51,24.14,28.74
PS Ratio,5.69,6.01,5.76,5.44,5.39,6.29,5.59,5.49,4.90,5.15,5.78,5.71,6.52,5.88,6.36,6.39,5.64,5.35,5.62,5.21,6.00,6.99,6.85,6.74,7.03,6.88,7.67,7.81,9.29,9.11,9.49,8.73,9.87,8.28,8.05,6.20,6.92,7.07,7.75,6.50,7.58
PB Ratio,3.13,3.26,3.14,3.28,3.37,3.97,3.61,3.72,3.37,3.58,3.94,3.78,4.47,2.36,2.93,3.30,3.18,3.15,3.30,2.88,3.21,3.67,3.53,3.45,3.46,3.29,3.59,3.65,4.50,4.64,5.04,1.68,2.23,2.18,2.44,2.04,2.38,2.53,2.77,2.25,2.62
P/FCF Ratio,19.78,22.09,22.18,22.48,22.24,23.76,22.29,25.02,20.87,21.68,22.81,16.78,18.79,16.15,35.50,35.29,33.47,28.94,16.69,14.81,17.37,20.77,20.84,20.43,20.29,21.62,23.42,23.75,28.52,25.49,27.76,26.71,30.02,25.23,23.89,19.73,20.42,23.01,26.96,22.50,26.25
P/OCF Ratio,16.47,17.89,17.62,17.89,18.37,19.95,18.81,20.77,17.53,18.67,19.78,15.13,17.00,14.60,29.10,29.05,26.92,23.85,15.05,13.27,15.34,18.12,18.04,17.93,18.12,19.19,21.22,21.79,26.09,23.60,25.03,23.36,26.34,22.14,20.95,16.65,17.31,18.63,20.82,16.61,19.37
Debt / Equity Ratio,0.18,0.18,0.57,0.18,0.18,0.18,0.17,0.17,0.35,0.36,0.35,0.34,0.72,1.29,0.83,0.77,0.72,0.66,0.60,0.56,0.54,0.51,0.48,0.47,0.47,0.48,0.47,0.43,0.43,0.42,0.42,0.18,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.20,0.20
Quick Ratio,9.68,9.05,2.03,4.60,5.18,3.26,3.36,3.14,7.01,6.07,6.27,5.79,8.37,1.25,1.45,1.09,1.24,1.09,1.11,1.38,1.55,1.03,0.88,0.85,0.70,0.87,1.05,1.31,1.12,0.76,0.82,1.24,1.54,1.44,1.34,1.34,1.36,1.06,0.98,0.76,0.76
