,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"28,556","33,477","21,888","26,267","22,415","22,970","25,802","28,048","37,813","51,006","28,616"
Market Cap Growth,46.89%,17.23%,-34.62%,20.00%,-14.67%,2.48%,12.33%,8.70%,34.82%,34.89%,-
Enterprise Value,"27,911","32,646","21,203","27,272","24,278","24,855","30,369","32,545","39,435","51,247","28,879"
PE Ratio,21.28,14.89,11.84,20.54,14.05,12.69,18.71,15.83,13.96,11.75,7.47
PS Ratio,0.32,0.41,0.32,0.42,0.37,0.36,0.40,0.44,0.44,0.50,0.30
PB Ratio,1.41,1.71,1.22,1.53,1.22,1.21,1.34,1.40,1.68,2.10,1.13
P/FCF Ratio,6.62,8.27,37.74,-3.55,-3.20,-4.08,-4.11,-8.74,6.97,23.62,58.64
P/OCF Ratio,5.46,6.77,12.84,-4.04,-3.76,-4.80,-4.73,-11.76,5.73,14.67,14.16
EV/Sales Ratio,0.31,0.40,0.31,0.44,0.40,0.39,0.47,0.51,0.46,0.50,0.30
EV/EBITDA Ratio,8.37,7.49,6.10,9.07,8.50,7.40,10.18,10.21,8.67,7.73,4.50
EV/EBIT Ratio,11.51,9.43,8.17,12.95,12.57,10.27,15.26,14.71,11.10,9.14,5.37
EV/FCF Ratio,6.47,8.06,36.56,-3.69,-3.46,-4.42,-4.84,-10.14,7.27,23.74,59.18
Debt / Equity Ratio,0.34,0.29,0.33,0.40,0.41,0.44,0.51,0.55,0.47,0.42,0.38
Debt / EBITDA Ratio,2.06,1.30,1.69,2.31,2.62,2.50,3.31,3.47,2.33,1.55,1.48
Debt / FCF Ratio,1.59,1.40,10.13,-0.94,-1.07,-1.49,-1.57,-3.44,1.95,4.77,19.47
Quick Ratio,0.69,0.59,0.61,0.59,0.60,0.74,0.55,0.51,0.56,0.62,0.76
Current Ratio,1.82,1.67,1.62,1.60,1.59,1.75,1.55,1.50,1.45,1.46,1.69
Asset Turnover,2.13,1.94,1.66,1.57,1.56,1.61,1.51,1.38,1.62,1.66,1.69
Interest Coverage,5.87,10.27,8.43,7.19,5.85,6.65,4.95,6.53,13.40,14.15,8.73
Return on Equity (ROE),6.90%,11.20%,10.10%,7.30%,9.10%,9.60%,7.30%,9.10%,12.50%,18.00%,15.80%
Return on Assets (ROA),3.20%,5.40%,4.50%,3.20%,4.10%,4.50%,3.20%,3.80%,5.10%,7.10%,6.90%
Return on Capital (ROIC),4.61%,7.77%,6.05%,4.63%,5.27%,5.93%,4.03%,5.13%,7.05%,9.98%,9.32%
Earnings Yield,4.70%,6.72%,8.45%,4.87%,7.12%,7.88%,5.34%,6.32%,7.16%,8.51%,13.76%
FCF Yield,15.10%,12.09%,2.65%,-28.13%,-31.30%,-24.49%,-24.34%,-11.44%,14.35%,4.23%,1.71%
Dividend Yield,1.80%,1.80%,3.10%,2.60%,3.20%,3.30%,3.00%,2.90%,2.20%,1.70%,3.73%
Payout Ratio,37.40%,27.90%,37.50%,55.00%,45.70%,41.70%,57.10%,45.60%,30.80%,20.70%,27.86%
Buyback Yield / Dilution,0.45%,1.06%,5.34%,4.83%,3.21%,0.87%,0.35%,0.36%,-0.18%,0.53%,4.09%
Total Shareholder Return,2.25%,2.86%,8.44%,7.43%,6.41%,4.17%,3.35%,3.26%,2.02%,2.23%,7.81%
