,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"28,556","28,567","28,869","32,986","33,477","30,065","29,914","25,241","21,888","21,564","25,201","24,533","26,267","26,293","23,519","23,914","22,415","24,237","25,627","28,138","22,970","24,157","22,855","22,875","25,802","19,626","22,164","25,832","28,048","31,830","33,857","33,568","37,813","50,741","43,666","45,097","51,006","43,654","41,153","40,433","28,616"
Market Cap Growth,58.31%,28.60%,29.18%,35.83%,17.23%,5.25%,3.62%,-23.48%,-34.62%,-28.27%,-15.75%,-2.80%,20.00%,21.93%,-6.68%,-2.52%,-14.67%,-7.82%,8.97%,17.66%,2.48%,-0.33%,-10.82%,-18.70%,12.33%,-18.75%,-3.02%,12.93%,8.70%,62.18%,52.76%,29.95%,34.82%,59.41%,28.97%,34.35%,34.89%,-13.97%,-5.76%,-10.34%,-
Enterprise Value,"27,911","28,494","28,132","28,889","32,646","30,485","30,929","25,720","21,203","21,708","26,317","25,252","27,272","27,376","24,759","25,431","24,278","28,032","28,098","30,649","24,855","28,865","27,033","26,416","30,369","22,297","25,089","27,533","32,545","37,025","36,663","34,555","39,435","53,621","45,324","44,395","51,247","45,569","41,385","40,696","28,783"
PE Ratio,21.28,21.32,17.50,17.17,14.89,12.15,12.86,13.78,11.84,13.60,16.98,15.60,20.54,18.94,17.04,19.43,14.05,14.70,13.22,12.33,12.69,14.64,17.33,19.22,18.71,12.77,12.52,16.26,15.83,15.38,14.64,12.84,13.96,16.51,12.14,10.99,11.75,9.80,9.92,10.27,7.47
PS Ratio,0.32,0.32,0.33,0.39,0.41,0.39,0.41,0.35,0.32,0.33,0.40,0.39,0.42,0.42,0.38,0.39,0.37,0.40,0.40,0.44,0.36,0.38,0.36,0.36,0.40,0.31,0.35,0.41,0.44,0.47,0.45,0.42,0.44,0.56,0.46,0.46,0.50,0.43,0.41,0.42,0.29
PB Ratio,1.41,1.42,1.43,1.63,1.71,1.60,1.61,1.41,1.22,1.20,1.43,1.40,1.53,1.54,1.35,1.36,1.22,1.29,1.37,1.48,1.21,1.28,1.20,1.21,1.34,1.03,1.15,1.34,1.40,1.53,1.57,1.53,1.68,2.14,1.79,1.88,2.10,1.75,1.65,1.60,1.13
P/FCF Ratio,6.62,7.82,9.73,8.49,8.27,6.84,8.98,49.59,37.74,34.89,-484.64,25.14,-3.55,-2.95,-2.57,-1.99,-3.20,-2.66,-3.19,-3.85,-4.08,-5.91,-4.43,-4.09,-4.11,-4.01,-5.57,-6.23,-8.74,-14.24,202.74,8.38,6.97,13.08,26.13,16.14,23.62,26.54,11.37,82.85,58.44
P/OCF Ratio,5.46,6.33,7.48,6.90,6.77,5.62,6.85,15.61,12.84,12.80,27.13,12.89,-4.04,-3.28,-2.86,-2.16,-3.76,-3.01,-3.63,-4.40,-4.80,-7.44,-5.29,-4.82,-4.73,-4.82,-6.98,-7.76,-11.76,-22.21,32.03,6.74,5.73,9.97,14.99,11.03,14.67,14.20,8.15,20.01,14.11
Debt / Equity Ratio,0.34,0.28,0.28,0.27,0.29,0.34,0.37,0.38,0.33,0.37,0.42,0.40,0.40,0.42,0.40,0.42,0.41,0.48,0.41,0.41,0.44,0.52,0.50,0.47,0.51,0.66,0.48,0.42,0.55,0.59,0.50,0.45,0.47,0.59,0.51,0.41,0.42,0.46,0.39,0.38,0.38
Quick Ratio,0.69,0.63,0.88,0.86,0.59,0.57,0.63,0.60,0.61,0.66,0.62,0.68,0.59,0.58,0.65,0.65,0.60,0.55,0.60,0.62,0.74,0.58,0.61,0.63,0.55,0.71,0.69,0.65,0.51,0.56,0.66,0.69,0.56,0.54,0.63,0.66,0.62,0.62,0.73,0.76,0.76
