,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"37,226","38,221","39,954","40,189","40,692","37,670","37,405","39,073","41,038","41,850","40,235","46,372","45,963","45,842","48,579","51,973","50,302","59,092","66,002","57,395","69,587","71,956","70,047","73,775","59,012","63,989","59,976","75,557","80,654","84,516","84,582","103,905","95,577","87,744","93,986","99,086","92,247","90,800","99,116","95,822","103,918"
Market Cap Growth,18.02%,14.39%,14.33%,3.32%,9.31%,-1.44%,-6.38%,-2.78%,0.85%,11.10%,7.57%,18.68%,12.00%,9.54%,20.74%,12.08%,9.44%,28.90%,35.86%,10.43%,38.34%,21.77%,6.13%,28.54%,-15.20%,-11.07%,-14.38%,2.42%,36.67%,32.08%,41.03%,37.52%,18.50%,3.82%,11.12%,-4.64%,-3.48%,3.48%,5.46%,-3.29%,-
Enterprise Value,"35,544","36,789","37,465","38,247","38,866","36,013","36,188","38,246","40,081","40,667","39,425","45,669","44,970","45,064","48,347","52,202","50,011","58,924","66,967","57,818","69,764","72,261","71,423","74,632","59,670","64,443","60,687","76,306","81,118","85,293","86,357","105,509","97,274","89,802","96,282","101,063","93,739","92,161","101,342","97,519","105,615"
PE Ratio,25.60,25.21,26.95,27.97,28.96,25.94,25.04,25.98,26.53,28.04,26.39,27.37,26.27,25.64,26.52,26.10,24.37,31.35,33.37,30.77,35.54,31.38,29.56,29.95,23.32,25.94,24.12,30.44,32.63,32.53,31.36,37.87,33.40,29.76,31.05,31.50,28.29,26.61,28.38,26.93,29.42
PS Ratio,4.31,3.74,3.83,3.80,3.77,3.44,3.37,3.48,3.58,3.59,3.39,3.85,3.76,3.71,3.88,4.07,3.85,4.45,4.89,4.17,5.01,5.10,4.90,5.10,4.02,4.39,4.12,5.18,5.51,5.63,5.50,6.62,5.93,5.32,5.57,5.75,5.22,5.04,5.41,5.16,5.59
PB Ratio,5.63,5.73,6.86,7.32,7.86,7.83,8.08,9.29,9.11,9.34,9.47,12.16,11.20,11.53,12.29,13.22,12.48,12.48,14.11,12.05,13.26,13.33,13.07,13.75,10.75,11.12,10.33,12.81,14.22,14.91,15.81,20.58,22.80,27.21,36.48,33.18,24.97,25.88,28.54,22.18,24.06
P/FCF Ratio,24.23,25.17,21.90,24.33,22.93,22.66,27.74,25.67,29.83,27.41,23.09,25.54,24.23,27.69,31.69,35.48,28.29,28.90,33.41,24.52,33.08,33.79,29.08,32.14,23.71,26.23,24.08,30.05,30.68,32.43,37.38,39.50,40.58,34.01,29.86,33.71,27.46,24.97,30.29,28.04,30.41
P/OCF Ratio,20.77,20.98,18.86,20.55,19.67,19.08,21.94,20.76,23.53,22.06,19.00,20.86,19.71,21.56,23.80,26.52,22.19,23.49,27.28,20.71,26.15,26.77,23.57,25.55,19.79,21.15,19.50,24.50,25.07,27.32,30.95,33.30,33.66,28.31,25.43,28.30,23.44,21.58,25.97,24.27,26.32
Debt / Equity Ratio,0.00,0.33,0.33,0.00,0.00,0.00,0.43,0.47,0.45,0.45,0.47,0.52,0.49,0.50,0.54,0.51,0.50,0.42,0.52,0.67,0.38,0.42,1.18,0.44,0.43,0.41,0.40,0.40,0.42,0.59,0.63,0.66,0.79,1.08,1.36,1.11,0.90,0.98,1.06,0.77,0.77
Quick Ratio,0.13,0.22,0.25,0.10,0.11,0.12,0.18,0.14,0.12,0.14,0.17,0.14,0.13,0.15,0.15,0.10,0.12,0.14,0.13,0.18,0.11,0.14,0.26,0.10,0.13,0.15,0.13,0.11,0.10,0.14,0.09,0.09,0.08,0.08,0.11,0.10,0.10,0.12,0.11,0.10,0.10
Current Ratio,1.07,1.14,1.11,1.06,1.07,1.06,1.14,1.10,1.08,1.10,1.13,1.09,1.09,1.10,1.10,1.06,1.05,1.05,1.03,1.05,1.05,1.05,1.01,1.02,1.03,1.05,1.08,1.06,1.05,1.07,1.05,1.04,1.01,0.99,0.97,0.99,1.00,0.99,0.98,1.01,1.01
Interest Coverage,874.78,322.00,273.68,227.64,926.25,304.31,103.98,31.23,49.76,24.59,27.57,39.35,50.28,21.80,21.18,22.36,48.05,9.91,19.02,20.20,46.37,19.79,19.52,27.44,54.84,35.06,51.68,60.90,79.98,41.29,49.69,50.46,65.67,31.20,20.73,19.56,36.61,10.41,12.93,11.90,14.48
Return on Capital (ROIC),Upgrade,14.57%,13.55%,15.34%,22.16%,24.49%,27.10%,20.65%,22.29%,22.03%,22.55%,24.31%,26.87%,26.52%,27.02%,27.13%,32.58%,33.07%,30.07%,30.09%,25.73%,29.68%,30.11%,20.16%,31.48%,31.58%,30.01%,30.23%,29.74%,30.62%,28.49%,30.57%,32.39%,37.71%,43.88%,50.06%,50.55%,47.19%,49.84%,49.80%,47.42%
Dividend Yield,2.40%,2.40%,2.30%,2.30%,2.30%,2.40%,2.40%,2.40%,2.30%,2.30%,2.40%,2.10%,2.10%,2.20%,2.10%,2.00%,2.10%,1.90%,1.80%,2.10%,1.90%,1.90%,2.00%,1.90%,2.50%,2.40%,2.60%,2.10%,2.00%,1.90%,1.90%,1.60%,1.70%,1.90%,1.80%,1.80%,2.10%,2.20%,2.10%,2.20%,2.21%
Payout Ratio,44.00%,78.70%,77.40%,70.00%,47.10%,68.10%,67.10%,70.70%,45.30%,84.10%,64.60%,50.00%,43.20%,79.20%,61.30%,41.40%,42.00%,209.10%,59.50%,61.70%,45.40%,71.80%,58.50%,60.30%,47.60%,93.80%,65.00%,61.60%,48.90%,72.70%,56.00%,63.00%,46.80%,68.90%,55.30%,63.80%,49.60%,66.10%,59.80%,65.40%,65.12%
Buyback Yield / Dilution,0.72%,1.01%,0.54%,0.52%,1.86%,2.88%,3.32%,4.16%,3.61%,2.93%,2.23%,2.17%,1.69%,1.61%,2.26%,1.47%,1.29%,1.43%,1.15%,1.28%,1.53%,1.09%,1.02%,1.07%,1.10%,1.33%,1.24%,0.99%,0.95%,1.07%,1.44%,1.63%,1.75%,1.71%,1.63%,1.37%,1.12%,1.00%,0.79%,0.89%,0.89%
Total Shareholder Return,3.12%,3.41%,2.84%,2.82%,4.16%,5.28%,5.72%,6.56%,5.91%,5.23%,4.63%,4.27%,3.79%,3.81%,4.36%,3.47%,3.39%,3.33%,2.95%,3.38%,3.43%,2.99%,3.02%,2.97%,3.60%,3.73%,3.84%,3.09%,2.95%,2.97%,3.34%,3.23%,3.45%,3.61%,3.43%,3.17%,3.22%,3.20%,2.89%,3.09%,3.10%
