,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31,2023-10-31
Revenue,586.6,592.5,637.1,618,664.6,646.5,609.5,599.8,648.3,511.9,550.7,489.6,478.8,485.7,501.8,515.3,553.8,559.9,611.7,660.9,737.3,735.5,796.8,842.7,899.3,885.7,913.1,952.4,"1,039",989,"1,060","1,126","1,211","1,170","1,237","1,280","1,318","1,269","1,345","1,414"
Revenue Growth (YoY),-3.34%,3.87%,13.42%,11.31%,13.30%,9.11%,-4.33%,-2.94%,-2.45%,-20.82%,-9.65%,-18.37%,-26.15%,-5.12%,-8.88%,5.25%,15.66%,15.28%,21.90%,28.26%,33.13%,31.36%,30.26%,27.51%,21.97%,20.42%,14.60%,13.02%,15.51%,11.66%,16.09%,18.23%,16.58%,18.30%,16.70%,13.68%,8.84%,8.46%,8.73%,10.47%
Cost of Revenue,71.9,78.7,87.9,86,89.5,91.8,93,91,94.9,92.4,85.1,81.5,82.9,78.2,74.6,77.5,73.1,66.8,69.8,72.3,77,82.7,79.5,79.5,83.2,81.9,80.9,83.7,90.5,92,106,108,112,117,119,120,124,127,127,127
Gross Profit,514.7,513.8,549.2,532,575.1,554.7,516.5,508.8,553.4,419.5,465.6,408.1,395.9,407.5,427.2,437.8,480.7,493.1,541.9,588.6,660.3,652.8,717.3,763.2,816.1,803.8,832.2,868.7,948.3,897,954,"1,018","1,099","1,053","1,118","1,160","1,194","1,142","1,218","1,287"
"Selling, General & Admin",285.3,287.9,309.1,324,360.3,329.8,310.9,317.6,350.6,315.5,311.7,325.4,357.7,334,335.6,341.3,381.6,349.3,368.2,385,421.5,412.4,418.2,429.8,455.5,446.1,444.1,458.1,505.7,489,518,532,656,539,561,583,594,588,590,604
Research & Development,162.4,170.5,179.3,183.9,191.5,194.5,193.1,197.9,204.5,193.5,193,192.6,187,187.7,193.8,191.8,182.2,172.8,180.8,181,190.4,205.6,215.4,213,217.1,217.4,232.5,233,249.1,266,277,282,290,289,306,311,313,327,355,339
Other Operating Expenses,15.3,13.2,10.9,9.5,9.3,8.9,8.2,8.1,8,60.2,23.8,10,18.3,5.4,5.4,4.7,98.8,26.3,17.6,7.9,8.1,10,9.9,9.8,9.7,9.7,9.5,9.6,9.2,8,11,11,10,11,9,10,10,10,11,10
Operating Expenses,463,471.6,499.3,517.4,561.1,533.2,512.2,523.6,563.1,569.2,528.5,528,563,527.1,534.8,537.8,662.6,548.4,566.6,573.9,620,628,643.5,652.6,682.3,673.2,686.1,700.7,764,763,806,825,956,839,876,904,917,925,956,953
Operating Income,51.7,42.2,49.9,14.6,14,21.5,4.3,-14.8,-9.7,-149.7,-62.9,-119.9,-167.1,-119.6,-107.6,-100,-181.9,-55.3,-24.7,14.7,40.3,24.8,73.8,110.6,133.8,130.6,146.1,168,184.3,134,148,193,143,214,242,256,277,217,262,334
Interest Expense / Income,4.9,0,7,3,21.1,0,3.4,7.7,10.8,3.6,10.1,9.4,1.1,1.8,0,11.2,16.4,8.5,0,3.2,7.3,16.2,7.3,14.2,10.5,40.1,17.1,11.9,12.9,3,9,5,36,0,0,14,0,0,0,14
