,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"1,322","1,594","1,419","1,670","1,370","1,556","1,401","1,833","1,308","1,434","1,427","1,859","1,356","1,515","1,537","1,723","1,399","1,585","1,563","1,724","1,419","1,556","1,379","1,659","1,316","1,440","1,398","1,628","1,328","1,566","1,472","1,811","1,545","1,879","1,726","2,306","2,046","2,062","1,760","2,060"
Revenue Growth (YoY),5.09%,8.07%,1.14%,1.95%,3.63%,-2.38%,-1.27%,9.76%,-4.53%,-7.84%,1.86%,1.42%,3.67%,5.65%,7.71%,-7.32%,3.17%,4.62%,1.69%,0.06%,1.43%,-1.83%,-11.77%,-3.77%,-7.26%,-7.46%,1.38%,-1.87%,0.91%,8.75%,5.29%,11.24%,16.34%,19.99%,17.26%,27.33%,32.43%,9.74%,1.97%,-10.67%
Cost of Revenue,973,"1,167",914,922,"1,051","1,107",895,"1,006",966,"1,007",892,957,"1,053","1,052",928,929,959,"1,078",940,950,"1,011","1,020",850,891,887,944,773,861,841,969,901,987,"1,058","1,249","1,101","1,357","1,446","1,391","1,096","1,077"
Gross Profit,349,427,505,748,319,449,506,827,342,427,535,902,303,463,609,794,440,507,623,774,408,536,529,768,429,496,625,767,487,597,571,824,487,630,625,949,600,671,664,983
Other Operating Expenses,178,181,183,187,194,193,269,201,202,207,210,211,217,221,222,225,228,234,238,241,242,248,249,248,250,255,271,273,276,281,285,290,290,299,316,350,324,320,335,369
Operating Expenses,178,181,183,187,194,193,269,201,202,207,210,211,217,221,222,225,228,234,238,241,242,248,249,248,250,255,271,273,276,281,285,290,290,299,316,350,324,320,335,369
Operating Income,171,246,322,561,125,256,237,626,140,220,325,691,86,242,387,569,212,273,385,533,166,288,280,520,179,241,354,494,211,316,286,534,197,331,309,599,276,351,329,614
Interest Expense / Income,109,92,89,85,75,88,89,87,91,95,95,97,95,99,99,97,96,101,100,101,99,97,97,96,91,93,108,110,108,100,96,94,93,104,126,126,130,127,134,152
Other Expense / Income,2,-6,-15,-11,-18,-6,-61,-12,-10,-11,-9,-8,-67,-16,-19,-21,-24,-21,-28,-30,-17,-27,-35,-32,-30,-19,-47,-46,-33,-44,-48,-55,-50,-59,-60,-57,-45,-77,-80,-100
Pretax Income,60,160,248,487,68,174,209,551,59,136,239,602,58,159,307,493,140,193,313,462,84,218,218,456,118,167,293,430,136,260,238,495,154,286,243,530,191,301,275,562
Income Tax,23,64,99,194,20,66,59,208,30,31,92,233,26,57,114,205,200,42,74,105,16,27,39,92,24,21,50,63,21,27,31,70,29,34,36,78,28,37,38,69
Net Income,37,96,149,293,48,108,150,343,29,105,147,369,32,102,193,288,-60,151,239,357,68,191,179,364,94,146,243,367,115,233,207,425,125,252,207,452,163,264,237,493
Net Income Growth,-,-,56.84%,-2.98%,29.73%,12.50%,0.67%,17.06%,-39.58%,-2.78%,-2.00%,7.58%,10.34%,-2.86%,31.29%,-21.95%,-,48.04%,23.83%,23.96%,-,26.49%,-25.10%,1.96%,38.24%,-23.56%,35.75%,0.82%,22.34%,59.59%,-14.81%,15.80%,8.70%,8.15%,0%,6.35%,30.40%,4.76%,14.49%,9.07%
