,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,"7,529","2,196",-849,"-6,084",-6,"3,326","-5,973","10,338","10,198","3,614"
Depreciation & Amortization,"4,448","4,629","4,090","3,874","5,362","5,006","4,120","4,542","4,409","4,214"
Other Operating Activities,"-6,970","-3,948",261,"-5,608","-5,750","-10,161","2,862","-8,686","-10,502","-1,614"
Operating Cash Flow,"5,007","2,877","3,502","-7,818",-394,"-1,807","1,038","6,223","4,134","6,243"
Operating Cash Flow Growth,-14.63%,-42.54%,21.72%,-,-,-,-,499.52%,-33.57%,51.02%
Acquisitions,"2,348",0,"2,809",792,"-5,707",2,"2,173","4,683",0,"3,315"
Change in Investments,"14,600","4,085","-3,563","11,353","3,758","-7,819","-8,755","-10,058","-3,728","-9,155"
Other Investing Activities,"-2,664","4,377","4,006","1,896","1,726","2,342",380,"2,095",102,"-1,181"
Investing Cash Flow,"14,284","8,462","3,252","14,041",-223,"-5,475","-6,202","-3,280","-3,626","-7,021"
Dividends Paid,-712,"-1,028","-1,372","-1,172","-1,138","-1,114","-1,103","-1,083",-982,-997
Share Issuance / Repurchase,"-4,902","-10,691","-11,460","-6,275","-1,739",0,-500,"-2,592","-5,200","-2,961"
Debt Issued / Paid,"-9,473","-2,938","1,872",-342,"1,062",679,"1,618","-4,196",-796,"-1,953"
Other Financing Activities,"-4,701","3,228","4,127","2,092","3,064","7,693","5,043","4,192","6,376","6,693"
Financing Cash Flow,"-19,788","-11,429","-6,833","-5,697","1,249","7,258","5,058","-3,679",-602,782
Exchange Rate Effect,-74,-39,55,-29,-11,16,49,-67,-117,-13
Net Cash Flow,-571,-129,-24,497,621,-8,-57,-803,-211,-9
Free Cash Flow,"5,007","2,877","3,502","-7,818",-394,"-1,807","1,038","6,223","4,134","6,243"
Free Cash Flow Growth,-14.63%,-42.54%,21.72%,-,-,-,-,499.52%,-33.57%,51.02%
Free Cash Flow Margin,7.77%,4.93%,6.69%,-15.79%,-0.83%,-3.63%,2.37%,11.93%,7.59%,13.34%
Free Cash Flow Per Share,3.51,2.21,3.21,-8.40,-0.44,-2.06,1.19,7.28,5.31,8.68
