,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,137.25,143.61,140.3,49.76,50.04,32.79,-7.02,65.79,220.4,169.3,144.4,31.3,143.8,120.2,-57.3,312.9,106,62.2,48.3,20.3,161,139.5,-59.5,122.9,150,173.5,-34.9,133.5,158.3,205.8,879.8,120.9,149,52.2,7.3,68.1,113.6,156.3,190.1,182.5
Depreciation & Amortization,0,0,0,132.22,0,0,0,137.1,0,0,0,125.1,0,0,0,115.7,30,24.9,35.7,36.3,29.7,30.4,27.3,38.1,32.5,32.2,39.5,38.1,41.4,42.7,41.9,45.6,47.3,48.1,44.8,41.8,48.1,47.2,45.9,55.2
Share-Based Compensation,0,0,0,49.35,0,0,0,38.8,0,0,0,41.6,0,0,0,35.5,16.2,5.5,17.4,18,11.5,14.2,15,15.2,11.5,14.9,15.5,16,13.2,17.2,18.2,18.1,12.4,16.9,17.9,15.4,12.5,17.2,23.9,21.5
Other Operating Activities,-10.07,-9.02,112.6,-352.17,-227.71,313.77,367.6,-541.26,-566.4,-147.1,111.4,-21.4,-119.6,-144.7,424,-300.1,-227.9,150.6,176.2,122.8,39.8,290.3,454.7,64.6,-322.4,190.7,584.6,248.1,-636.3,682,-941.9,70.1,-709.8,55.8,577.9,151.8,85.4,-35.3,70.6,103.4
Operating Cash Flow,127.18,134.59,252.9,-120.85,-177.67,346.56,360.58,-299.57,-346,22.2,255.8,176.6,24.2,-24.5,366.7,164,-75.7,248,282.3,202.1,246.7,479,442.2,245.5,-123.7,415.9,609.4,440.4,-418.7,947.7,-2,254.7,-501.1,173,647.9,277.1,259.6,185.4,330.5,362.6
Operating Cash Flow Growth,146.08%,-39.37%,-43.85%,-,-,157.49%,42.58%,-,-,-93.59%,-29.06%,-,-,-,43.35%,-7.13%,-,-,-23.02%,23.23%,-,93.15%,56.64%,21.47%,-,-13.17%,37.81%,79.39%,-,127.87%,-,-42.17%,-,-81.75%,-,8.79%,-,7.17%,-48.99%,30.86%
Capital Expenditures,-13.11,-17.63,-27.97,-24.9,-22.15,-36.7,-27.2,-28.86,-22.8,-24.9,-19.1,-18.4,-14.8,-16.3,-12.3,7.5,-16.5,-21.6,-20.8,-23.9,-32.4,-25.4,-12.7,-39.8,-20.3,-25.9,-34.9,-40.1,-39.6,-45.6,-46.1,-56.1,-41.1,-46.2,-46.6,-52.4,-48.4,-49.4,-50.4,-54.3
Acquisitions,0,-59.54,-28.61,-61.04,65,-11.57,-5.27,-15.16,904,-65.9,-27.4,0,-127.4,0,0,-1.7,0,"-1,213.5",36.7,126.7,0,0,0,-7.6,0,-187.1,-30.3,-292.5,-4.1,-11.1,"1,318",-4,0,4.8,0,-72.5,-0.3,0,0,0
Change in Investments,-178.03,302.91,-121.54,315.41,11.16,50,47.09,134.45,250.6,-297.5,-68.2,110.1,108.1,54.9,-236,-307.9,99,-361.1,-408.2,-401.9,-415.1,-139.2,7.2,320.6,257.7,44.5,-90.3,-103.1,106.4,141.5,"-1,239.2",179.3,27.6,161.2,-195.1,-2.4,-180.8,-205.4,-106.8,55.7
Other Investing Activities,-,-,-,-22.05,-,-,-,103.5,1.2,0.9,0.4,2.6,-24.7,23.9,2.6,2.9,-3.4,2.3,2.7,1,0.3,2.2,1.5,-279.4,-55.5,-45.6,-87.5,-24.3,-48.2,-66,-29.5,1.7,0.2,0.5,-0.2,0.1,0.1,0.4,0.2,1.7
Investing Cash Flow,-191.14,225.73,-178.12,207.42,54.02,1.74,14.62,193.93,"1,133",-387.4,-114.3,94.3,-58.8,62.5,-245.7,-299.2,79.1,"-1,593.9",-389.6,-298.1,-447.2,-162.4,-4,-6.2,181.9,-214.1,-243,-460,14.5,18.8,3.4,120.9,-13.3,120.3,-241.9,-127.2,-229.4,-254.4,-157,3.1
Dividends Paid,-18.18,-20.75,-19.45,-19.11,-18.83,-21.62,-20.46,-33.29,-32.4,-32.6,-30,-30.3,-29.7,-30.3,-28.8,-30.2,-29.7,-30.9,-35.5,-37.7,-37.4,-38.3,-37.3,-38.4,-38,-39.6,-37.5,-39.5,-38.2,-41.8,-38.5,-39.1,-37.4,-38.6,-36.7,-37.5,-37,-39.7,-37.1,-38.5
Share Issuance / Repurchase,-26.11,-55.75,-34.01,-99.32,-84.33,-103.42,-30.92,-74.23,-245.8,-199.8,-228.7,-188.8,-105.1,-113.5,-38.2,-132.1,-7,0.1,-80.3,-36.4,-50,-33.8,-62.4,-105.9,-65.2,-34.7,-66.6,-140.8,-60.1,-173.2,-328.3,-293.3,-240.1,-232.9,-105.6,-13.7,-4.2,-15.2,-54.4,-123.5
Debt Issued / Paid,-467.33,0,0,0,0,0,0,0,249.6,-249.9,-0.1,-123,0,69,88.7,293.1,"1,092",337.7,254.4,139.4,290.2,-2.8,-45.1,-6.8,199.3,-0.5,-200,243.7,-50,347.2,-369.8,0,0,-75.9,0,0,-1.8,0,-50,0
