,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,435.98,453.5,476.04,498.04,536.3,526.54,540.72,551.03,579.16,567.73,572.14,584.07,624.06,600.29,605.83,624.44,658.47,668.72,662.76,669.63,713.36,706.51,705.07,709.91,772.12,764.3,794.72,792.85,846.29,842.71,852.82,860.33,905.36,903.65,903.33,881.9,927.78,915.7,935.72,965.48
Revenue Growth (YoY),15.38%,23.22%,25.90%,25.83%,23.01%,16.10%,13.59%,10.64%,7.99%,7.82%,5.81%,6.00%,7.75%,5.74%,5.89%,6.91%,5.51%,11.40%,9.40%,7.24%,8.34%,5.65%,6.38%,6.02%,8.24%,8.18%,12.71%,11.68%,9.61%,10.26%,7.31%,8.51%,6.98%,7.23%,5.92%,2.51%,2.48%,1.33%,3.59%,9.48%
Cost of Revenue,133.95,139.61,149.32,158.81,163.2,169.29,179.91,183.2,193.21,194.74,206.32,204.47,203.58,205.73,214.68,225.49,229.94,234.83,235.49,239.25,243.93,240.74,242.19,246.94,257.75,268.58,276.8,283.44,303.85,306.69,320,316.87,325.4,332.75,346.65,346.45,357.97,361.32,373.28,383.08
Gross Profit,302.03,313.89,326.72,339.23,373.09,357.24,360.81,367.83,385.95,372.99,365.81,379.6,420.48,394.57,391.15,398.95,428.53,433.9,427.27,430.38,469.44,465.77,462.88,462.97,514.37,495.72,517.91,509.41,542.44,536.02,532.82,543.47,579.96,570.9,556.68,535.45,569.81,554.38,562.45,582.41
"Selling, General & Admin",153.91,157.23,173.34,178.12,196.19,193.07,210.65,206.97,218.56,204.49,210.76,215.95,236.6,229.5,241.46,242.39,277.34,276.94,301.89,245.23,267.36,249.11,255.22,245.47,290.17,251.15,253.18,251.11,302.85,253.07,246.19,242.78,272.95,275.98,267.88,263.36,279.39,275.25,288.37,279.64
Research & Development,26.52,28.23,32.05,32.58,32.42,35.83,36.69,38.4,37.67,40.84,37.69,42.34,46.76,52.16,53.37,57.23,59.67,65.07,59.71,61.05,60.34,66.14,61.44,64.89,68.9,71.22,64.09,66.77,67.23,82.05,77.26,82.9,93.17,99.94,92.07,94.05,105.38,91.86,99.04,105.94
Other Operating Expenses,5.85,7.58,8.97,8.29,8.4,6.82,7.21,6.77,7.03,13.53,7.18,9.55,6.68,7.57,10.72,8.09,59.41,23.34,8.56,7.56,21.44,15.99,10.44,9.32,19.98,21.02,10.21,10.36,37.74,18.54,9.95,12.52,17.74,21.66,21.69,17.6,17.56,60.64,25.26,20.7
Operating Expenses,186.27,193.04,214.37,218.99,237.01,235.72,254.55,252.14,263.27,258.87,255.63,267.83,290.04,289.23,305.56,307.7,396.42,365.34,370.16,313.85,349.15,331.24,327.1,319.69,379.05,343.39,327.48,328.25,407.82,353.66,333.39,338.2,383.87,397.58,381.64,375.01,402.34,427.74,412.66,406.28
Operating Income,115.76,120.85,112.35,120.24,136.08,121.52,106.26,115.69,122.68,114.12,110.18,111.77,130.45,105.33,85.59,91.25,32.11,68.56,57.12,116.54,120.29,134.53,135.78,143.29,135.32,152.33,190.43,181.16,134.62,182.36,199.43,205.27,196.09,173.32,175.04,160.44,167.48,126.64,149.79,176.13
Interest Expense / Income,0,1.94,4.52,4.48,4.52,4.58,4.68,4.63,4.64,4.65,4.64,4.67,4.68,4.6,4.65,4.75,4.85,4.85,9.2,14.57,14.58,12.12,8.45,12.13,16.68,17.21,17.25,17.32,17.34,17.83,18.04,18.14,18.32,2.7,2.93,2.79,2.68,2.68,3.16,4.99
Other Expense / Income,-1.14,-0.76,-0.84,-1.82,-2.3,-2.7,-0.94,-2.93,-2.44,-3.13,-3.81,-4.59,-6.96,-3.94,-4.84,-5,-4.96,-3.99,-3.64,-8.8,-7.37,-9.15,-5.83,-5.77,-11.09,-2.31,-7.41,-3.59,-0.25,-3.06,6.89,-5.44,-1.78,17.41,1.52,-0.51,-3.61,-2.93,-3.38,-9.73
Pretax Income,116.9,119.66,108.68,117.58,133.86,119.65,102.52,113.99,120.48,112.6,109.35,111.69,132.73,104.68,85.79,91.51,32.22,67.69,51.55,110.77,113.07,131.56,133.17,136.93,129.73,137.44,180.59,167.42,117.53,167.59,174.51,192.56,179.55,153.21,170.6,158.16,168.4,126.89,150.01,180.87
Income Tax,36.55,46.86,35.79,26.42,36.75,41.9,35.32,25.95,32.06,37.74,35.71,35.69,36.5,30.09,29.04,27.59,4.7,13.98,8.49,3.19,19.06,24.43,19.25,-0.96,10.63,14.29,18.67,8.8,4.16,11.9,18.01,13.65,19.02,19.84,32.76,34.47,-8.42,29.78,21.19,20.33
Net Income,80.35,72.8,72.89,91.16,97.11,77.75,67.2,88.04,88.42,74.86,73.64,76,96.23,74.58,56.75,63.91,27.52,53.71,43.06,107.58,94.02,107.13,113.92,137.89,119.1,123.15,161.92,158.62,113.37,155.7,156.5,178.92,160.53,133.38,137.84,123.69,176.82,97.11,128.82,160.54
Net Income Growth,17.66%,1.84%,17.76%,14.29%,20.86%,6.79%,-7.80%,-3.42%,-8.95%,-3.71%,9.58%,-13.68%,8.84%,-0.37%,-22.93%,-15.91%,-71.40%,-27.98%,-24.12%,68.33%,241.62%,99.45%,164.54%,28.17%,26.68%,14.95%,42.14%,15.04%,-4.81%,26.43%,-3.35%,12.79%,41.60%,-14.34%,-11.92%,-30.86%,10.14%,-27.19%,-6.55%,29.79%
Shares Outstanding (Basic),179,179,178,178,178,179,179,179,178,176,175,174,173,173,173,171,169,170,170,166,163,163,163,162,162,162,162,163,163,163,163,163,162,160,160,159,157,156,152,151
Shares Outstanding (Diluted),182,182,181,181,181,181,181,180,180,178,176,176,175,175,173,172,171,172,172,168,165,165,165,165,164,164,165,167,166,166,166,166,165,164,162,159,157,156,153,155
Shares Change,0.26%,0.26%,-0.30%,-0.53%,-0.74%,-0.67%,-0.06%,-0.33%,-0.65%,-1.82%,-2.39%,-2.63%,-2.48%,-1.33%,-1.69%,-2.34%,-2.60%,-1.81%,-0.65%,-2.10%,-3.62%,-4.20%,-4.23%,-1.99%,-0.38%,-0.67%,-0.15%,1.19%,1.19%,1.22%,0.91%,-0.12%,-0.56%,-1.24%,-2.74%,-4.36%,-4.54%,-4.58%,-5.11%,-2.57%
EPS (Basic),0.45,0.41,0.41,0.51,0.54,0.44,0.38,0.49,0.50,0.42,0.42,0.44,0.55,0.43,0.33,0.37,0.17,0.32,0.25,0.65,0.57,0.66,0.70,0.85,0.74,0.76,1.00,0.97,0.70,0.95,0.96,1.10,1.00,0.83,0.86,0.78,1.12,0.62,0.85,1.06
EPS (Diluted),0.44,0.40,0.40,0.50,0.53,0.43,0.37,0.49,0.49,0.42,0.42,0.43,0.55,0.43,0.33,0.37,0.16,0.31,0.25,0.64,0.56,0.65,0.69,0.84,0.72,0.75,0.98,0.95,0.68,0.94,0.94,1.08,0.97,0.82,0.85,0.78,1.11,0.62,0.84,1.04
EPS Growth,18.92%,2.56%,17.65%,13.64%,20.45%,7.50%,-7.50%,-2.00%,-7.55%,-2.33%,13.51%,-12.24%,12.24%,2.38%,-21.43%,-13.95%,-70.91%,-27.91%,-24.24%,72.97%,250.00%,109.68%,176.00%,31.25%,28.57%,15.38%,42.03%,13.10%,-5.56%,25.33%,-4.08%,13.68%,42.65%,-12.77%,-9.57%,-27.78%,14.43%,-24.39%,-1.18%,33.33%
