,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,810,587,614,750,795,648,326,621,460,217,242,491,811,666,550,637,"1,585",977,678,942,-585,"1,261",821,889,"1,707",513,"1,224","1,126","2,598","-1,408","1,595",508,790,634,"-1,040",-685,-310,-346,"-1,389",-41
Depreciation & Amortization,122,98,91,88,89,87,92,96,96,91,97,97,97,119,119,120,125,122,126,128,135,157,160,159,171,155,163,182,186,260,311,247,268,236,216,194,201,177,186,176
Other Operating Activities,228,-224,-9,495,-242,-198,290,637,345,377,276,767,314,43,-207,"1,080",-639,-502,621,621,"1,764",-735,337,743,-710,323,436,-39,"-1,491","2,509",-408,544,-214,-464,"2,470","2,511","1,053",744,"2,335","1,062"
Operating Cash Flow,"1,171",474,727,"1,364",671,566,737,"1,383",930,714,644,"1,384","1,251",857,491,"1,866","1,100",626,"1,464","1,728","1,357",714,"1,348","1,833","1,234","1,027","1,849","1,296","1,319","1,388","1,528","1,329",871,432,"1,673","2,046",970,601,"1,169","1,233"
Operating Cash Flow Growth,168.58%,-35.95%,-10.58%,-10.14%,-42.70%,19.41%,1.38%,1.39%,38.60%,26.15%,-12.62%,0.07%,34.52%,20.03%,-23.76%,34.83%,-12.07%,-26.95%,198.17%,-7.40%,23.36%,14.06%,-7.92%,6.08%,-9.06%,43.84%,37.17%,-29.30%,6.89%,35.15%,-17.36%,2.55%,-33.97%,-68.88%,9.49%,53.95%,11.37%,39.12%,-30.13%,-39.74%
Capital Expenditures,-91,-55,-69,-83,-81,-59,-74,-86,-84,-52,-68,-70,-123,-74,-72,-70,-83,-62,-66,-67,-82,-80,-93,-120,-140,-65,-101,-69,-73,-61,-136,-89,-59,-130,-98,-124,141,-79,-43,-55
Acquisitions,0,-2,380,0,0,0,0,0,0,0,0,0,0,"-1,356",0,0,0,-5,-5,0,-548,-18,0,0,0,0,1,0,0,"-3,480",-1,0,"1,946",0,0,0,0,0,0,0
Change in Investments,-562,"1,433",-666,"1,046",-282,"1,132",55,127,-269,148,148,-764,"-1,745","1,150",409,"-1,057",-57,"-1,184",11,"-1,078","1,367",-165,-786,"-1,973",568,133,-926,-216,"-2,125","4,054",-537,535,"-1,662","1,111","-1,021","-1,019",-588,-717,-210,-790
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-4,-,-,-,-,-,-,-
Investing Cash Flow,-653,"1,376",-355,963,-363,"1,073",-19,41,-353,96,80,-834,"-1,868",-280,337,"-1,127",-140,"-1,251",-60,"-1,145",737,-263,-879,"-2,093",428,68,"-1,026",-285,"-2,198",513,-670,446,221,981,"-1,119","-1,143",-447,-796,-253,-845
Dividends Paid,-115,-113,-125,-122,-117,-118,-125,-122,-118,-115,-125,-124,-122,-122,-135,-134,-134,-132,-163,-160,-159,-158,-166,-166,-163,-159,-172,-169,-168,-164,-245,-241,-235,-230,-236,-232,-228,-224,-235,-233
Share Issuance / Repurchase,-387,"-1,038",-70,-877,-50,-946,-369,-780,-583,-426,-406,-199,-142,-197,-352,-167,-644,-260,-550,-186,"-1,234",-5,-283,-550,-777,-406,-363,-914,9,-463,-483,"-1,203",-857,-785,-645,-659,-349,-147,-150,-21
Debt Issued / Paid,-18,-1,-354,-651,0,0,-9,-11,0,-16,0,0,"1,235",0,0,0,0,498,-401,0,1,0,175,-1,0,0,0,0,"1,189",-422,0,0,-14,0,0,0,0,494,-501,0
Other Financing Activities,-405,39,-346,-681,-369,-316,-326,-411,-286,-217,-278,-284,-307,-252,-301,-230,-255,352,-251,-266,-663,-236,-147,965,-971,-530,-79,-105,-144,-431,-114,-299,-69,-31,-37,8,4,-2,7,27
Financing Cash Flow,-925,"-1,113",-895,"-2,331",-536,"-1,380",-829,"-1,324",-987,-774,-809,-607,664,-571,-788,-531,"-1,033",458,"-1,365",-612,"-2,055",-399,-421,248,"-1,911","-1,095",-614,"-1,188",886,"-1,480",-842,"-1,743","-1,175","-1,046",-918,-883,-573,121,-879,-227
Net Cash Flow,-394,495,-281,-4,-228,259,-111,100,-410,36,-85,-57,47,6,40,208,-73,-167,39,-29,39,52,48,-12,-249,0,0,0,7,0,0,0,0,367,-364,20,0,-74,37,161
Free Cash Flow,"1,080",419,658,"1,281",590,507,663,"1,297",846,662,576,"1,314","1,128",783,419,"1,796","1,017",564,"1,398","1,661","1,275",634,"1,255","1,713","1,094",962,"1,748","1,227","1,246","1,327","1,392","1,240",812,302,"1,575","1,922","1,111",522,"1,126","1,178"
Free Cash Flow Growth,230.28%,-38.38%,-20.72%,-11.35%,-45.37%,21.00%,0.76%,1.25%,43.39%,30.57%,-13.12%,1.31%,33.33%,18.28%,-27.26%,36.68%,-9.84%,-27.97%,233.65%,-7.52%,25.37%,12.41%,-10.23%,3.13%,-14.20%,51.74%,39.28%,-28.37%,13.89%,37.94%,-20.37%,1.06%,-34.83%,-77.24%,13.15%,55.00%,36.82%,72.85%,-28.51%,-38.71%
Free Cash Flow Margin,12.28%,4.82%,7.43%,14.34%,6.74%,5.66%,7.38%,14.37%,9.73%,7.46%,6.29%,14.25%,11.12%,8.12%,4.27%,18.16%,10.11%,5.77%,13.84%,15.87%,13.45%,5.77%,11.26%,15.48%,13.12%,9.75%,16.80%,11.49%,11.37%,10.66%,11.01%,9.94%,6.24%,2.45%,12.89%,14.55%,8.14%,3.79%,8.05%,8.13%
Free Cash Flow Per Share,2.38,0.94,1.51,3.02,1.40,1.22,1.63,3.27,2.20,1.75,1.54,3.54,3.06,2.14,1.15,4.97,2.85,1.59,4.00,4.80,3.73,1.91,3.78,5.23,3.41,3.03,5.57,3.94,4.10,4.39,4.66,4.23,2.85,1.09,5.75,7.15,4.20,1.98,4.29,4.50
