,2014-01-26,2014-04-27,2014-07-27,2014-10-26,2015-01-25,2015-04-26,2015-07-26,2015-10-25,2016-01-31,2016-05-01,2016-07-31,2016-10-30,2017-01-29,2017-04-30,2017-07-30,2017-10-29,2018-01-28,2018-04-29,2018-07-29,2018-10-28,2019-01-27,2019-04-28,2019-07-28,2019-10-27,2020-01-26,2020-04-26,2020-07-26,2020-10-25,2021-01-31,2021-05-02,2021-08-01,2021-10-31,2022-01-30,2022-05-01,2022-07-31,2022-10-30,2023-01-29,2023-04-30,2023-07-30,2023-10-29,Current
Market Capitalization,"20,164","22,703","26,016","25,669","29,670","24,563","21,221","19,302","20,227","22,605","28,450","31,435","37,019","44,953","47,456","59,478","58,428","51,110","47,623","30,311","37,036","41,674","47,072","52,394","54,090","46,795","57,654","54,392","92,607","121,956","128,945","125,280","122,842","99,188","91,930","75,400","91,429","95,217","127,032","109,541","166,055"
Market Cap Growth,29.87%,31.05%,35.00%,20.25%,47.14%,8.19%,-18.43%,-24.80%,-31.83%,-7.97%,34.07%,62.86%,83.02%,98.86%,66.80%,89.21%,57.84%,13.70%,0.35%,-49.04%,-36.61%,-18.46%,-1.16%,72.86%,46.05%,12.29%,22.48%,3.81%,71.21%,160.62%,123.65%,130.33%,32.65%,-18.67%,-28.71%,-39.82%,-25.57%,-4.00%,38.18%,45.28%,-
Enterprise Value,"19,966","22,197","25,237","24,614","28,688","23,443","20,194","19,047","20,608","23,478","28,965","31,372","36,653","45,311","47,481","59,772","56,934","51,546","49,557","32,180","39,154","43,869","49,370","54,578","55,980","48,329","58,751","54,489","91,843","121,101","128,330","125,737","123,032","101,394","94,528","78,947","93,539","96,287","126,666","108,970","164,125"
PE Ratio,19.93,21.66,21.61,22.13,21.31,16.87,16.13,14.36,17.68,17.66,14.08,12.88,13.16,13.64,12.83,15.14,108.20,11.32,10.15,8.65,12.01,15.64,20.61,18.77,15.16,15.49,17.14,12.02,20.49,22.92,18.79,18.29,17.14,16.14,14.31,11.85,13.31,15.11,20.36,13.67,23.48
PS Ratio,2.37,2.58,2.87,2.78,3.18,2.57,2.20,2.02,2.11,2.28,2.63,2.65,2.86,3.24,3.26,3.85,3.54,2.97,2.76,1.80,2.35,2.80,3.22,3.49,3.50,2.88,3.35,2.99,4.67,5.64,5.59,5.18,4.95,3.94,3.57,2.87,3.43,3.59,4.79,4.14,6.27
PB Ratio,2.78,3.04,3.39,3.25,3.68,2.94,2.66,2.54,2.82,3.44,4.17,4.36,4.82,5.47,5.44,6.36,6.87,7.26,6.98,4.43,4.51,5.08,5.80,6.38,6.25,5.19,6.03,5.14,8.07,10.17,10.69,10.23,10.33,8.57,7.62,6.18,6.81,6.74,8.42,6.70,9.53
P/FCF Ratio,20.39,19.17,16.69,20.60,26.78,28.17,22.43,17.97,15.88,11.76,12.86,11.84,12.17,13.23,14.54,15.08,16.17,18.07,15.05,11.64,13.25,13.94,16.78,17.52,18.83,15.82,17.05,14.33,21.97,24.46,27.01,20.92,23.58,20.16,19.93,18.48,15.46,13.64,16.73,14.21,21.55
P/OCF Ratio,16.92,16.08,14.45,17.25,21.99,22.35,18.25,14.73,13.55,10.56,11.54,10.82,11.14,12.13,13.15,13.43,14.11,14.99,12.58,9.61,11.08,11.91,14.50,15.41,16.72,14.12,15.16,12.83,19.33,21.74,23.69,18.76,20.80,17.43,17.03,15.05,13.27,11.90,14.60,12.51,18.97
Debt / Equity Ratio,0.14,0.12,0.11,0.09,0.11,0.09,0.24,0.60,0.34,0.36,0.33,0.46,0.43,0.67,0.87,0.83,0.47,0.55,0.54,0.52,0.47,0.49,0.47,0.65,0.61,0.76,0.58,0.52,0.48,0.46,0.46,0.45,0.47,0.48,0.46,0.45,0.42,0.40,0.37,0.34,0.34
Quick Ratio,1.53,1.58,1.63,1.71,1.85,1.86,1.57,1.77,2.06,1.74,1.73,1.66,1.71,2.23,2.17,2.34,2.19,1.75,1.59,1.62,1.63,1.63,1.57,1.38,1.45,1.75,1.76,1.95,2.15,2.10,2.02,1.64,1.62,1.32,1.24,1.17,1.30,1.35,1.43,1.63,1.63
Current Ratio,2.43,2.40,2.41,2.47,2.75,2.76,2.33,2.44,3.00,2.58,2.50,2.30,2.39,2.93,2.91,3.14,2.96,2.60,2.52,2.64,2.72,2.79,2.65,2.30,2.36,2.67,2.86,3.00,3.17,3.10,2.98,2.54,2.51,2.29,2.26,2.16,2.31,2.26,2.30,2.60,2.60
Asset Turnover,Upgrade,0.18,0.19,0.18,0.17,0.18,0.18,0.19,0.15,0.17,0.19,0.21,0.23,0.22,0.19,0.20,0.20,0.21,0.25,0.25,0.23,0.20,0.19,0.19,0.20,0.21,0.18,0.21,0.21,0.22,0.23,0.25,0.24,0.25,0.25,0.25,0.25,0.24,0.23,0.21,0.22
Interest Coverage,13.20,16.83,16.29,17.91,19.91,15.41,16.50,13.22,8.43,11.49,15.68,20.45,21.24,21.36,17.34,19.26,20.27,23.70,21.31,16.93,15.13,12.93,13.83,14.64,17.66,15.28,16.29,21.75,21.03,25.89,35.32,35.33,34.67,32.66,30.54,34.98,33.39,14.26,30.03,33.98,33.98
Return on Equity (ROE),Upgrade,11.59%,13.00%,14.00%,14.88%,15.60%,16.69%,18.09%,18.35%,19.36%,21.22%,23.85%,27.81%,32.17%,35.13%,36.73%,33.69%,45.03%,50.10%,48.44%,48.11%,42.51%,35.53%,32.94%,32.64%,32.31%,33.30%,34.21%,33.62%,36.95%,44.00%,48.08%,55.09%,58.35%,55.06%,53.51%,48.06%,45.93%,42.69%,41.94%,41.07%
Return on Assets (ROA),Upgrade,6.90%,7.77%,8.40%,9.19%,9.59%,10.12%,9.00%,9.87%,9.72%,10.56%,11.80%,14.03%,14.48%,16.05%,17.68%,14.58%,17.14%,19.12%,18.64%,20.87%,18.57%,15.34%,14.22%,14.30%,13.37%,15.05%,16.19%,16.55%,18.40%,21.68%,22.80%,25.76%,26.54%,25.40%,24.41%,23.07%,22.31%,21.19%,22.31%,22.69%
Return on Capital (ROIC),Upgrade,9.83%,11.01%,11.79%,12.58%,13.33%,14.72%,12.01%,13.48%,13.85%,15.34%,17.43%,20.85%,20.45%,22.80%,24.30%,21.46%,26.46%,28.76%,27.80%,29.79%,26.28%,21.94%,20.50%,20.82%,19.13%,22.24%,23.65%,23.84%,26.32%,31.07%,33.85%,38.41%,40.10%,38.47%,37.71%,34.46%,33.89%,31.82%,31.01%,29.55%
Earnings Yield,1.25%,1.15%,1.16%,1.13%,1.17%,1.48%,1.55%,1.74%,1.41%,1.42%,1.78%,1.94%,1.90%,1.83%,1.95%,1.65%,0.23%,2.21%,2.46%,2.89%,2.08%,1.60%,1.21%,1.33%,1.65%,1.61%,1.46%,2.08%,1.22%,1.09%,1.33%,1.37%,1.46%,1.55%,1.75%,2.11%,1.88%,1.65%,1.23%,1.83%,4.31%
FCF Yield,1.61%,1.64%,1.99%,1.34%,0.04%,0.95%,1.33%,2.17%,0.69%,1.92%,3.27%,2.26%,1.57%,1.83%,2.71%,0.97%,2.16%,0.96%,1.05%,3.01%,1.89%,1.64%,1.47%,1.39%,1.64%,1.21%,1.35%,2.12%,1.40%,0.81%,1.20%,0.75%,2.05%,0.21%,1.37%,0.84%,2.17%,2.14%,1.83%,1.14%,4.64%
Dividend Yield,0.60%,0.54%,0.47%,0.48%,0.41%,0.50%,0.58%,0.62%,0.57%,0.50%,0.38%,0.34%,0.29%,0.24%,0.23%,0.18%,0.18%,0.21%,0.42%,0.64%,0.52%,0.45%,0.42%,0.37%,0.35%,0.41%,0.35%,0.37%,0.22%,0.17%,0.17%,0.17%,0.17%,0.21%,0.24%,0.30%,0.24%,0.23%,0.21%,0.24%,0.64%
Payout Ratio,47.43%,46.56%,40.20%,42.07%,35.06%,33.79%,37.39%,35.42%,40.21%,35.31%,21.39%,17.70%,15.36%,13.11%,11.57%,10.90%,78.52%,9.30%,16.97%,22.26%,24.90%,28.38%,34.33%,27.79%,21.52%,25.56%,24.02%,17.68%,17.79%,15.19%,12.76%,12.62%,11.94%,13.74%,14.01%,14.02%,12.81%,13.90%,17.18%,13.37%,15.78%
Buyback Yield / Dilution,-2.16%,-1.07%,-1.15%,-1.22%,-0.98%,0.16%,3.72%,6.94%,9.83%,11.21%,8.15%,5.63%,2.86%,0.91%,1.56%,1.65%,4.32%,7.20%,8.55%,9.90%,8.85%,6.77%,5.39%,3.94%,2.64%,1.60%,1.07%,0.22%,-0.43%,0.43%,1.52%,3.03%,4.75%,5.34%,5.29%,5.35%,4.08%,2.99%,1.98%,1.41%,1.41%
Total Shareholder Return,-1.57%,-0.53%,-0.68%,-0.75%,-0.57%,0.66%,4.30%,7.55%,10.40%,11.71%,8.53%,5.98%,3.15%,1.16%,1.78%,1.83%,4.51%,7.41%,8.97%,10.54%,9.36%,7.22%,5.80%,4.31%,2.99%,2.01%,1.42%,0.58%,-0.22%,0.60%,1.69%,3.20%,4.92%,5.55%,5.54%,5.65%,4.32%,3.22%,2.19%,1.66%,2.05%
