,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,265.34,282.77,369.61,377.62,406.59,326.59,328.03,381.01,386.94,456.2,445.47,717.26,570.23,516.48,736.42,646.3,556.78,557.69,518.72,353.98,368.07,567.91,735.38,393.03,"1,253","1,131","1,305","1,213","1,124",390.64,358.68,346.77,340.3,348.65,309.94,345.39,399.87,605.59,841.9,409.8
Cash & Cash Equivalents,265.34,282.77,369.61,377.62,406.59,326.59,328.03,381.01,386.94,456.2,445.47,717.26,570.23,516.48,736.42,646.3,556.78,557.69,518.72,353.98,368.07,567.91,735.38,393.03,"1,253","1,131","1,305","1,213","1,124",390.64,358.68,346.77,340.3,348.65,309.94,345.39,399.87,605.59,841.9,409.8
Cash Growth,49.62%,36.20%,45.02%,27.92%,53.24%,15.50%,-11.25%,0.90%,-4.83%,39.69%,35.80%,88.25%,47.37%,13.22%,65.31%,-9.89%,-2.36%,7.98%,-29.56%,-45.23%,-33.89%,1.83%,41.77%,11.03%,240.53%,99.15%,77.44%,208.58%,-10.35%,-65.46%,-72.51%,-71.41%,-69.71%,-10.75%,-13.59%,-0.40%,17.50%,73.69%,171.63%,18.65%
Receivables,592.41,594.15,593.45,585.46,592.3,619.08,610.02,603.3,606.89,596.59,595.14,592.33,603.9,642.26,640.82,668.18,684.62,710.96,714.93,732.84,763.16,757.52,761.96,744.76,712.2,620.16,614.77,597.47,678.47,754.05,768.39,829.21,854.46,885.08,876.46,919.34,901.51,936.91,936.8,"1,013"
Inventory,483.45,538.29,526.67,495.9,506.09,541.92,541.99,514.45,548.78,536.97,537.23,492.1,529.93,541.21,546.88,540.5,596.31,614.39,620.15,624.74,640.58,634.14,623.68,624.57,654.3,621.52,584.75,559.17,604.32,711.62,738.69,769.18,866.47,966.61,"1,025","1,044","1,117","1,108","1,088","1,132"
Other Current Assets,92.98,115.46,100.39,128.85,125.2,111.76,110.69,120.86,119.99,117.87,119.05,126.5,83.38,89.31,100.38,79.68,122.5,135.09,144.82,124.59,152.84,167.58,151.17,263.41,154.62,144.48,138.65,153.01,167.05,185.77,196.07,183.61,211.58,211.27,221.03,219.05,247.51,249.24,252.41,269.46
Total Current Assets,"1,434","1,531","1,590","1,588","1,630","1,599","1,591","1,620","1,663","1,708","1,697","1,928","1,787","1,789","2,024","1,935","1,960","2,018","1,999","1,836","1,925","2,127","2,272","2,026","2,774","2,517","2,643","2,522","2,573","2,042","2,062","2,129","2,273","2,412","2,433","2,528","2,666","2,900","3,119","2,825"
"Property, Plant & Equipment",405.91,459.19,451.55,448.45,434.4,484.93,483.03,484.55,488.33,475.47,478.65,473.23,482.91,492.51,494.97,493.3,492.35,490.13,487.43,554.13,724.86,721.16,711.6,728.59,703.33,680.79,675.37,693.76,715.99,777.53,766.56,787.06,780.29,765.98,756.14,805.94,804.66,809.16,797.14,"1,121"
Long-Term Investments,225.59,226.56,231.16,154.32,146.07,147.64,148.13,180.78,179.17,177.76,175.13,146.28,152.42,155.04,159.13,239.13,240.54,244.85,256.79,256.21,262.16,269.6,257.33,279.79,280.29,289.79,281.84,292.63,297.15,322.16,325.46,375.01,387.62,399.52,405.78,382.48,393.81,402.28,414.67,0
Goodwill,"2,477","2,610","2,633","2,611","2,567","2,669","2,723","2,707","2,858","2,827","2,846","2,819","2,975","3,117","3,139","3,116","3,239","3,252","3,264","3,612","3,610","3,613","3,668","4,048","4,076","4,156","4,189","4,225","4,292","5,140","5,181","5,239","5,219","5,173","5,190","5,373","5,430","5,450","5,479","6,448"
