,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"143,694","316,832","356,313","563,535","734,416","916,154","1,634,168","1,691,003","856,939","1,570,153","1,760,768"
Market Cap Growth,-21.28%,120.49%,12.46%,58.16%,30.32%,24.75%,78.37%,3.48%,-49.32%,83.23%,-
Enterprise Value,"134,543","305,251","338,026","557,292","726,311","924,338","1,634,161","1,711,349","927,031","1,618,984","1,809,599"
PE Ratio,-596.24,531.60,150.28,185.80,72.91,79.06,76.61,50.68,-314.82,51.61,58.45
PS Ratio,1.62,2.96,2.62,3.17,3.15,3.27,4.23,3.60,1.67,2.73,3.06
PB Ratio,13.38,23.67,18.48,20.34,16.86,14.76,17.50,12.23,5.87,7.78,8.72
P/FCF Ratio,73.73,42.53,34.04,67.84,37.86,35.48,52.68,-186.46,-74.07,42.65,47.83
P/OCF Ratio,21.00,26.32,20.71,30.69,23.90,23.79,24.74,36.50,18.33,18.48,20.73
EV/Sales Ratio,1.51,2.85,2.49,3.13,3.12,3.30,4.23,3.64,1.80,2.82,3.15
EV/EBITDA Ratio,27.56,36.84,27.27,34.55,25.91,24.75,32.03,23.00,24.17,18.11,20.24
EV/EBIT Ratio,989.29,152.24,78.98,119.85,57.25,59.40,63.24,42.82,-259.53,39.75,44.43
EV/FCF Ratio,69.03,40.97,32.30,67.09,37.44,35.79,52.68,-188.70,-80.13,43.98,49.16
Debt / Equity Ratio,0.77,0.61,0.40,0.89,0.76,1.02,0.90,0.84,0.96,0.67,0.67
Debt / EBITDA Ratio,1.69,0.99,0.62,1.53,1.18,1.69,1.65,1.56,3.65,1.52,1.52
Debt / FCF Ratio,4.24,1.10,0.74,2.98,1.71,2.45,2.72,-12.83,-12.11,3.68,3.68
Quick Ratio,0.82,0.75,0.78,0.76,0.85,0.86,0.86,0.91,0.72,0.84,0.84
Current Ratio,1.12,1.05,1.05,1.04,1.10,1.10,1.05,1.14,0.95,1.05,1.05
Asset Turnover,2.10,1.92,1.94,1.71,1.64,1.41,1.43,1.26,1.19,1.18,1.18
Interest Coverage,0.65,4.37,8.84,5.48,8.95,9.73,15.69,22.09,-1.51,12.80,12.80
Return on Equity (ROE),-2.30%,4.90%,13.90%,12.50%,27.00%,21.10%,27.10%,28.00%,-2.00%,17.20%,17.20%
Return on Assets (ROA),-0.60%,1.10%,3.40%,2.90%,7.10%,5.80%,7.90%,9.00%,-0.60%,6.20%,6.20%
Return on Capital (ROIC),0.94%,3.98%,9.69%,6.24%,14.48%,9.63%,11.36%,8.54%,4.28%,8.85%,8.85%
Earnings Yield,-0.17%,0.19%,0.67%,0.54%,1.37%,1.26%,1.31%,1.97%,-0.32%,1.94%,1.73%
FCF Yield,1.36%,2.35%,2.94%,1.47%,2.64%,2.82%,1.90%,-0.54%,-1.35%,2.34%,2.09%
Buyback Yield / Dilution,0.65%,-3.25%,-1.47%,-1.86%,-1.42%,-0.80%,-1.17%,-0.96%,1.04%,-2.97%,-2.97%
Total Shareholder Return,0.65%,-3.25%,-1.47%,-1.86%,-1.42%,-0.80%,-1.17%,-0.96%,1.04%,-2.97%,-2.97%
