,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"5,074","5,057","5,258","14,557","10,237","10,269","10,709","15,890","12,470","12,521","13,656","19,334","15,440","13,203","12,767","20,522","16,676","19,823","20,425","31,750","23,115","22,616","23,255","36,092","27,201","37,466","29,930","42,122","33,834","40,380","29,944","36,220","36,393","37,478","34,947","53,888","49,343","49,529","49,605","73,387"
Short-Term Investments,"3,592","2,929","1,625","2,859","3,544","3,732","3,719","3,918","3,389","4,019","4,691","6,647","6,091","8,248","11,543","10,464","8,287","7,227","9,340","9,500","13,905","18,847","20,146","18,929","22,091","33,925","38,472","42,274","39,436","49,514","49,044","59,829","29,992","23,232","23,715","16,138","15,062","14,441","14,564","13,393"
Cash & Cash Equivalents,"8,666","7,986","6,883","17,416","13,781","14,001","14,428","19,808","15,859","16,540","18,347","25,981","21,531","21,451","24,310","30,986","24,963","27,050","29,765","41,250","37,020","41,463","43,401","55,021","49,292","71,391","68,402","84,396","73,270","89,894","78,988","96,049","66,385","60,710","58,662","70,026","64,405","63,970","64,169","86,780"
Cash Growth,9.77%,7.01%,-10.48%,39.92%,59.02%,75.32%,109.62%,13.73%,15.08%,18.13%,27.16%,31.16%,35.77%,29.69%,32.50%,19.26%,15.94%,26.10%,22.44%,33.12%,48.30%,53.28%,45.81%,33.38%,33.15%,72.18%,57.60%,53.39%,48.64%,25.92%,15.48%,13.81%,-9.40%,-32.46%,-25.73%,-27.09%,-2.98%,5.37%,9.39%,23.93%
Receivables,"3,945","4,125","4,373","5,612","4,772","4,920","5,440","5,654","5,072","6,092","6,566","8,339","7,329","8,046","10,557","13,164","12,026","12,607","14,258","16,677","15,979","16,747","16,887","20,816","17,836","19,918","20,832","24,542","24,289","26,835","28,610","32,891","32,504","34,804","36,154","42,360","37,646","39,925","43,420","52,253"
Inventory,"6,716","6,644","7,316","8,299","7,369","7,470","8,981","10,243","9,582","9,588","10,696","11,461","10,600","11,510","13,711","16,047","13,840","14,824","15,862","17,174","16,432","18,580","18,766","20,497","18,857","19,599","23,735","23,795","23,849","24,119","30,933","32,640","34,987","38,153","36,647","34,405","34,170","36,587","35,406","33,318"
Total Current Assets,"19,327","18,755","18,572","31,327","25,922","26,391","28,849","35,705","30,513","32,220","35,609","45,781","39,460","41,007","48,578","60,197","50,829","54,481","59,885","75,101","69,431","76,790","79,054","96,334","85,985","110,908","112,969","132,733","121,408","140,848","138,531","161,580","133,876","133,667","131,463","146,791","136,221","140,482","142,995","172,351"
"Property, Plant & Equipment","12,267","14,089","15,702","16,967","17,736","19,479","20,636","21,838","23,308","25,190","27,177","29,114","32,632","37,083","45,335","48,866","52,331","54,768","58,019","61,797","81,180","86,372","90,776","97,846","104,058","115,054","134,100","150,667","160,789","176,848","199,303","216,363","224,629","232,136","239,228","252,838","259,016","264,116","267,226","276,690"
Goodwill and Intangibles,"2,653","2,677","3,332","3,319","3,491","3,523","3,529","3,759","3,785","3,774","3,815","3,784","3,823","4,254","13,271","13,350","13,388","13,944","14,553","14,548","14,708","14,727","14,734","14,754","14,739","14,751","14,960","15,017","15,220","15,350","15,345","15,371","20,229","20,195","20,168","20,288","22,749","22,785","22,749","22,789"
Other Long-Term Assets,"2,117","2,377","2,813","2,892","2,926","3,047","3,216","3,445","3,522","3,892","4,296","4,723","5,054","5,437","8,083","8,897","9,814","10,907","11,238","11,202","12,783","13,462","14,535","16,314","16,456","17,601","20,150","22,778","25,660","27,273","29,227","27,235","32,033","33,730","37,503","42,758","46,392","50,224","53,913","56,024"
