,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,477,374,384,431,756,656,790,884,544,690
Short-Term Investments,523,394,356,290,529,172,138,308,292,452
Cash & Cash Equivalents,"1,000",768,740,721,"1,285",828,928,"1,192",836,"1,142"
Cash Growth,56.99%,-23.20%,-3.65%,-2.57%,78.22%,-35.56%,12.08%,28.45%,-29.87%,36.60%
Receivables,"2,896","2,815","2,734","2,589","2,478","2,760","3,112","3,070","3,094","3,035"
Inventory,"11,871","11,638","9,932","9,485","9,625","10,166","11,834","13,790","14,386","15,900"
Other Current Assets,563,602,566,351,289,618,602,624,716,646
Total Current Assets,"16,330","15,823","13,972","13,146","13,677","14,372","16,476","18,676","19,032","20,723"
"Property, Plant & Equipment",791,765,765,765,564,588,"1,550","1,510","1,315","1,257"
Long-Term Investments,132,143,135,119,57,54,53,74,64,60
Goodwill,"8,997","8,860","8,448","8,747","8,358","8,171","8,165","8,666","8,434","8,292"
Intangible Assets,"2,578","2,520","2,180","2,223","1,733","1,149",783,640,492,447
Other Long-Term Assets,"1,423","1,661","1,664","1,615","1,699","2,088","2,378","2,540","2,591","1,925"
Total Long-Term Assets,"13,921","13,949","13,192","13,469","12,411","12,050","12,929","13,430","12,896","11,981"
Total Assets,"30,251","29,772","27,164","26,615","26,088","26,422","29,405","32,106","31,928","32,704"
Accounts Payable,"1,931","1,805","1,772","1,801","1,961","1,943","13,773","15,806","16,578","18,014"
Deferred Revenue,475,408,394,393,311,251,270,296,321,250
Current Debt,703,783,562,336,299,251,712,448,"1,164",945
Other Current Liabilities,"12,302","12,018","10,390","9,965","10,184","10,851",816,874,"1,010","1,097"
Total Current Liabilities,"15,411","15,014","13,118","12,495","12,755","13,296","15,571","17,424","19,073","20,306"
Long-Term Debt,"3,686","4,799","5,175","5,869","5,667","5,993","7,571","8,178","9,000","10,518"
Other Long-Term Liabilities,"2,959","3,328","2,708","2,719","3,018","2,914","2,814","2,921","2,697","2,309"
Total Long-Term Liabilities,"6,645","8,127","7,883","8,588","8,685","8,907","10,385","11,099","11,697","12,827"
Total Liabilities,"22,056","23,141","21,001","21,083","21,440","22,203","25,956","28,523","30,770","33,133"
Total Debt,"4,389","5,582","5,737","6,205","5,966","6,244","8,283","8,626","10,164","11,463"
Debt Growth,5.38%,27.18%,2.78%,8.16%,-3.85%,4.66%,32.66%,4.14%,17.83%,12.78%
Common Stock,3,3,3,3,2,2,2,2,2,2
Retained Earnings,"5,731","4,605","4,117","3,807","2,302","2,093","1,254","1,042","-1,694","-2,772"
Comprehensive Income,"-2,374","-3,134","-3,423","-3,912","-3,496","-3,909","-4,033","-3,861","-3,871","-4,623"
Shareholders' Equity,"8,145","6,571","6,106","5,475","4,583","4,151","3,375","3,495","1,061",-529
Total Liabilities and Equity,"30,251","29,772","27,164","26,615","26,088","26,422","29,405","32,106","31,928","32,704"
Net Cash / Debt,"-3,389","-4,814","-4,997","-5,484","-4,681","-5,416","-7,355","-7,434","-9,328","-10,321"
Net Cash Per Share,-11.31,-16.96,-18.49,-21.04,-18.95,-22.51,-31.55,-32.88,-43.75,-50.35
Working Capital,809,854,651,922,"1,076",905,"1,252",-41,417,-
Book Value Per Share,27.58,23.39,22.79,21.18,18.69,17.40,14.55,15.55,5.01,-2.60
