,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,356.9,337.6,336.6,238.8,195.7,215.3,206.4,279.1,313.1,514.8,"1,293",655.5,"1,869","2,333","3,274","2,723","3,067","2,987","2,791","2,923","2,736","2,697","2,249","2,406","2,220","3,921","5,253","5,788","5,786","4,292","4,469","2,954","2,349","2,957","2,711","3,131","2,242","1,638","1,617","1,963"
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,"1,423","1,016",404,407.1,137,7.3,184.7,12.3,2.6,0,166,0,0,"2,516","1,105",412,409.2,"1,525","1,332",728.6,848.9,357.6,590.7,19.6,271.3,268.7,332.2,271.8
Cash & Cash Equivalents,356.9,337.6,336.6,238.8,195.7,215.3,206.4,279.1,313.1,514.8,"1,293",655.5,"3,293","3,349","3,678","3,130","3,204","2,994","2,976","2,936","2,739","2,697","2,415","2,406","2,220","6,437","6,358","6,200","6,196","5,817","5,801","3,682","3,198","3,315","3,302","3,151","2,514","1,906","1,949","2,234"
Cash Growth,-11.13%,-19.39%,-25.27%,-38.39%,-45.17%,-36.23%,-38.68%,16.88%,59.99%,139.11%,526.55%,134.86%,951.58%,550.49%,184.38%,377.45%,-2.69%,-10.60%,-19.08%,-6.20%,-14.53%,-9.92%,-18.86%,-18.04%,-18.93%,138.69%,163.30%,157.68%,179.06%,-9.64%,-8.76%,-40.61%,-48.39%,-43.01%,-43.08%,-14.44%,-21.39%,-42.49%,-40.96%,-29.08%
Receivables,"2,180","2,196","2,164","2,112","2,111","2,142","1,861","1,775","1,963","2,154","1,749","1,634","1,607","1,616","1,662","1,691","1,721","1,636","1,581","1,676","1,646","1,713","1,738","1,815","1,939","1,973","1,758","2,008","1,934","1,981","2,002","2,179","2,349","2,359","2,310","2,370","2,338","2,605","2,423","2,499"
Inventory,665.3,690.2,706,709.7,693.3,681.9,657.8,665.6,649.8,611.1,255,330.7,322.8,293.3,335.4,347.4,339.9,322.1,396.1,403.4,408.3,408.3,388.3,400.6,399.7,410.9,404.8,422.9,430.3,447.2,453.9,487.2,507.5,514,514.2,635.3,645.6,663.9,651.8,709.3
Other Current Assets,98.1,115.6,87.8,76.4,114.9,63.4,68.8,59.2,105.5,99.1,"1,020",928.8,71.7,88.8,201.6,187.9,131.2,104.1,129.6,74.9,102.4,97.2,77.4,98.3,129.6,185.9,164.5,178.5,206.8,132.3,119.4,135.3,195.5,179.3,156.8,165.1,224.7,179.2,177,206.8
Total Current Assets,"3,300","3,340","3,295","3,137","3,115","3,102","2,794","2,779","3,031","3,379","4,317","3,549","5,294","5,347","5,877","5,356","5,396","5,056","5,082","5,090","4,895","4,915","4,618","4,720","4,689","9,007","8,685","8,810","8,767","8,377","8,376","6,484","6,249","6,367","6,283","6,321","5,722","5,354","5,201","5,650"
"Property, Plant & Equipment","9,312","9,579","9,532","9,608","9,486","9,721","8,745","9,619","8,854","8,799","8,260","8,030","8,198","8,317","8,440","8,632","8,818","9,902","9,924","9,960","10,194","10,428","10,338","10,692","10,624","11,469","11,965","12,517","12,628","13,036","13,255","13,625","14,095","14,132","14,855","15,794","16,465","17,484","18,446","19,914"
Long-Term Investments,"2,670","2,693","2,673","2,650","2,598","2,619","2,616","2,582","2,556","2,516","2,505","2,417","2,444","2,384","2,419","2,384","2,434","2,318","2,291","2,228","2,254","2,229","2,166","2,223","2,155","2,167","2,249","2,337","2,327","2,342","2,390","4,054","4,116","3,981","3,937","3,971","4,982","5,831","5,930","6,290"
