,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"2,582","2,635","2,677","2,561","2,415","2,470",378.8,"1,866","1,777","1,915","1,946","1,883","1,980","2,122","2,203","2,217","2,156","2,259","2,299","2,224","2,188","2,224","2,283","2,255","2,216","2,065","2,320","2,375","2,502","2,605","2,841","2,994","2,945","3,189","3,570","3,175","3,200","3,034","3,191","2,997"
Revenue Growth (YoY),3.93%,3.43%,3.50%,0.60%,-6.48%,-6.24%,-85.85%,-27.12%,-26.39%,-22.50%,413.60%,0.87%,11.40%,10.83%,13.24%,17.75%,8.87%,6.46%,4.35%,0.33%,1.48%,-1.55%,-0.68%,1.38%,1.31%,-7.14%,1.62%,5.34%,12.89%,26.12%,22.46%,26.06%,17.71%,22.44%,25.66%,6.03%,8.66%,-4.87%,-10.61%,-5.58%
Cost of Revenue,"1,918","1,919","1,928","1,831","1,698","1,715",355.1,"1,296","1,213","1,320","1,348","1,317","1,404","1,486","1,545","1,572","1,507","1,545","1,566","1,544","1,475","1,466","1,491","1,487","1,460","1,345","1,567","1,632","1,746","1,802","2,006","2,224","2,152","2,342","2,621","2,272","2,283","2,071","2,207","2,067"
Gross Profit,664.3,715.9,749.3,729.8,716.3,755,23.7,570.4,564.4,594.3,597.3,565.8,576.3,635.9,658.1,644.8,649.2,713.6,733.1,680,713,758,792.4,768.1,756.2,720.3,753.6,742.8,756.5,802.8,834.8,770.6,793.5,847.2,948.8,902.4,917.3,963.2,984.1,930.2
"Selling, General & Admin",263.4,272,238.4,258.2,240.3,241.5,33.6,173.9,167.8,168.4,173.7,164.7,177.6,184.1,187.1,191.6,194.6,188.6,186,189.6,190,188.5,181.9,201.7,201.7,176.9,195.6,202.7,210.3,213.3,202.1,232.8,227,216.9,223.9,234.4,251.2,238.7,232.7,238.4
Research & Development,33.2,33.8,39.3,35.4,35.8,33.4,-27.8,16.9,18.2,18.7,18,15,14.8,14.6,13.2,14.6,14.5,15,20.4,15,16.9,18.1,22.9,17.7,19.2,19.9,27.1,23.5,21.1,23.2,25.7,23.3,23.7,24.8,31.1,24.4,27.2,29.3,24.7,25.7
Other Operating Expenses,-17,-3.7,316.6,6.2,63.3,55.3,18.7,7.1,6.8,12.6,9.2,57.8,-11.7,178.5,0.4,-22.1,-15.3,-5.8,-7,20.4,-10.4,10.8,-44.7,-12.3,-41.9,-15.7,-29.3,-22.5,-23.4,-10.8,-9.7,-8.5,-19.1,-21.9,67.3,-8.4,179.1,51,-11.9,-0.8
Operating Expenses,279.6,302.1,594.3,299.8,339.4,330.2,24.5,197.9,192.8,199.7,200.9,237.5,180.7,377.2,200.7,184.1,193.8,197.8,199.4,225,196.5,217.4,160.1,207.1,179,181.1,193.4,203.7,208,225.7,218.1,247.6,231.6,219.8,322.3,250.4,457.5,319,245.5,263.3
Operating Income,384.7,413.8,155,430,376.9,424.8,-0.8,372.5,371.6,394.6,396.4,328.3,395.6,258.7,457.4,460.7,455.4,515.8,533.7,455,516.5,540.6,632.3,561,577.2,539.2,560.2,539.1,548.5,577.1,616.7,523,561.9,627.4,626.5,652,459.8,644.2,738.6,666.9
Interest Expense / Income,31.5,31.3,29,29.1,23.4,28.2,22.1,22.2,25.7,35.1,32.2,29.5,30.5,29.8,30.8,29.8,30.4,34.9,35.4,37.3,35.4,34.2,30.1,18.7,19.3,32.1,39.2,36.7,36.1,35.6,33.4,30.5,32.3,32.7,32.5,41.2,40.9,47.4,48,53.5
