,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"1,299","1,444","1,245","1,330","1,351","1,397","1,598","1,760",713.6,824.7,"1,017","1,173","1,280","1,360","1,490","1,754","1,024",991.1,"1,020","1,292",987.6,997.3,986.7,908.6,"2,384","1,314","1,456","1,738","2,361","1,243","1,303","1,241","1,300","1,334","1,252","1,434","1,499","1,503","1,734","1,660"
Cash & Cash Equivalents,"1,299","1,444","1,245","1,330","1,351","1,397","1,598","1,760",713.6,824.7,"1,017","1,173","1,280","1,360","1,490","1,754","1,024",991.1,"1,020","1,292",987.6,997.3,986.7,908.6,"2,384","1,314","1,456","1,738","2,361","1,243","1,303","1,241","1,300","1,334","1,252","1,434","1,499","1,503","1,734","1,660"
Cash Growth,27.16%,26.37%,-3.04%,11.52%,3.97%,-3.23%,28.37%,32.40%,-47.18%,-40.97%,-36.35%,-33.36%,79.33%,64.92%,46.48%,49.48%,-19.96%,-27.13%,-31.54%,-26.34%,-3.58%,0.63%,-3.25%,-29.66%,141.35%,31.76%,47.58%,91.29%,-0.94%,-5.43%,-10.55%,-28.58%,-44.96%,7.39%,-3.88%,15.53%,15.32%,12.63%,38.50%,15.76%
Receivables,971.58,"1,031","1,092","1,124","1,092","1,090","1,163","1,105","1,202","1,257","1,319","1,349","1,318","1,407","1,576","1,599","1,516","1,627","1,738","1,792","1,662","1,685","1,689","1,736","1,541","1,658","1,880","1,952","1,932","2,073","2,205","2,455","2,422","2,572","2,640","2,631","2,412","2,444","2,571","2,618"
Inventory,772.71,805.45,848.07,865.6,871.4,893,887.7,851.8,933.5,926.6,926.6,928.9,962.3,"1,059","1,098","1,107","1,167","1,160","1,246","1,234","1,224","1,275","1,274","1,310","1,325","1,362","1,391","1,462","1,565","1,771","1,953","1,894","1,990","2,044","2,080","2,094","2,105","1,998","2,099","2,167"
Other Current Assets,160.73,181.96,187.46,133.3,219.5,213.1,213.6,133.2,140.6,149.5,142.3,139.8,162.1,165.8,189.6,196.8,230.2,243.2,278.6,254.3,253.6,264.5,282.9,256.1,268.4,283.8,309.5,338.9,328.6,"1,404","1,460",367.9,397.3,361.3,354.7,320,378.3,377,369,389.6
Total Current Assets,"3,204","3,462","3,373","3,452","3,534","3,593","3,862","3,850","2,990","3,158","3,405","3,591","3,722","3,992","4,353","4,656","3,937","4,021","4,282","4,572","4,128","4,222","4,232","4,211","5,518","4,618","5,037","5,491","6,187","6,491","6,920","5,958","6,109","6,311","6,327","6,479","6,394","6,321","6,773","6,835"
"Property, Plant & Equipment",538.72,558.65,585.35,590.7,589.5,609.9,611.7,609.5,693.3,692.8,717.6,711.4,726.9,769.4,790.1,816.8,839.3,888.2,886.4,875.8,932,970,965.2,999,982.4,"1,002","1,037","1,055","1,076","1,169","1,175","1,175","1,175","1,155","1,167","1,204","1,244","1,259","1,247","1,315"
Goodwill and Intangibles,"2,487","2,496","2,894","2,943","2,902","3,026","3,012","2,999","4,207","4,176","4,247","4,196","4,258","4,411","4,466","4,531","4,627","4,601","4,575","4,501","5,149","5,442","5,486","5,309","5,274","5,283","5,364","5,430","5,503","6,513","6,443","7,134","7,088","7,026","7,091","7,180","7,283","7,242","7,319","7,927"
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4,0,0,0,296.2,303.4,301,316.3,352.3,367.3,386.1,387.9,411.2,502.4,493.8,512.8,462.6,461.2,415.6,420.4,449.2
