,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,158.5,174.9,182.2,193.5,179.8,179,204.5,200.2,156.6,206.5,224.3,235.4,224.9,251.5,277.5,-103.4,265.6,284.8,316.6,338.1,267.5,288.4,280.3,318.7,242.1,257.7,346.6,357,329.6,369.8,426.5,465,425.7,472.5,496.6,507.5,439.2,460.5,513.9,514.4
Depreciation & Amortization,39.9,37.7,40.4,50.1,40.1,43.4,44.6,43.5,61.9,50.5,51.2,53.4,54.1,56.5,57.9,58.3,60.5,61.7,72.3,105.2,85.6,77.8,72,76.7,72.1,71.5,74.4,90.1,76.7,102.6,95.2,121.1,91.1,90.9,102.6,108.3,96.3,94.1,101,115
Share-Based Compensation,6.6,-5.5,-1.3,9.3,6.5,4.6,11.6,5.3,7.4,-0.7,-4.4,0.9,12.1,12.3,12.7,12.6,12.7,13.3,14.4,15.2,14.4,15.4,16.6,16.6,15.4,16.6,19,19.5,19.1,19.9,21.2,22.8,19.7,20.9,23.6,25.3,21.7,23.8,26.9,26.6
Other Operating Activities,-2.3,-26.5,2.8,20.6,-38.1,7.5,24.7,73.3,-31.7,-12.7,19.8,59.2,-53.3,-39.9,-149.9,460.3,-208.6,-94.7,-64.1,-80.3,-23.9,-59.2,43.3,12.1,54.7,22.3,-41.4,-25.6,-104.4,-104.6,-182.1,-138.3,-185.7,-41.8,-46.8,64.2,-24.8,-42,-23.7,185.8
Operating Cash Flow,202.7,180.6,224.1,273.5,188.3,234.5,285.4,322.3,194.2,243.6,290.9,348.9,237.8,280.4,198.2,427.8,130.2,265.1,339.2,378.2,343.6,322.4,412.2,424.1,384.3,368.1,398.6,441,321,387.7,360.8,470.6,350.8,542.5,576,705.3,532.4,536.4,618.1,841.8
Operating Cash Flow Growth,12.45%,0.03%,13.80%,29.39%,-7.10%,29.84%,27.35%,17.84%,3.13%,3.88%,1.93%,8.25%,22.45%,15.11%,-31.87%,22.61%,-45.25%,-5.46%,71.14%,-11.59%,163.90%,21.61%,21.52%,12.14%,11.85%,14.17%,-3.30%,3.98%,-16.47%,5.32%,-9.48%,6.71%,9.28%,39.93%,59.65%,49.87%,51.77%,-1.12%,7.31%,19.35%
Capital Expenditures,-53.7,-50.8,-56,-43,-39.7,-43.2,-41.2,-39.3,-38.3,-47.4,-46.6,-51.4,-48.4,-51.1,-54.3,-68.7,-54.1,-78.5,-71.8,-101.2,-70.2,-74.2,-71.5,-71.7,-59.6,-66.8,-67.6,-70.1,-77.5,-104.2,-90.1,-84.9,-76.3,-90.1,-119.3,-92.5,-96.9,-94.6,-74.2,-103.1
Acquisitions,-9,-10.5,-448.5,-50.2,-76.1,-95.7,-28,0,"-1,185.8",0,-86.8,-32.5,-46.6,-152.4,-44.5,-22,-99.5,-59.3,-0.1,0,-399.3,-356.9,-135,-46.2,-16.5,0,-33.8,-0.1,-185.6,"-1,345.4",0,-694.4,0,-74.5,-213.7,0,-113.2,0,-179.4,-677.8
Change in Investments,24.3,-86.9,-5.8,8.2,-20.5,226.7,131.4,-1.7,-3,-4.8,-132.2,16.1,103.9,-5.9,6.3,3.5,11.3,-3,4.7,9.7,-5.6,3.1,-1.4,0.1,5.7,-14.5,-9.4,-0.2,2.3,0.3,-1.3,-9.9,-64.5,-71.4,51.9,2.8,-46.7,-28.7,-75.6,91.6
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.6,-2.4,-12.2,1.4,716.4,-3.3,2.8,7.9,9.1,0.2,4.8,-0.1,-
Investing Cash Flow,-38.4,-148.2,-510.3,-85,-136.3,87.8,62.2,-41,"-1,227.1",-52.2,-265.6,-67.8,8.9,-209.4,-92.5,-87.2,-142.3,-140.8,-67.2,-91.5,-475.1,-428,-207.9,-117.8,-70.4,-81.3,-110.8,-71,-263.2,"-1,461.5",-90,-72.8,-144.1,-233.2,-273.2,-80.6,-256.6,-118.5,-329.3,-689.3
Dividends Paid,0,-31.4,-70.5,0,-77.5,0,-38.6,-43.2,-43.2,-43.1,-43.1,-43.3,-49.3,-48.9,-48.9,-57.9,-58.1,-57.4,-68.9,-69.3,-68.7,-68.5,-68.3,-74,-74.4,-74,-74.6,-74.6,-86.8,-86.6,-86.6,-86.7,-119.8,-119.5,-119.1,-119,-124.9,-125,-125.1,-125.6
Share Issuance / Repurchase,-107.4,-84.5,-120.1,-129.6,-46.2,-57.2,-46.4,-34.7,-34.6,-6,-68.2,-69.8,-225.5,-101.4,-94.3,-12.7,-361.4,-233.3,37.5,-247.3,-112.5,-182.7,-117.2,56.8,-227.2,122.5,-97.9,-53,-131.7,-85.1,-93.3,-63.1,-184,-163.7,-98.3,-99.2,-92.6,-64.8,10.7,-43.9
Debt Issued / Paid,84.8,119.8,275.6,48.7,85.6,0.9,93.6,-26.5,47.8,-32.7,127.7,37.4,225.3,154.7,162.7,-19.5,-304.8,176.2,-180.5,315.4,2.8,399.2,-5.5,-366.5,"1,497","-1,350.7",-2.3,-1.4,812.3,203.3,37,-426.1,156.2,-4.3,-45,-271.1,-42.7,-247.5,-1,-4.5
Other Financing Activities,1.6,14.8,9.6,2.7,0.4,4.3,-1.4,6.8,0.2,12.2,15,10.2,-4.2,-15.4,-2.5,-2.3,-3.9,-3.2,-10.8,-0.3,-3.2,-21.4,-0.4,-18.3,-8.1,-76.6,-18,-3.4,-7.6,2.2,-38.8,-7.6,-3.6,-0.4,-0.4,-5.5,-5.2,-1.3,-3,-16
Financing Cash Flow,-21,18.7,94.6,-78.2,-37.7,-52,7.2,-97.6,-29.8,-69.6,31.4,-65.5,-53.7,-11,17,-92.4,-728.2,-117.7,-222.7,-1.5,-181.6,126.6,-191.4,-402,"1,187","-1,378.8",-192.8,-132.4,586.2,33.8,-181.7,-583.5,-151.2,-287.9,-262.8,-494.8,-265.4,-438.6,-118.4,-190
Exchange Rate Effect,-6.8,5.7,-15.5,-14.4,-13.3,2.6,-22,-22.1,12.5,-14.8,2.9,-34.6,15.3,14,12.6,18.7,21.4,-42.4,-15.4,-4.2,3.5,-8.4,-25.9,17.6,-20.2,8,37.2,43.9,-18.4,9.3,-6.4,3.2,-5.1,-53.7,-66.2,54.2,7.6,-45.3,-14,31
Net Cash Flow,136.5,56.8,-207.1,95.9,1,272.9,332.8,161.6,"-1,050.2",107,59.6,181,208.3,74,135.3,266.9,-718.9,-35.8,33.9,281,-309.6,12.6,-13,-78.1,"1,481","-1,084",132.2,281.5,625.6,"-1,030.7",82.7,-182.5,50.4,-32.3,-26.2,184.1,18,-66,156.4,-6.5
Free Cash Flow,149,129.8,168.1,230.5,148.6,191.3,244.2,283,155.9,196.2,244.3,297.5,189.4,229.3,143.9,359.1,76.1,186.6,267.4,277,273.4,248.2,340.7,352.4,324.7,301.3,331,370.9,243.5,283.5,270.7,385.7,274.5,452.4,456.7,612.8,435.5,441.8,543.9,738.7
Free Cash Flow Growth,-1.57%,-10.37%,6.47%,43.76%,-0.27%,47.38%,45.27%,22.78%,4.91%,2.56%,0.04%,5.12%,21.49%,16.87%,-41.10%,20.71%,-59.82%,-18.62%,85.82%,-22.86%,259.26%,33.01%,27.41%,27.22%,18.76%,21.39%,-2.85%,5.25%,-25.01%,-5.91%,-18.22%,3.99%,12.73%,59.58%,68.71%,58.88%,58.65%,-2.34%,19.09%,20.55%
Free Cash Flow Margin,11.96%,9.88%,12.37%,16.16%,11.20%,14.15%,16.73%,19.78%,10.74%,12.67%,14.93%,18.02%,12.14%,13.76%,7.82%,18.47%,4.08%,9.42%,12.56%,12.45%,13.96%,12.32%,16.22%,16.38%,17.44%,15.16%,14.25%,15.29%,10.24%,10.68%,9.60%,12.74%,9.30%,14.42%,13.86%,18.92%,14.64%,14.47%,17.00%,22.20%
Free Cash Flow Per Share,0.24,0.21,0.27,0.37,0.24,0.31,0.40,0.46,0.25,0.32,0.40,0.48,0.31,0.38,0.24,0.59,0.13,0.31,0.45,0.46,0.46,0.42,0.57,0.59,0.55,0.51,0.55,0.62,0.41,0.47,0.45,0.65,0.46,0.76,0.77,1.03,0.73,0.74,0.91,1.24
