,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,985,"1,171","1,028",860,559,"1,172",436,536,464,438,397,738,548,793,"1,354","1,597","1,346",971,772,568,322,381,357,428,"2,087","1,917","2,154","2,853","2,882","2,978","2,793","3,139","4,877","4,670","4,854","1,531","1,100","1,302","1,808","1,640"
Cash & Cash Equivalents,985,"1,171","1,028",860,559,"1,172",436,536,464,438,397,738,548,793,"1,354","1,597","1,346",971,772,568,322,381,357,428,"2,087","1,917","2,154","2,853","2,882","2,978","2,793","3,139","4,877","4,670","4,854","1,531","1,100","1,302","1,808","1,640"
Cash Growth,18.11%,16.40%,-2.84%,-38.26%,-43.25%,0.09%,-57.59%,-37.67%,-16.99%,-62.63%,-8.94%,37.69%,18.10%,81.05%,241.06%,116.40%,145.62%,22.45%,-42.98%,-64.43%,-76.08%,-60.76%,-53.76%,-24.65%,548.14%,403.15%,503.36%,566.59%,38.09%,55.35%,29.67%,10.02%,69.22%,56.82%,73.79%,-51.23%,-77.45%,-72.12%,-62.75%,7.12%
Receivables,"3,066","3,049","2,839","2,400","2,677","2,700","2,615","2,750","2,934","2,900","2,983","2,130","3,132","3,127","3,225","2,440","2,646","2,598","2,635","2,487","2,736","2,679","2,661","2,569","2,308","1,834","2,620","2,812","2,798","2,654","2,715","2,784","3,054","3,028","3,366","3,433","3,564","3,729","3,647","3,546"
Inventory,"1,235","1,262","1,227","1,013","1,081","1,150","1,187","1,181","1,287","1,318","1,375",859,"1,375","1,485","1,642","1,083","1,202","1,265","1,358","1,277","1,326","1,304","1,345","1,286","1,363","1,212","1,229","1,297","1,525","1,801","2,119","2,014","2,312","2,362","2,306","2,340","2,485","2,380","2,432","2,365"
Other Current Assets,594,600,588,951,"1,370",912,816,654,397,395,392,"1,692",432,444,489,521,732,506,439,445,435,490,"1,022","1,036",432,449,586,503,596,622,477,499,531,498,457,480,576,661,603,696
Total Current Assets,"5,880","6,082","5,682","5,224","5,687","5,934","5,054","5,121","5,082","5,051","5,147","5,419","5,487","5,849","6,710","5,641","5,926","5,340","5,204","4,777","4,819","4,854","5,385","5,319","6,190","5,412","6,589","7,465","7,801","8,055","8,104","8,436","10,774","10,558","10,983","7,784","7,725","8,072","8,490","8,247"
"Property, Plant & Equipment","3,251","3,311","3,273","3,021","2,905","2,988","3,010","3,377","3,446","3,430","3,522","2,325","3,569","3,671","3,819","2,804","2,890","2,972","3,056","3,179","3,652","3,681","3,556","3,722","3,642","3,573","3,598","3,681","3,523","3,571","3,574","3,677","3,672","3,625","3,563","3,946","3,988","4,062","4,090","4,325"
Long-Term Investments,229,248,243,98,101,93,93,94,100,96,104,67,118,127,130,91,101,99,101,99,102,103,105,106,"2,090","2,073","2,047","2,011","1,962","1,908","1,852","1,797","1,949","1,863","1,772","1,723","1,651","1,581","1,498","1,443"
Goodwill and Intangibles,"1,190","1,158","1,083","1,384","1,292","1,280","1,304","2,922","2,963","2,916","2,905","2,650","2,801","2,860","2,883","3,163","3,184","3,402","3,378","3,904","3,837","3,822","3,264","3,593","3,521","3,505","3,574","3,671","3,536","3,568","3,477","3,475","3,403","3,268","3,080","7,691","7,633","7,627","7,496","7,550"
