,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,13.72,2.9,8.97,13.1,17.86,47.44,41.07,23.33,-4.19,-176.21
Depreciation & Amortization,9.16,8.37,3.86,5.05,5.98,7.67,14.46,24.41,67.64,108.05
Share-Based Compensation,5.28,3.66,4.12,3.39,4.96,6.99,6.23,6.93,5.39,10.77
Other Operating Activities,5.85,24.49,-16.39,-32.05,40.41,-35.15,-36.67,31.86,-78.46,68.8
Operating Cash Flow,34.01,39.41,0.55,-10.5,69.21,26.95,25.1,86.53,-9.62,11.4
Operating Cash Flow Growth,16.28%,15.90%,-98.60%,-,-,-61.07%,-6.86%,244.79%,-,-
Capital Expenditures,-7.14,-5.28,-6.12,-9.02,-9.56,-8.9,-11.14,-11.26,-22.29,-14.87
Acquisitions,0,0,0,-0.43,0,31.99,-18.64,-385.61,-46.15,-5.74
Change in Investments,18.33,-18.39,-9.83,-27.07,3.17,-11.55,88.95,18.11,15.93,13.86
Other Investing Activities,-0.75,-0.15,-0.63,-0.84,-1.22,-,-,-,0.22,-0.25
Investing Cash Flow,10.44,-23.82,-16.58,-37.35,-7.62,11.55,59.17,-378.77,-52.29,-7
Share Issuance / Repurchase,6.71,0.72,-2.63,3.87,2.71,0.07,0.1,1.52,2.78,106.93
Debt Issued / Paid,0,0,-0.47,-0.39,-0.29,-0.16,0,196.12,-10.29,-55
Other Financing Activities,0.49,0.13,0.01,-0.01,-0.4,-1.09,-1.93,-3.48,-9.09,-1.09
Financing Cash Flow,7.19,0.85,-3.1,3.47,2.02,-1.18,-1.83,194.16,-16.61,50.83
Exchange Rate Effect,0,0,0,0,0,0,0,0,-1.32,0.4
Net Cash Flow,51.64,16.44,-19.12,-44.38,63.61,29.19,82.43,-98.08,-79.83,55.63
Free Cash Flow,26.86,34.13,-5.57,-19.52,59.65,18.05,13.96,75.27,-31.91,-3.47
Free Cash Flow Growth,54.29%,27.07%,-,-,-,-69.74%,-22.67%,439.25%,-,-
Free Cash Flow Margin,10.67%,13.16%,-2.38%,-8.37%,22.22%,5.74%,3.80%,19.06%,-7.16%,-0.64%
Free Cash Flow Per Share,1.20,1.49,-0.24,-0.85,2.54,0.76,0.59,3.13,-1.29,-0.14
