,2014-01-25,2014-04-30,2014-08-02,2014-11-01,2015-01-31,2015-04-30,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-30,2017-07-29,2017-10-28,2018-01-27,2018-04-30,2018-07-28,2018-10-27,2019-01-26,2019-04-30,2019-07-27,2019-10-26,2020-01-25,2020-04-30,2020-08-01,2020-10-31,2021-01-30,2021-04-30,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30,2022-10-29,2023-01-28,2023-04-30,2023-07-29,2023-10-28
Cash & Equivalents,92.75,126.97,148.05,126.34,125.98,143.41,146.45,128.03,122.71,124.29,122.31,88.88,73.28,79.9,117.47,117.11,112.3,143.52,170.79,151.26,149.37,172.71,137.09,130.74,131.5,255.14,246.84,280.1,324.54,148.74,93.92,104.77,82.53,77.23,93.18,101.42,78.28,132.86,105.87,100.91
Short-Term Investments,74.83,70.64,76.84,81.12,77.58,85.38,71.02,77.97,97.69,103.4,101.8,118.21,121.1,119.97,107.83,110.75,109.54,113.65,118.3,138.54,144.82,150.49,163.63,161.64,148.5,47.51,71.33,67.14,48.5,31.97,17.95,6.31,3.97,24.72,12.66,0,0,0,0,0
Cash & Cash Equivalents,167.58,197.61,224.89,207.46,203.56,228.79,217.47,206,220.4,227.69,224.12,207.08,194.37,199.88,225.3,227.86,221.85,257.17,289.09,289.79,294.18,323.2,300.73,292.38,280,302.65,318.17,347.24,373.04,180.71,111.88,111.08,86.5,101.95,105.84,101.42,78.28,132.86,105.87,100.91
Cash Growth,25.26%,33.00%,74.59%,44.27%,21.47%,15.78%,-3.30%,-0.70%,8.27%,-0.48%,3.06%,0.53%,-11.81%,-12.22%,0.53%,10.03%,14.13%,28.66%,28.31%,27.18%,32.61%,25.68%,4.03%,0.89%,-4.82%,-6.36%,5.80%,18.76%,33.23%,-40.29%,-64.84%,-68.01%,-76.81%,-43.59%,-5.40%,-8.70%,-9.50%,30.32%,0.03%,-0.50%
Receivables,51.25,42.67,30.87,38.2,46.18,50.96,42.2,54.54,49.43,74.94,47.13,42.97,37.94,82.84,41.44,48.6,50.65,73.69,73.67,80.29,85.7,84.1,90.66,102.96,105.35,149.5,117.15,101.27,87.71,134.28,132.9,145.58,139.73,164.36,141.46,124.12,162.16,193.29,186.47,215.68
Inventory,55.44,50.7,46.44,51.8,48.8,39.41,43.92,48.34,46.43,37.49,44.11,55.17,68.81,40.91,72.02,76.04,77.33,37.43,42.24,46.1,50.38,54.06,56.34,52.77,65.16,45.54,45.53,51.78,53.1,71.65,84.85,81.94,89.62,90.63,98.6,109.81,125.94,138.81,175.4,181.77
Other Current Assets,15.11,15.88,11.53,14.11,11.36,9.86,14.59,12.44,13.37,4.15,8.42,8.66,7.83,30.46,8.24,5.18,5.43,30.77,5.2,5.73,6.62,8.24,7.61,8.05,6.83,6.25,5.94,7.31,7.69,15,15.29,25.47,38.68,11.97,11.37,22.18,24.5,12.04,13.95,25.69
Total Current Assets,289.38,306.86,313.73,311.57,309.9,329.03,318.18,321.32,329.63,344.27,323.77,313.89,308.95,354.09,346.99,357.67,355.26,399.05,410.2,421.91,436.88,469.59,455.33,456.15,457.33,503.93,486.79,507.6,521.54,401.64,344.92,364.08,354.52,368.91,357.27,357.53,390.88,477,481.69,524.05
"Property, Plant & Equipment",24.49,20,17.9,16.89,16.14,13.5,13.02,13.58,14.31,16.76,16.91,17.45,18.41,15.96,20.32,21.61,21.63,19.22,19.35,20.46,20.54,16.91,27.66,29.47,29.35,30.49,36.52,35.23,34.2,81.8,94.21,94.28,90.23,89.07,87.25,78,73.72,67.16,65.51,74.4
Long-Term Investments,45.88,50.51,39.32,49.72,54.58,46.77,44.73,37.72,38.18,33.86,33.1,42.56,43.75,42.1,35.84,33.02,38.82,40.66,36.71,30.46,27.95,9.39,4.89,13.48,26.41,15.03,20.34,20.98,11.22,12.16,10.17,11.27,12.39,15.43,17.71,22.46,19.32,23.61,22.58,20.61
