,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,379.92,476.85,519.13,535.69,605.09,297.72,168.81,420.45,505.33,267.9,287.69,232.19,329.98,368.72,293.15,217.11,201.91,271.41,349.9,281.59,217.86,195.21,330.04,334.75,127.61,868.42,415.69,182.4,313.53,229.73,487.11,435.85,543.79,457.41,260.19,487.13,734.25,376.06,947,780.11
Cash & Cash Equivalents,379.92,476.85,519.13,535.69,605.09,297.72,168.81,420.45,505.33,267.9,287.69,232.19,329.98,368.72,293.15,217.11,201.91,271.41,349.9,281.59,217.86,195.21,330.04,334.75,127.61,868.42,415.69,182.4,313.53,229.73,487.11,435.85,543.79,457.41,260.19,487.13,734.25,376.06,947,780.11
Cash Growth,-86.35%,-11.87%,152.56%,153.48%,59.27%,-37.57%,-67.48%,-21.51%,-16.49%,-10.01%,70.43%,-44.78%,-34.70%,37.63%,1.90%,-6.49%,-38.81%,-26.39%,19.36%,29.70%,7.90%,-28.08%,-5.67%,18.88%,-41.42%,344.87%,25.95%,-45.51%,145.69%,-73.55%,17.18%,138.95%,73.44%,99.11%,-46.58%,11.76%,35.02%,-17.78%,263.96%,60.14%
"Property, Plant & Equipment","14,284","14,452","14,510","14,724","14,936","15,384","15,581","15,791","15,942","16,311","16,498","16,871","17,033","17,067","17,135","17,446","17,718","17,885","17,861","17,930","17,731","18,000","18,132","18,241","18,558","18,571","18,460","18,455","18,389","18,406","18,299","18,518","18,856","18,894","18,946","19,094","19,136","19,182","19,198","19,279"
Total Assets,"15,328","15,570","15,658","15,881","16,141","16,264","16,320","16,782","16,931","17,043","17,395","17,589","17,867","17,978","17,944","18,178","18,415","18,646","18,671","18,662","18,380","18,640","18,933","19,060","19,121","19,891","19,351","19,145","19,199","19,121","19,317","19,479","19,902","19,870","19,769","20,165","20,458","20,175","20,806","20,703"
Total Liabilities,"6,711","6,947","6,820","6,823","7,081","7,156","7,099","6,942","7,081","7,187","7,529","7,542","7,688","7,703","7,652","7,835","8,021","8,305","8,267","8,259","7,744","7,903","8,179","8,242","8,128","8,976","8,478","8,472","8,444","8,449","8,405","8,688","8,966","8,889","8,848","8,951","9,202","9,003","8,989","8,924"
Total Debt,"6,134","6,382","6,255","6,242","6,490","6,562","6,487","6,307","6,457","6,503","6,834","6,816","7,031","7,006","6,992","7,128","7,329","7,599","7,571","7,533","7,040","7,181","7,490","7,498","7,437","8,276","7,814","7,747","7,746","7,718","7,711","7,954","8,270","8,173","8,168","8,183","8,479","8,224","8,218","8,101"
Debt Growth,59.29%,7.65%,6.86%,2.36%,5.79%,2.83%,3.71%,1.04%,-0.50%,-0.91%,5.35%,8.07%,8.89%,7.74%,2.31%,4.58%,4.25%,8.47%,8.29%,5.68%,-3.95%,-5.51%,-1.07%,-0.47%,5.63%,15.26%,4.32%,3.31%,4.16%,-6.75%,-1.31%,2.68%,6.77%,5.90%,5.92%,2.88%,2.52%,0.63%,0.61%,-1.00%
Common Stock,"8,990","9,004","9,215","9,346","9,356","9,362","9,467","10,050","10,070","10,071","10,094","10,101","10,107","10,162","10,223","10,230","10,237","10,231","10,242","10,251","10,308","10,459","10,521","10,530","10,738","10,733","10,744","10,683","10,666","10,659","10,672","10,686","10,718","10,713","10,729","10,740","10,767","10,766","11,271","11,280"
Retained Earnings,-345.25,-353.03,-347.59,-256.16,-267.09,-223.33,-217.44,-182.49,-197.99,-146.8,-134.81,36.04,94.9,133.67,102.55,144.65,188.61,128.17,179.07,167.95,350.78,306.86,262.55,329.32,282.91,225.66,172.3,29.71,126.02,47.15,272.4,128.55,240.82,278.95,195.04,466.89,485.22,401.88,534.29,470.98
