,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,40.03,36.19,37.18,44.35,46.82,44.76,46.71,50.38,56.04,55.53,58.76,71.88,82.08,79.24,79.64,90.26,94.65,101.22,99.23,104.84,114.79,115.81,112.36,130.84,171.85,147.16,141.26,166.44,226.14,195.02,218.8,231.99,217.58,256.43,285.61,311.75,336.14,343.04,374.61,413.6
Revenue Growth (YoY),24.63%,18.90%,15.54%,26.00%,16.97%,23.70%,25.66%,13.59%,19.70%,24.06%,25.78%,42.69%,46.46%,42.70%,35.55%,25.57%,15.32%,27.73%,24.59%,16.15%,21.28%,14.42%,13.24%,24.80%,49.71%,27.07%,25.72%,27.21%,31.59%,32.52%,54.89%,39.38%,-3.79%,31.49%,30.54%,34.38%,54.49%,33.78%,31.16%,32.67%
Cost of Revenue,14.47,13.98,13.96,15.64,19.4,14.89,15.99,19.31,19.05,18.63,21.46,25.32,32.31,30.57,34.01,40.5,31.64,36.75,36.08,39.2,49.45,46.89,46.8,50.67,79.21,58.55,53.08,68.2,84.83,71.67,80.87,87.42,82.52,100.69,111.65,118.5,130.46,138.94,142.48,158.33
Gross Profit,25.55,22.21,23.21,28.71,27.41,29.87,30.72,31.07,36.99,36.9,37.3,46.57,49.77,48.67,45.64,49.77,63.02,64.46,63.14,65.63,65.35,68.92,65.56,80.17,92.64,88.61,88.18,98.24,141.31,123.35,137.93,144.57,135.06,155.74,173.96,193.26,205.68,204.1,232.12,255.27
"Selling, General & Admin",11.66,13.75,13.55,12.44,14.42,14.57,15.44,17.83,21.86,24.83,24.38,28.12,30.74,30.86,31.82,36.4,39.61,35.76,39.34,39.69,42.1,42.89,43.36,48.42,78.28,63.03,72.29,74.44,97.52,126.6,177.66,99.3,111.45,90.13,95.01,102.02,114.42,116.57,119.92,123.28
Research & Development,3.44,3.61,3.46,3.76,4.07,4.56,5.91,6.53,6.62,6.93,6.71,7.36,9.61,12.46,12.99,14.17,15.76,15.12,18.5,21.98,21.25,23.35,23.49,25.13,28.75,26.38,29.56,29.25,38.01,47.02,53.95,42.38,50.67,48.42,57.55,59.13,68.72,70.93,71.94,76.88
Other Operating Expenses,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,16.55,17.35,17,16.2,18.49,19.12,21.35,24.36,28.48,31.76,31.09,35.48,40.36,43.32,44.81,50.56,55.37,50.88,57.84,61.67,63.35,66.25,66.86,73.55,107.03,89.41,101.85,103.69,135.53,173.62,231.61,141.68,162.13,138.55,152.55,161.15,183.14,187.49,191.86,200.16
Operating Income,9,4.86,6.21,12.51,8.92,10.75,9.37,6.71,8.51,5.14,6.21,11.09,9.41,5.35,0.82,-0.8,7.65,13.58,5.3,3.97,1.99,2.67,-1.3,6.62,-14.39,-0.8,-13.68,-5.45,5.78,-50.26,-93.69,2.89,-27.07,17.19,21.41,32.11,22.54,16.61,40.26,55.11
Other Expense / Income,-0.06,-0.03,-0.04,0.16,0.11,0.07,-0.1,0.02,-0.01,-0.12,0.12,0.46,-0.11,-0.21,-1.68,-1.43,0.58,-1.26,0.3,-1.27,-1.02,-2.31,-1.85,-1.82,-2.49,-0.94,-1.61,-2.04,-3.27,-0.59,-41.84,5.53,10.15,-55.3,-47.03,11.25,-12.19,-25.28,52.37,-14.31
Pretax Income,9.06,4.89,6.25,12.35,8.82,10.68,9.47,6.68,8.52,5.26,6.09,10.63,9.52,5.56,2.51,0.63,7.07,14.85,5,5.24,3.01,4.98,0.55,8.44,-11.9,0.14,-12.06,-3.41,9.04,-49.68,-51.84,-2.64,-37.21,72.49,68.44,20.86,34.73,41.88,-12.11,69.42
Income Tax,3.68,1.5,2.37,4.8,3.73,3.48,3.37,5.16,3.42,1.8,2.44,6.79,3.18,0.98,0.23,0.21,9.14,1.92,-3.48,-0.47,0.93,-1.44,-0.19,2.33,0.48,-3.93,18.7,-2.54,-16.79,-1.76,-4.73,-51.16,-23.71,17.62,17.48,8.73,5.56,-3.26,-24.53,10.03
Net Income,5.38,3.39,3.88,7.56,5.09,7.21,6.1,1.52,5.1,3.46,3.65,3.84,6.34,4.58,2.28,0.42,-2.07,12.93,8.49,5.71,2.08,6.42,0.74,6.1,-12.38,4.07,-30.76,-0.87,25.83,-47.92,-47.12,48.52,-13.51,54.87,50.96,12.13,29.18,45.14,12.42,59.4
Net Income Growth,40.89%,2.82%,-12.86%,47.79%,-5.38%,112.47%,57.13%,-79.88%,0.35%,-51.94%,-40.19%,152.66%,24.24%,32.26%,-37.64%,-89.02%,-,182.23%,272.80%,1253.32%,-,-50.34%,-91.30%,6.88%,-,-36.53%,-,-,-,-,-,-,-,-,-,-75.00%,-,-17.74%,-75.63%,389.63%
