,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,-,"12,344","2,976","5,936","2,893","30,843","22,754","12,498","5,365","7,550","7,623","17,855","10,647","14,683","17,668","24,073","7,561","8,685","20,033","33,052","25,830","21,252","72,540","52,309","3,162","47,591","28,769","79,427","-5,479","45,141","5,367","27,692","-16,241","22,739","-20,561","46,815","23,516","34,332","27,706","14,433"
Depreciation & Amortization,-,657,"1,138","1,268","1,436","1,429","1,587","1,852","2,180","2,455","2,579","2,613","6,645","3,592","3,761","4,578","10,089","7,627","6,166","6,950","19,003","7,748","12,757","8,490","18,173","8,619","9,197","10,299","19,794","9,970","9,713","9,379","19,003","9,446","9,876","5,530","14,972","9,160","8,823","14,601"
Share-Based Compensation,-,"1,073","3,010","4,313","4,632","3,995","3,164","4,370","3,433","3,694","4,251","3,744","2,937","4,019","4,686","5,115","6,255","16,378","7,043","6,960","7,110","7,115","8,145","7,830","8,652","7,715","24,694","9,079","8,632","7,811","10,121","9,776","-3,737","6,725","7,787","8,773","7,546","-1,629","6,830","6,222"
Other Operating Activities,-,"-3,957","-1,311","7,891","-3,194","-25,867","-12,381","7,510","-5,896","1,259","2,753","13,204","-6,955","3,579","4,006","21,662","-9,630","3,392","-1,935","17,868","-33,473","-1,699","-46,167","28,011","-27,881","-13,768","-8,471","4,295","1,123","-29,246","10,508","33,402","-6,190","-4,961","49,882","26,154","-14,761","3,533","5,731","29,338"
Operating Cash Flow,-,"10,177","5,865","19,408","5,767","10,400","15,124","26,230","5,082","14,958","17,206","37,416","13,274","25,873","30,121","55,428","14,383","36,117","31,407","64,898","18,553","34,612","47,326","96,505","2,164","50,099","54,296","103,208","24,183","33,603","35,830","80,366","-7,040","33,869","47,112","87,370","31,401","45,306","49,231","64,716"
Operating Cash Flow Growth,-,-,-,328.81%,-,2.19%,157.87%,35.15%,-11.88%,43.83%,13.77%,42.65%,161.20%,72.97%,75.06%,48.14%,8.35%,39.59%,4.27%,17.09%,28.99%,-4.17%,50.69%,48.70%,-88.34%,44.74%,14.73%,6.95%,1017.51%,-32.93%,-34.01%,-22.13%,-,0.79%,31.49%,8.72%,-,33.77%,4.50%,-25.93%
Capital Expenditures,-,0,0,0,"-7,705",0,0,0,"-10,845",0,0,0,"-11,006",0,0,0,"-19,628","-6,451",0,0,"-49,643",0,"-4,004",0,"-32,738",0,0,0,"-41,081",0,0,0,"-53,309",0,0,0,"-33,686",0,0,0
Acquisitions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-32,781",-,-,-,"-1,270","-3,948",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Change in Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-27,684",-,-,-,"-11,064","-17,357",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Investing Activities,-,"-10,410","-32,555","-4,817","2,033","-15,592","-5,575","-14,271","3,452","-61,468","-5,715","-8,146","6,756","-13,923","-25,561","-24,304",-348,"-4,754","-31,584","-31,055","32,892","-8,802","3,956","-32,588",-257,"-67,728","-69,053","-79,712","13,380","-47,775","-29,773","-33,790","-33,945","-27,607","-8,148","-72,943","6,878","12,595","-23,761","-30,925"
