,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,175.4,155.3,189.5,191.4,228.8,227.3,244.4,224,205,"6,399",645,597,458,433,556,448,477,549,598,721,603,764,483,"1,798",801,643,771,"1,366",461,571,"1,446",563,437,480,473,548,572,955,"1,335",695
Cash & Cash Equivalents,175.4,155.3,189.5,191.4,228.8,227.3,244.4,224,205,"6,399",645,597,458,433,556,448,477,549,598,721,603,764,483,"1,798",801,643,771,"1,366",461,571,"1,446",563,437,480,473,548,572,955,"1,335",695
Cash Growth,-15.67%,-8.38%,12.66%,-53.99%,30.44%,46.36%,28.97%,17.03%,-10.40%,2715.22%,163.91%,166.52%,123.41%,-93.23%,-13.80%,-24.96%,4.15%,26.79%,7.55%,60.94%,26.42%,39.16%,-19.23%,149.38%,32.84%,-15.84%,59.63%,-24.03%,-42.45%,-11.20%,87.55%,-58.78%,-5.21%,-15.94%,-67.29%,-2.66%,30.89%,98.96%,182.24%,26.82%
Receivables,981.1,"1,074","1,049",957.1,"1,044","1,192","1,098",885.4,"1,022","1,899","1,789","1,477","1,695","1,637","1,793","1,626","2,090","2,013","1,872","1,802","1,885","1,956","1,957","1,631","1,862","1,810","1,772","1,738","2,115","2,620","2,489","2,560","3,128","3,139","2,877","2,594","2,561","2,291","2,059","2,334"
Inventory,"1,082","1,028",972.7,"1,017","1,033",929,876,898.4,956,"1,483","1,418","1,413","1,554","1,524","1,433","1,526","1,447","1,257","1,243","1,271","1,275","1,183","1,180","1,274","1,354","1,388","1,309","1,353","1,399","1,490","1,638","1,795","2,323","2,473","2,201","2,179","2,191","1,982","1,688","1,559"
Other Current Assets,166.2,162.8,167.2,148.3,162.2,156.8,164.4,176.2,140,238,252,152,200,171,148,159,146,"1,056",147,146,636,630,209,181,224,169,173,218,262,348,344,305,418,401,261,168,183,207,326,295
Total Current Assets,"2,404","2,420","2,379","2,314","2,468","2,505","2,383","2,184","2,323","10,019","4,104","3,639","3,907","3,765","3,930","3,759","4,160","4,875","3,860","3,940","4,399","4,533","3,829","4,884","4,241","4,010","4,025","4,675","4,237","5,029","5,917","5,223","6,306","6,493","5,812","5,489","5,507","5,435","5,408","4,883"
"Property, Plant & Equipment","2,360","2,383","2,371","2,431","2,424","2,483","2,547","2,686","2,730","4,396","4,440","4,379","4,403","4,424","4,525","4,610","4,727","4,473","4,508","4,542","4,360","4,385","4,320","4,470","4,499","4,662","4,895","5,351","5,570","5,915","6,170","6,502","7,126","7,069","7,181","7,053","7,203","7,280","7,264","7,380"
Long-Term Investments,34.4,35.7,33.9,33.2,31.3,33.9,33.7,34.3,34,201,210,204,213,252,257,274,281,274,314,302,285,284,282,291,289,295,304,321,306,305,182,184,190,203,193,193,198,201,0,0
Goodwill,"2,399","2,390","2,301","2,255","2,178","2,209","2,204","2,177","2,251","4,902","5,211","5,095","5,152","4,936","4,908","4,933","4,970","4,516","4,497","4,475","4,410","4,433","4,371","4,419","4,270","4,314","4,401","4,484","4,416","4,448","4,407","4,378","4,324","4,350","4,119","4,235","4,255","4,269","4,222","4,290"
