,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"2,049","1,866","2,078","2,925","2,530","6,680","1,970","2,213","2,211","2,630","2,597","2,801","2,858","3,817","3,517","3,394","2,947","2,857","2,860","1,838","1,908","2,925","3,009","3,335","4,110","4,085","4,359","3,730","3,182","3,136","3,258","2,951","2,294","1,852","1,601","1,718","1,673","1,722","5,788","3,194"
Short-Term Investments,0,0,0,0,0,0,"4,156","5,148","1,232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"2,049","1,866","2,078","2,925","2,530","6,680","6,126","7,361","3,443","2,630","2,597","2,801","2,858","3,817","3,517","3,394","2,947","2,857","2,860","1,838","1,908","2,925","3,009","3,335","4,110","4,085","4,359","3,730","3,182","3,136","3,258","2,951","2,294","1,852","1,601","1,718","1,673","1,722","5,788","3,194"
Cash Growth,-23.80%,-68.84%,-12.54%,7.03%,23.47%,257.98%,194.80%,151.66%,36.09%,-60.63%,-57.61%,-61.95%,-16.99%,45.13%,35.43%,21.17%,3.11%,-25.15%,-18.68%,-45.85%,-35.26%,2.38%,5.21%,81.45%,115.41%,39.66%,44.87%,11.84%,-22.58%,-23.23%,-25.26%,-20.88%,-27.91%,-40.94%,-50.86%,-41.78%,-27.07%,-7.02%,261.52%,85.91%
Receivables,"2,708","2,914","2,842","1,884","2,599","2,852","1,772","1,731","1,830","1,813","1,739","1,691","1,646","1,721","1,748","1,793","1,807","1,783","1,826","1,840","1,802","1,885","1,814","1,896","1,892","1,884","2,001","2,007","1,915","2,021","2,074","2,629","2,471","2,473","2,555","2,571","2,547","2,495","2,512","2,690"
Inventory,"3,748","3,836","3,704","1,577","3,501","3,842","1,696","1,604","1,682","1,591","1,568","1,430","1,480","1,525","1,550","1,475","1,581","1,622","1,718","1,667","1,751","1,757","1,715","1,653","1,694","1,905","1,988","1,916","2,017","2,065","2,025","2,453","2,548","2,663","2,675","2,679","2,922","2,897","2,873","2,824"
Other Current Assets,883,871,"1,007","3,776","1,104","1,123","1,544","1,100","1,062",789,685,652,649,641,633,601,621,628,624,614,626,651,672,619,637,692,685,758,742,782,810,839,860,894,979,"1,043",957,"1,091",861,892
Total Current Assets,"9,388","9,487","9,631","10,162","9,734","14,497","11,138","11,796","8,017","6,823","6,589","6,574","6,633","7,704","7,448","7,263","6,956","6,890","7,028","5,959","6,087","7,218","7,210","7,503","8,333","8,566","9,033","8,411","7,856","8,004","8,167","8,872","8,173","7,882","7,810","8,011","8,099","8,205","12,034","9,600"
"Property, Plant & Equipment","7,962","8,152","8,448","4,434","8,492","8,967","4,338","4,386","4,403","4,329","4,327","4,289","4,274","4,337","4,488","4,588","4,614","4,531","4,520","4,530","5,056","5,129","4,995","5,120","4,917","4,963","5,038","5,325","5,181","5,216","5,163","5,808","5,723","5,542","5,345","5,236","5,554","5,027","4,797","4,957"
Goodwill and Intangibles,"6,495","6,555","6,201","4,547","5,762","5,876","4,128","4,036","4,086","3,912","3,859","3,706","3,724","3,855","4,488","4,473","4,614","4,411","4,382","4,412","4,371","4,302","4,212","4,501","4,720","4,768","4,772","4,888","5,073","5,058","4,974","17,628","17,509","17,103","13,566","13,245","13,508","12,888","12,637","12,593"
Other Long-Term Assets,"1,416","1,435","1,283","6,995",873,675,568,744,844,918,"1,020",977,"1,028","1,067","1,117",787,706,746,917,819,836,895,882,"1,069","1,105","1,168","1,255","1,395","1,356","1,404","1,503","1,213","1,311","1,304","1,244","1,795","1,130","1,765","1,188","1,126"
Total Long-Term Assets,"15,873","16,142","15,932","15,976","15,127","15,518","9,034","9,166","9,333","9,159","9,206","8,972","9,026","9,259","10,093","9,848","9,934","9,688","9,819","9,761","10,263","10,326","10,089","10,690","10,742","10,899","11,065","11,608","11,610","11,678","11,640","24,649","24,543","23,949","20,155","20,276","20,192","19,680","18,622","18,676"
Total Assets,"25,261","25,629","25,563","26,138","24,861","30,015","20,172","20,962","17,350","15,982","15,795","15,546","15,659","16,963","17,541","17,111","16,890","16,578","16,847","15,720","16,350","17,544","17,299","18,193","19,075","19,465","20,098","20,019","19,466","19,682","19,807","33,521","32,716","31,831","27,965","28,287","28,291","27,885","30,656","28,276"
Accounts Payable,"4,468","4,484","4,460","2,677","3,749","4,148","3,000","2,666","2,387","2,537","2,499","2,612","2,330","2,471","2,572","2,733","2,533","2,524","2,592","2,810","2,529","2,593","2,609","2,689","2,500","2,561","2,695","1,043","1,023","1,005",999,"1,246","1,223","1,282","1,234","1,110","1,290","1,240","1,246","1,241"
Current Debt,"1,177","1,311","1,515","1,698","2,325","2,164","2,938","2,585","1,289","1,074",6,3,3,3,3,3,3,3,3,4,798,4,2,541,536,319,727,406,407,457,510,511,409,408,279,"1,404","1,153","2,177","2,426","2,668"
Other Current Liabilities,0,0,15,"1,662",0,0,43,499,147,112,101,129,105,84,87,85,106,102,109,0,0,0,0,0,0,0,0,"1,884","1,757","1,882","1,932","2,479","2,258","2,226","2,195","2,231","2,317","2,348","2,537","2,594"
Total Current Liabilities,"5,645","5,795","5,990","6,037","6,074","6,312","5,981","5,750","3,823","3,723","2,606","2,744","2,438","2,558","2,662","2,821","2,642","2,629","2,704","2,814","3,327","2,597","2,611","3,230","3,036","2,880","3,422","3,333","3,187","3,344","3,441","4,236","3,890","3,916","3,708","4,745","4,760","5,765","6,209","6,503"
Long-Term Debt,"7,517","7,528","7,753","7,331","7,680","12,054","3,791","3,922","2,068","2,094","2,834","2,779","2,784","3,454","3,495","3,509","3,550","3,495","3,485","3,481","3,871","5,647","5,557","5,319","6,482","6,543","6,250","6,287","6,153","6,179","5,930","17,671","17,273","16,748","16,607","15,679","15,736","14,744","14,503","11,568"
Other Long-Term Liabilities,"3,406","3,619","3,394","4,614","3,819","3,628","2,555","2,425","2,439","1,655","1,691","1,743","1,762","1,786","1,925","1,665","1,605","1,585","1,545","1,559","1,483","1,464","1,514","1,732","1,827","1,882","1,824","1,673","1,636","1,624","1,621","2,493","2,434","2,264","2,071","1,968","1,854","1,745","1,778","1,737"
Total Long-Term Liabilities,"10,923","11,147","11,147","11,945","11,499","15,682","6,346","6,347","4,507","3,749","4,525","4,522","4,546","5,240","5,420","5,174","5,155","5,080","5,030","5,040","5,354","7,111","7,071","7,051","8,309","8,425","8,074","7,960","7,789","7,803","7,551","20,164","19,707","19,012","18,678","17,647","17,590","16,489","16,281","13,305"
Total Liabilities,"16,568","16,942","17,137","17,982","17,573","21,994","12,327","12,097","8,330","7,472","7,131","7,266","6,984","7,798","8,082","7,995","7,797","7,709","7,734","7,854","8,681","9,708","9,682","10,281","11,345","11,305","11,496","11,293","10,976","11,147","10,992","24,400","23,597","22,928","22,386","22,392","22,350","22,254","22,490","19,808"
Total Debt,"8,694","8,839","9,268","9,029","10,005","14,218","6,729","6,507","3,357","3,168","2,840","2,782","2,787","3,457","3,498","3,512","3,553","3,498","3,488","3,485","4,669","5,651","5,559","5,860","7,018","6,862","6,977","6,693","6,560","6,636","6,440","18,182","17,682","17,156","16,886","17,083","16,889","16,921","16,929","14,236"
Debt Growth,48.18%,-2.17%,2.23%,-1.49%,15.08%,60.86%,-27.40%,-27.93%,-66.45%,-77.72%,-57.79%,-57.25%,-16.98%,9.12%,23.17%,26.24%,27.48%,1.19%,-0.29%,-0.77%,31.41%,61.55%,59.38%,68.15%,50.31%,21.43%,25.51%,14.22%,-6.53%,-3.29%,-7.70%,171.66%,169.54%,158.53%,162.20%,-6.04%,-4.48%,-1.37%,0.25%,-16.67%
