,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"15,199","24,770","27,829","16,874","13,410","7,470","6,403","11,336","14,085","10,199","10,258"
Market Cap Growth,11.55%,62.97%,12.35%,-39.36%,-20.53%,-44.30%,-14.28%,77.03%,24.25%,-27.59%,-
Enterprise Value,"18,656","27,811","31,002","20,676","17,689","11,868","13,982","15,249","18,119","15,020","15,555"
PE Ratio,16.83,23.77,22.21,14.57,13.64,11.60,-17.49,13.43,10.57,12.75,14.32
PS Ratio,1.41,2.16,2.29,1.34,1.06,0.56,1.19,1.76,1.79,1.35,1.39
PB Ratio,-41.08,1376.10,-107.45,-23.15,-17.81,-8.60,-4.27,-17.12,-9.28,-4.62,-3.03
P/FCF Ratio,27.29,23.13,18.60,16.02,19.19,9.99,8.23,6.26,11.53,12.50,13.17
P/OCF Ratio,12.18,13.87,13.73,8.48,9.54,5.42,5.18,5.56,9.44,8.91,9.28
EV/Sales Ratio,1.73,2.43,2.55,1.64,1.40,0.90,2.59,2.37,2.30,1.99,2.10
EV/EBITDA Ratio,8.61,11.60,11.38,7.93,7.73,6.48,18.89,7.42,7.45,9.27,9.83
EV/EBIT Ratio,10.60,14.19,13.67,9.89,10.30,9.56,91.99,9.95,8.76,10.74,11.74
EV/FCF Ratio,33.49,25.97,20.72,19.64,25.31,15.87,17.97,8.42,14.83,18.41,19.97
Debt / Equity Ratio,-13.45,262.33,-22.09,-7.87,-7.69,-6.69,-6.06,-11.30,-3.96,-2.74,-2.69
Debt / EBITDA Ratio,2.30,1.97,2.10,2.20,2.53,3.17,12.27,3.64,2.47,3.74,3.61
Debt / FCF Ratio,8.93,4.41,3.82,5.45,8.29,7.77,11.67,4.13,4.92,7.42,7.33
Quick Ratio,0.97,1.15,1.50,1.11,0.90,0.90,0.76,1.31,1.72,1.06,0.43
Current Ratio,1.73,1.91,2.22,1.72,1.62,1.64,1.37,1.97,2.33,1.64,1.39
Asset Turnover,1.68,1.63,1.64,1.63,1.60,1.69,0.51,0.60,0.96,1.48,1.39
Interest Coverage,5.61,6.05,6.79,5.30,4.23,3.23,0.41,3.55,5.33,4.02,3.84
Return on Equity (ROE),-118.60%,-272.60%,-230.80%,-112.00%,-108.50%,-60.20%,32.00%,-56.30%,-108.40%,-31.60%,-33.90%
Return on Assets (ROA),14.10%,14.80%,16.90%,15.00%,12.40%,8.20%,-3.50%,7.80%,16.20%,15.70%,13.80%
Return on Capital (ROIC),23.63%,26.24%,26.00%,27.31%,25.68%,18.81%,13.72%,18.03%,35.44%,27.23%,25.92%
Earnings Yield,5.94%,4.21%,4.50%,6.86%,7.33%,8.62%,-5.72%,7.45%,9.46%,7.84%,7.15%
FCF Yield,3.66%,4.32%,5.38%,6.24%,5.21%,10.01%,12.15%,15.98%,8.68%,8.00%,7.59%
Dividend Yield,2.30%,2.80%,2.10%,7.50%,5.10%,8.80%,5.20%,0.70%,0.80%,1.80%,1.76%
Payout Ratio,38.50%,66.10%,46.50%,108.90%,69.40%,103.00%,-90.20%,9.90%,9.10%,23.20%,25.24%
Buyback Yield / Dilution,-0.66%,-0.83%,1.11%,1.20%,1.29%,2.53%,-0.49%,-0.59%,7.33%,11.37%,0.44%
Total Shareholder Return,1.64%,1.97%,3.21%,8.70%,6.39%,11.33%,4.71%,0.11%,8.13%,13.17%,2.20%
