,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"5,212","3,891","3,531","3,272","1,705",732,667,599,736,765,"1,188",922,"1,462","1,166",986,702,916,605,221,267,389,464,238,291,320,193,277,291,352,226,464,"1,033",902,386,818,956,"1,104","3,052","1,330","2,173"
Cash & Cash Equivalents,"5,212","3,891","3,531","3,272","1,705",732,667,599,736,765,"1,188",922,"1,462","1,166",986,702,916,605,221,267,389,464,238,291,320,193,277,291,352,226,464,"1,033",902,386,818,956,"1,104","3,052","1,330","2,173"
Cash Growth,44.10%,-24.83%,-34.77%,-46.17%,-67.29%,-81.19%,-81.11%,-81.69%,-56.83%,4.51%,78.11%,53.92%,98.64%,52.42%,-17.00%,-23.86%,-37.35%,-48.11%,-77.59%,-61.97%,-57.53%,-23.31%,7.69%,8.99%,-17.74%,-58.41%,16.39%,0%,10.00%,17.10%,67.51%,254.98%,156.25%,70.80%,76.29%,-7.45%,22.39%,690.67%,62.59%,127.30%
Receivables,"2,144","2,617","2,981","2,442","1,840","1,502","1,933","1,908","1,607","1,958","1,683","1,680","1,676","1,671","1,747","1,867","1,501","1,686","1,814","1,713","1,637","1,717","1,711","1,834","1,705","1,616","1,526","1,623","1,717","2,253","2,526","2,431","2,112","2,564","2,427","2,336","2,829","2,789","2,599","2,509"
Inventory,"5,796","6,452","6,145","4,987","5,554","4,778","5,443","5,013","4,466","4,807","5,966","5,173","4,773","5,188","5,454","5,848","5,074","6,952","7,062","7,183","5,871","5,938","5,875","5,466","5,038","5,451","6,007","6,463","7,172","8,616","8,460","8,014","8,431","10,988","10,481","8,112","8,408","8,952","8,806","7,548"
Other Current Assets,"4,620","5,241","4,015","4,916","3,982","4,078","3,775","3,986","4,107","3,893","5,031","4,148","3,181","3,983","3,727","3,568","2,912","4,133","4,421","3,948","3,171","3,120","3,283","3,235","3,185","3,840","3,658","5,124","6,940","6,190","6,105","5,056","5,015","6,952","6,006","5,791","4,417","4,247","4,465","4,394"
Total Current Assets,"17,772","18,201","16,672","15,617","13,081","11,090","11,818","11,506","10,916","11,423","13,868","11,923","11,092","12,008","11,914","11,985","10,403","13,376","13,518","13,111","11,068","11,239","11,107","10,826","10,248","11,100","11,468","13,501","16,181","17,285","17,555","16,534","16,460","20,890","19,732","17,195","16,758","19,040","17,200","16,624"
"Property, Plant & Equipment","6,075","6,166","6,290","5,919","5,626","5,079","5,134","4,616","4,736","4,884","5,083","5,169","5,099","5,351","5,331","5,420","5,310","5,735","5,274","5,164","5,201","6,207","6,265","4,872","4,928","4,586","4,490","4,591","4,643","4,497","4,577","4,568","4,411","4,555","4,501","4,499","4,641","4,684","5,103","5,147"
Long-Term Investments,241,252,274,287,294,286,284,411,329,330,337,343,373,419,426,418,461,462,448,454,451,463,474,472,827,686,565,583,631,645,714,755,764,898,986,981,"1,012","1,129","1,157","1,201"
Goodwill and Intangibles,718,709,704,656,605,584,577,524,744,768,769,689,709,862,866,853,838,"1,601","1,466","1,434","1,424","1,380","1,372","1,307","1,194","1,086","1,074","1,083","1,115","1,052","1,081","1,044",915,913,851,795,830,834,830,889
Other Long-Term Assets,"1,975","2,106","2,071","1,666","1,826","1,442","1,616","1,382","1,189","1,534","2,038","1,921","1,915","1,980","1,896","1,876","1,859","1,910","1,418","1,283","1,281","1,246","1,206","1,157","1,120","1,138",962,"1,003","1,085","1,054","1,158","1,208","1,269","1,468","1,349","1,322","1,339","1,423","1,422","1,272"
Total Long-Term Assets,"9,009","9,233","9,339","8,528","8,351","7,391","7,611","6,933","6,998","7,516","8,227","8,122","8,096","8,612","8,519","8,567","8,468","9,708","8,606","8,335","8,357","9,296","9,317","7,808","8,069","7,496","7,091","7,260","7,474","7,248","7,530","7,575","7,359","7,834","7,687","7,597","7,822","8,070","8,512","8,509"
Total Assets,"26,781","27,434","26,011","24,145","21,432","18,481","19,429","18,439","17,914","18,939","22,095","20,045","19,188","20,620","20,433","20,552","18,871","23,084","22,124","21,446","19,425","20,535","20,424","18,634","18,317","18,596","18,559","20,761","23,655","24,533","25,085","24,109","23,819","28,724","27,419","24,792","24,580","27,110","25,712","25,133"
Accounts Payable,"3,522","3,828","3,427","3,831","3,248","3,155","3,384","3,465","2,675","3,284","2,805","3,205","3,485","3,898","3,513","3,650","3,395","3,909","3,138","3,274","3,501","3,841","3,053","3,046","2,842","3,368","2,602","2,708","2,636","3,842","3,634","3,944","4,250","5,836","5,347","4,455","4,386","5,476","4,248","3,975"
Current Debt,"5,935","5,315","4,500","4,165","2,345","1,883","2,350","1,647","1,842","1,265","3,232","1,955","1,723","1,931","1,891","1,621",634,"1,625","2,988","2,388","1,169","2,372","2,540","2,081","1,494","1,462","2,277","2,352","3,071","2,956","2,124","1,993","1,527","2,817","3,853","2,536","1,817","1,816","1,041","1,532"
Other Current Liabilities,"3,078","3,352","2,450","2,933","3,111","2,619","2,487","3,058","2,823","2,543","4,278","3,121","2,476","2,787","2,529","2,197","2,186","3,016","2,917","2,639","2,502","1,840","1,864","2,242","2,259","3,192","2,617","3,872","5,278","4,542","4,563","3,822","3,547","5,207","3,901","3,576","3,397","3,116","3,002","2,738"
Total Current Liabilities,"12,535","12,495","10,377","10,929","8,704","7,657","8,221","8,170","7,340","7,092","10,315","8,281","7,684","8,616","7,933","7,468","6,215","8,550","9,043","8,301","7,172","8,053","7,457","7,369","6,595","8,022","7,496","8,932","10,985","11,340","10,321","9,759","9,324","13,860","13,101","10,567","9,600","10,408","8,291","8,245"
Long-Term Debt,"3,179","3,875","4,231","2,720","2,855","2,337","2,496","2,583","2,926","3,845","3,388","3,447","3,069","3,266","3,918","4,246","4,160","5,446","4,992","4,912","4,203","4,560","4,789","5,101","4,255","4,247","4,483","5,003","5,033","4,897","5,873","5,336","5,293","4,599","3,647","3,599","3,806","4,802","4,807","4,462"
Other Long-Term Liabilities,979,"1,003","1,012",934,"1,183","1,058","1,082","1,025",996,"1,039","1,092","1,040","1,092","1,105","1,147","1,088","1,139","1,811","1,746","1,746","1,672","1,618","1,653","1,515","1,437","1,355","1,371","1,375","1,432","1,515","1,560","1,383","1,377","1,524","1,482","1,255","1,218","1,181","1,256","1,283"
Total Long-Term Liabilities,"4,158","4,878","5,243","3,654","4,038","3,395","3,578","3,608","3,922","4,884","4,480","4,487","4,161","4,371","5,065","5,334","5,299","7,257","6,738","6,658","5,875","6,178","6,442","6,616","5,692","5,602","5,854","6,378","6,465","6,412","7,433","6,719","6,670","6,123","5,129","4,854","5,024","5,983","6,063","5,745"
Total Liabilities,"16,693","17,373","15,620","14,583","12,742","11,052","11,799","11,778","11,262","11,976","14,795","12,768","11,845","12,987","12,998","12,802","11,514","15,807","15,781","14,959","13,047","14,231","13,899","13,985","12,287","13,624","13,350","15,310","17,450","17,752","17,754","16,478","15,994","19,983","18,230","15,421","14,624","16,391","14,354","13,990"
Total Debt,"9,114","9,190","8,731","6,885","5,200","4,220","4,846","4,230","4,768","5,110","6,620","5,402","4,792","5,197","5,809","5,867","4,794","7,071","7,980","7,300","5,372","6,932","7,329","7,182","5,749","5,709","6,760","7,355","8,104","7,853","7,997","7,329","6,820","7,416","7,500","6,135","5,623","6,618","5,848","5,994"
Debt Growth,2.44%,-13.54%,-26.03%,-35.54%,-42.94%,-54.08%,-44.50%,-38.56%,-8.31%,21.09%,36.61%,27.71%,0.50%,1.70%,-12.25%,8.61%,0.04%,36.06%,37.37%,24.42%,12.06%,-1.97%,-8.16%,-1.62%,7.02%,-17.64%,-7.76%,2.41%,40.96%,37.55%,18.30%,-0.35%,-15.84%,-5.56%,-6.21%,-16.29%,-17.55%,-10.76%,-22.03%,-2.30%
Common Stock,"5,538","5,465","5,367","5,271","5,324","5,141","5,163","5,073","5,076","4,898","4,891","4,904","4,914","4,966","4,983","4,994","4,997","5,004","5,024","5,035","5,049","5,055","5,071","5,083","5,100","5,115","5,027","5,047","5,079","5,139","5,183","5,101","5,161","5,213","5,476","5,336","5,373","5,369","5,387","4,920"
Retained Earnings,"6,891","6,826","7,056","7,292","7,180","7,386","7,408","7,585","7,725","7,900","7,953","8,004","8,208","8,188","8,195","8,214","8,081","8,008","7,917","8,203","8,059","8,045","8,179","6,611","6,437","6,158","6,581","6,784","7,236","7,982","8,259","8,830","8,979","9,581","9,692","9,980","10,222","10,757","11,279","11,555"
Comprehensive Income,"-2,572","-2,461","-2,254","-3,244","-4,058","-5,332","-5,167","-6,212","-6,360","-6,026","-5,718","-5,825","-5,978","-5,726","-5,951","-5,662","-5,930","-5,947","-6,795","-6,958","-6,935","-7,000","-6,919","-7,234","-5,624","-6,411","-6,515","-6,504","-6,246","-6,484","-6,258","-6,436","-6,471","-6,213","-6,436","-6,611","-6,371","-6,171","-6,091","-6,224"
Shareholders' Equity,"9,857","9,830","10,169","9,319","8,446","7,195","7,404","6,446","6,441","6,772","7,126","7,083","7,144","7,428","7,227","7,546","7,148","7,065","6,146","6,280","6,173","6,100","6,331","4,460","5,913","4,862","5,093","5,327","6,069","6,637","7,184","7,495","7,669","8,581","8,732","8,705","9,224","9,955","10,575","10,251"
Net Cash / Debt,"-3,902","-5,299","-5,200","-3,613","-3,495","-3,488","-4,179","-3,631","-4,032","-4,345","-5,432","-4,480","-3,330","-4,031","-4,823","-5,165","-3,878","-6,466","-7,759","-7,033","-4,983","-6,468","-7,091","-6,891","-5,429","-5,516","-6,483","-7,064","-7,752","-7,627","-7,533","-6,296","-5,918","-7,030","-6,682","-5,179","-4,519","-3,566","-4,518","-3,821"
Net Cash Per Share,-26.20,-35.93,-33.54,-23.43,-28.29,-22.68,-28.90,-23.92,-26.72,-29.12,-38.87,-32.02,-22.46,-28.61,-34.11,-36.49,-27.46,-45.94,-55.04,-46.92,-35.18,-45.69,-47.23,-48.68,-38.31,-38.87,-43.16,-47.55,-51.98,-50.64,-49.34,-41.27,-38.81,-45.76,-43.37,-33.98,-29.73,-23.42,-29.69,-
Working Capital,"5,237","5,706","6,295","4,688","4,377","3,433","3,597","3,336","3,576","4,331","3,553","3,642","3,408","3,392","3,981","4,517","4,188","4,826","4,475","4,810","3,896","3,186","3,650","3,457","3,653","3,078","3,972","4,569","5,196","5,945","7,234","6,775","7,136","7,030","6,631","6,628","7,158","8,632","8,909","8,379"
