,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,828.6,863.2,"1,186","1,205","1,478","1,282","4,089","1,308","1,131","1,362","2,085","2,327",924,"1,170","1,548","1,574","4,108","1,250","2,387","1,225","2,243","1,723","2,344","2,914","2,591","2,385","2,225","1,331","1,218","1,742","1,542","2,261","1,749","2,647","3,676","3,419","2,898","2,618","2,288","1,050"
Short-Term Investments,431.61,709.87,675.07,640.5,673.95,"1,087","1,753","2,121","2,455","2,435","2,231","2,569","1,956","1,724","1,960","2,115","1,808","1,974","2,042","2,313","1,666","1,229","2,094","1,562","1,269","1,943","1,355","1,279","1,320","1,309","1,413","1,541","2,002","2,151","1,236","1,474","2,143","3,461",0,0
Cash & Cash Equivalents,"1,260","1,573","1,861","1,845","2,152","2,369","5,843","3,429","3,585","3,797","4,316","4,895","2,880","2,893","3,508","3,689","5,916","3,224","4,428","3,538","3,909","2,952","4,437","4,476","3,860","4,328","3,580","2,610","2,538","3,051","2,955","3,803","3,752","4,798","4,911","4,893","5,041","6,078","2,288","1,050"
Cash Growth,-65.30%,135.61%,178.36%,50.92%,70.76%,50.58%,213.89%,85.79%,66.61%,60.29%,-26.13%,42.78%,-19.67%,-23.80%,-18.71%,-24.64%,105.40%,11.45%,26.23%,-4.09%,-33.92%,-8.44%,0.20%,26.51%,-1.24%,46.59%,-19.33%,-41.69%,-34.27%,-29.50%,-17.45%,45.68%,47.85%,57.27%,66.19%,28.67%,34.37%,26.69%,-53.41%,-78.54%
Receivables,"1,297","1,289","1,361","1,576","1,702","1,635","1,648","1,542","1,710","1,627","1,773","1,742","1,826","2,133","2,086","2,320","2,493","2,433","2,526","2,485","2,616","2,517","2,516","2,471","2,604","2,575","2,552","2,327","2,224","2,110","2,123","1,962","2,021","2,004","1,984","2,136","2,028","2,124","2,210","2,100"
Inventory,672.75,715.94,753.06,804,825.35,865.74,918.92,893.4,964.6,996.4,"1,010","1,002",921.6,936.5,"1,007",902.7,890.8,931.7,916.6,929.9,770.2,776.7,751.8,804.2,858.8,952.7,"1,028","1,069","1,172","1,255","1,348","1,352","1,215","1,294","1,375","1,344","1,281","1,334","2,982","2,527"
Other Current Assets,295.26,346.79,396.47,309.8,579.6,750.04,861.88,836.9,941.1,"1,027",993.1,"1,093","1,232","1,146",967,962,895.9,843.3,848.3,687.6,"1,647","1,664",743.2,631,683.8,638.8,683.5,881.1,786.1,767.9,736.3,740.8,927.4,"1,645","1,496","1,418","1,412",895.9,974.1,"1,182"
Total Current Assets,"3,525","3,925","4,372","4,535","5,259","5,619","9,271","6,700","7,201","7,448","8,092","8,732","6,860","7,109","7,568","7,873","10,195","7,432","8,719","7,641","8,943","7,910","8,448","8,382","8,007","8,494","7,843","6,887","6,720","7,184","7,162","7,857","7,916","9,741","9,766","9,791","9,763","10,432","8,454","6,859"
"Property, Plant & Equipment","1,744","1,756","1,724","1,766","1,740","1,838","2,028","2,188","2,259","2,302","2,387","2,502","2,611","2,828","2,996","3,182","3,335","3,409","3,539","3,601","3,462","3,512","3,560","3,674","3,704","3,767","3,794","3,845","3,853","3,845","3,800","3,792","3,732","3,676","3,691","3,703","3,700","3,674","3,763","3,730"
Long-Term Investments,"1,364","1,623","1,937","2,225","2,018","2,853","2,840","3,868","4,284","4,631","4,337","4,165","4,010","3,901","4,362","3,489","1,580","2,062","2,254","3,067","3,271","2,615","3,053","2,661","2,100","2,406","2,845","3,671","3,245","3,443","2,987","2,832","2,769","2,604","2,473","2,235","2,359","2,313",754.7,745
