,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"72,306","74,791","78,119","80,163","99,064","95,019","68,467","68,286","56,925","52,971","68,591","61,700","59,046","57,560","66,204","67,370","57,930","61,243","71,172","60,630","46,498","45,346","42,943","53,543","55,070","43,661","44,910","37,679","42,616","52,133","42,175","35,242","30,950","29,867","38,745","39,877","40,171","41,230","37,221","37,495","31,744"
Market Cap Growth,58.85%,46.41%,36.52%,21.39%,37.01%,27.04%,-12.36%,-14.82%,-42.54%,-44.25%,0.18%,-9.65%,3.73%,8.66%,-3.48%,9.19%,-1.89%,6.40%,7.50%,-10.00%,-19.73%,-25.96%,-39.66%,-11.69%,18.44%,-3.72%,4.58%,-29.63%,-22.62%,19.40%,-6.09%,-6.47%,-27.37%,-42.71%,-8.13%,13.15%,29.79%,38.04%,-3.93%,-5.97%,-
Enterprise Value,"71,640","73,808","76,845","78,901","97,496","93,229","69,159","71,384","59,880","55,717","70,810","63,322","62,680","61,180","69,207","69,619","57,947","63,947","72,674","63,029","48,968","48,765","44,870","55,434","57,575","47,172","49,165","42,898","47,726","56,715","46,839","39,043","34,786","32,621","40,468","41,598","41,740","41,741","42,648","43,784","38,033"
PE Ratio,37.75,34.96,31.14,27.32,30.23,27.23,19.02,19.25,15.40,13.87,17.66,16.66,16.97,17.48,18.99,26.53,19.54,20.63,22.34,13.68,9.96,8.57,7.96,9.09,9.37,7.37,8.84,9.42,14.15,27.18,27.28,22.65,21.35,14.50,13.53,13.09,12.83,15.47,25.46,32.29,27.49
PS Ratio,9.46,8.96,8.65,8.26,9.78,9.23,6.48,6.34,5.21,4.71,6.01,5.39,5.12,4.91,5.59,5.49,4.60,4.76,5.38,4.51,3.37,3.22,3.02,3.72,3.82,3.01,3.15,2.80,3.38,4.46,3.80,3.21,2.86,2.81,3.74,3.92,3.98,4.14,3.73,3.81,3.23
PB Ratio,7.91,7.82,7.49,7.42,8.49,7.56,6.48,7.29,5.51,4.64,5.66,5.08,5.14,4.97,5.15,5.34,4.12,5.00,5.17,4.65,3.36,3.50,3.07,4.01,4.39,3.86,4.17,3.52,3.99,4.85,4.04,3.23,2.75,2.52,3.03,2.98,2.91,2.85,2.57,2.53,2.14
P/FCF Ratio,36.09,31.70,29.83,30.53,30.85,29.68,22.75,20.94,16.33,15.32,19.55,15.99,27.22,25.63,22.95,24.88,12.07,12.91,14.33,11.20,8.48,7.14,6.73,8.35,8.66,6.80,7.59,10.04,13.53,21.19,19.85,10.48,11.09,12.80,14.06,23.13,20.05,24.17,36.27,30.34,25.69
P/OCF Ratio,31.84,28.37,27.14,27.25,27.75,26.20,18.97,17.42,13.55,12.75,16.14,13.45,15.51,14.47,14.35,14.80,10.03,10.74,12.25,9.80,7.51,6.43,6.12,7.56,7.77,6.17,6.85,8.91,12.07,18.55,17.32,9.68,10.21,11.75,16.16,28.81,23.94,28.87,27.37,24.23,20.52
Debt / Equity Ratio,0.07,0.06,0.06,0.05,0.05,0.05,0.62,0.70,0.63,0.57,0.54,0.54,0.57,0.56,0.51,0.47,0.42,0.48,0.43,0.46,0.46,0.49,0.45,0.48,0.51,0.69,0.73,0.73,0.72,0.71,0.73,0.70,0.67,0.64,0.52,0.49,0.48,0.46,0.53,0.50,0.50
Quick Ratio,1.60,1.49,1.66,1.54,1.98,1.57,2.84,1.93,1.91,2.16,2.44,1.94,1.57,1.49,1.62,1.78,2.67,1.79,2.19,1.83,2.07,1.70,1.57,1.43,1.39,2.00,1.61,1.32,1.50,1.54,1.21,1.34,1.46,1.36,1.76,2.15,2.34,2.57,0.90,0.92,0.92
Current Ratio,2.21,2.05,2.25,2.05,2.70,2.20,3.52,2.60,2.59,2.96,3.24,2.55,2.29,2.10,2.19,2.34,3.23,2.36,2.75,2.32,2.84,2.46,1.91,1.72,1.73,2.46,2.06,1.84,2.12,2.15,1.70,1.83,2.01,1.94,2.49,2.99,3.24,3.27,1.68,2.00,2.00
Return on Capital (ROIC),Upgrade,19.86%,21.20%,22.98%,25.70%,26.73%,26.58%,21.33%,23.32%,23.03%,22.50%,21.93%,20.70%,20.17%,19.16%,18.86%,14.14%,15.24%,16.74%,15.93%,23.43%,21.78%,26.65%,26.46%,30.00%,33.12%,31.95%,28.71%,21.62%,18.44%,46.10%,44.22%,43.27%,39.15%,9.26%,13.49%,14.91%,15.32%,12.66%,6.26%,4.92%
Buyback Yield / Dilution,0.19%,0.56%,0.58%,0.51%,0.95%,0.72%,1.84%,6.66%,6.92%,6.92%,5.67%,1.68%,1.55%,3.28%,3.46%,2.26%,1.95%,2.31%,4.67%,5.61%,6.94%,8.15%,8.77%,11.04%,12.13%,15.49%,14.66%,13.48%,12.02%,6.71%,5.47%,4.28%,3.09%,2.60%,2.56%,1.42%,1.63%,0.48%,-0.28%,-0.34%,0.27%
Total Shareholder Return,0.19%,0.56%,0.58%,0.51%,0.95%,0.72%,1.84%,6.66%,6.92%,6.92%,5.67%,1.68%,1.55%,3.28%,3.46%,2.26%,1.95%,2.31%,4.67%,5.61%,6.94%,8.15%,8.77%,11.04%,12.13%,15.49%,14.66%,13.48%,12.02%,6.71%,5.47%,4.28%,3.09%,2.60%,2.56%,1.42%,1.63%,0.48%,-0.28%,-0.34%,0.27%
