,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,-,-,"36,237","23,649","26,330","21,585","24,941","29,780","34,393","29,176"
Market Cap Growth,-,-,-,-34.74%,11.34%,-18.02%,15.55%,19.40%,15.49%,-
Enterprise Value,"-1,035",-704,"37,556","27,153","29,703","25,086","27,815","33,949","37,767","32,550"
PE Ratio,-,-,-351.81,121.27,205.70,-2.17,-113.89,-49.55,17.70,15.26
PS Ratio,-,-,2.11,1.03,1.11,1.04,1.22,1.41,1.35,1.14
PB Ratio,-,-,2.54,1.35,1.20,1.67,1.68,2.07,2.24,1.90
P/FCF Ratio,-,-,-28.05,19.30,22.90,41.75,13.61,26.68,16.81,14.26
P/OCF Ratio,-,-,-45.35,13.42,12.38,16.55,10.51,15.77,11.23,9.53
EV/Sales Ratio,-0.06,-0.05,2.19,1.19,1.25,1.21,1.36,1.60,1.48,1.28
EV/EBITDA Ratio,-0.92,-0.85,31.94,12.56,13.11,-3.22,14.32,25.88,9.61,8.28
EV/EBIT Ratio,-1.75,-2.56,514.46,40.17,35.07,-2.75,33.19,135.26,13.28,11.45
EV/FCF Ratio,-1.48,4.96,-29.07,22.17,25.83,48.52,15.17,30.42,18.46,15.91
Debt / Equity Ratio,0.03,0.02,0.58,0.41,0.30,0.59,0.45,0.46,0.39,0.39
Debt / EBITDA Ratio,0.35,0.34,7.10,3.34,2.92,-0.98,3.46,5.07,1.53,1.53
Debt / FCF Ratio,0.57,-1.95,-6.46,5.90,5.76,14.76,3.67,5.97,2.94,2.94
Quick Ratio,0.65,0.72,1.41,1.07,0.97,0.95,1.04,0.76,0.75,0.75
Current Ratio,1.28,1.50,2.00,1.66,1.52,1.61,1.65,1.32,1.25,1.25
Asset Turnover,-,0.58,0.44,0.43,0.45,0.55,0.57,0.62,0.71,0.71
Interest Coverage,4.94,2.70,0.56,3.03,3.57,-34.53,2.80,1.00,13.17,13.17
Return on Equity (ROE),-,0.00%,-0.70%,1.30%,0.70%,-84.20%,-1.60%,-4.10%,12.90%,12.90%
Return on Assets (ROA),-,0.00%,-0.30%,0.40%,0.20%,-26.50%,-0.60%,-1.80%,5.40%,5.40%
Return on Capital (ROIC),-,-,-1.26%,1.22%,0.79%,-77.84%,-2.47%,5.63%,8.01%,8.01%
Earnings Yield,-,-,-0.28%,0.82%,0.49%,-46.05%,-0.88%,-2.02%,5.65%,6.66%
FCF Yield,-,-,-3.57%,5.18%,4.37%,2.40%,7.35%,3.75%,5.95%,7.01%
Dividend Yield,-,-,56.40%,3.30%,2.80%,3.50%,3.00%,2.50%,2.30%,2.88%
Payout Ratio,-,-,-7437.50%,156.50%,313.00%,-4.90%,-266.70%,-119.70%,40.40%,43.98%
Buyback Yield / Dilution,-,-,-0.01%,3.96%,6.60%,-0.77%,-0.13%,2.72%,0.22%,0.22%
Total Shareholder Return,-,-,56.39%,7.26%,9.40%,2.73%,2.87%,5.22%,2.52%,3.10%
