,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,694,891,733,535,674,655,"1,274","1,377","1,211","1,241","1,239","1,276","1,224","1,669","1,721","2,026","2,461","2,264","2,096","1,684","1,252","1,539","1,949","2,377","2,942","1,420","2,414","3,807","4,767","9,572","8,836","10,721","16,414","11,409","9,277","9,196","9,549","12,253","17,431","15,566","22,670"
Market Cap Growth,28.47%,57.01%,26.48%,-6.46%,-2.88%,-26.50%,73.86%,157.52%,79.56%,89.34%,-2.80%,-7.31%,1.06%,34.57%,38.96%,58.80%,101.13%,35.63%,21.79%,-16.89%,-49.14%,-32.03%,-7.03%,41.14%,135.06%,-7.71%,23.84%,60.15%,62.02%,573.97%,266.07%,181.63%,244.32%,19.19%,4.99%,-14.22%,-41.82%,7.40%,87.89%,69.27%,-
Enterprise Value,994,"1,183","1,052",851,"1,031","1,027","1,643","3,361","3,144","3,206","3,210","3,255","3,047","3,637","3,648","3,881","4,188","4,226","4,071","3,505","2,803","3,380","3,650","3,991","4,518","3,116","3,923","5,354","6,248","11,676","11,240","13,375","19,773","14,983","13,165","12,800","12,958","15,812","21,525","19,392","26,496"
PE Ratio,-16.26,-26.01,29.86,26.39,37.15,45.30,171.51,-140.05,-53.03,-37.89,-180.15,10.02,8.48,10.11,9.91,23.06,63.46,38.92,27.27,15.25,6.10,7.07,8.56,10.23,13.26,7.29,11.65,17.71,15.20,20.05,9.87,7.54,9.51,5.20,3.46,3.28,3.47,5.01,9.37,9.89,15.32
PS Ratio,0.47,0.59,0.48,0.34,0.42,0.40,0.77,0.55,0.34,0.27,0.21,0.20,0.19,0.26,0.26,0.30,0.35,0.31,0.28,0.22,0.16,0.20,0.26,0.32,0.40,0.19,0.32,0.49,0.56,0.88,0.61,0.60,0.83,0.53,0.41,0.40,0.42,0.59,0.94,0.90,1.31
PB Ratio,45.18,70.78,29.86,15.17,16.77,19.28,26.47,8.85,8.12,9.26,7.33,4.25,3.95,5.15,4.69,4.92,6.54,5.65,4.54,3.13,2.10,2.43,2.77,3.05,3.57,1.70,2.64,3.78,4.14,1.92,1.61,1.94,3.42,2.22,1.81,1.76,1.92,2.63,4.01,3.40,4.95
P/FCF Ratio,-11.56,-35.07,39.84,26.80,338.82,-115.57,75.82,17.48,8.81,14.63,15.38,132.87,9.88,55.68,21.93,18.76,20.66,33.79,12332.08,16.40,6.72,4.17,3.60,4.39,7.40,4.25,6.42,20.59,30.46,-6476.48,-34.96,12.82,10.73,6.01,3.27,2.87,2.92,3.32,5.66,7.07,10.30
P/OCF Ratio,-14.59,-103.32,18.80,13.68,24.52,27.77,28.73,11.89,6.84,10.01,9.70,23.39,7.73,25.65,15.14,13.13,13.78,16.57,24.40,8.61,4.43,3.29,3.09,3.75,5.84,3.18,4.88,12.73,18.33,86.85,-77.79,10.63,9.41,5.37,3.02,2.65,2.65,3.01,4.95,5.84,8.50
Debt / Equity Ratio,23.03,28.11,14.42,10.90,9.33,12.03,8.49,13.41,13.40,14.70,11.69,6.61,5.94,6.08,5.27,4.52,4.74,4.92,4.31,3.45,2.62,2.93,2.43,2.13,1.93,2.23,2.07,1.87,1.65,0.43,0.45,0.52,0.71,0.75,0.79,0.71,0.70,0.80,0.96,0.85,0.85
Quick Ratio,1.56,1.36,1.36,1.17,1.06,0.88,0.91,0.99,0.89,0.86,0.89,0.96,0.85,0.95,0.96,1.02,0.95,1.09,1.07,1.17,1.00,0.96,0.92,0.94,0.86,1.07,1.23,1.17,1.23,1.00,1.07,1.24,0.94,1.04,1.11,0.99,0.96,0.94,1.00,0.96,0.96
