,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,244.4,347.6,331.3,314.1,310.1,324.1,286.3,305.1,354.4,727.7,227.4,235.7,269.5,271.1,288.8,366.5,352.1,263.9,204.7,249.8,292.1,273.2,358.3,234,402.1,476.6,356.6,365.6,355.8,274.5,316.7,281.2,277.2,224.7,227.1,280,331.6,252.3,234,277
Cash & Cash Equivalents,244.4,347.6,331.3,314.1,310.1,324.1,286.3,305.1,354.4,727.7,227.4,235.7,269.5,271.1,288.8,366.5,352.1,263.9,204.7,249.8,292.1,273.2,358.3,234,402.1,476.6,356.6,365.6,355.8,274.5,316.7,281.2,277.2,224.7,227.1,280,331.6,252.3,234,277
Cash Growth,34.14%,30.68%,80.94%,30.71%,26.88%,-6.76%,-13.58%,-2.87%,14.29%,124.53%,-20.57%,-22.75%,-23.96%,-62.75%,27.00%,55.49%,30.65%,-2.66%,-29.12%,-31.84%,-17.04%,3.52%,75.04%,-6.33%,37.66%,74.45%,-0.47%,56.24%,-11.51%,-42.40%,-11.19%,-23.09%,-22.09%,-18.14%,-28.29%,-0.43%,19.62%,12.28%,3.04%,-1.07%
Receivables,426.3,424.8,361.1,366.6,486.4,444.5,410.8,409.8,503.8,453.4,499.4,515.5,661.2,589.5,624.4,575.1,714.1,615,650.1,607.4,792.8,664,600.7,616,814.7,711.3,619.1,625,871,820.3,730,779.5,988,946.9,840.1,860.2,"1,096",974,916.2,892.2
Other Current Assets,143.5,108.2,83.2,99.7,135.5,92.8,98.4,113.3,145.6,108,159,148.2,187.5,129,121.1,109.6,136.8,112.2,113.1,109.2,110.5,105.1,136.1,160.6,144.2,140.1,144.3,157.9,151.8,166.5,164.4,205.9,229.9,156.8,154.8,142.5,140.4,166.2,176.7,194.4
Total Current Assets,814.2,880.6,775.6,780.4,932,861.4,795.5,828.2,"1,004","1,289",885.8,899.4,"1,118",989.6,"1,034","1,051","1,203",991.1,967.9,966.4,"1,195","1,042","1,095","1,011","1,361","1,328","1,120","1,149","1,379","1,261","1,211","1,267","1,495","1,328","1,222","1,283","1,568","1,393","1,327","1,364"
"Property, Plant & Equipment",87.2,88.3,84.5,82.2,81.4,97.3,100.4,106,108.2,112.2,130.7,145.5,169.5,198.1,207.6,202.5,197.9,204.1,192.5,187.9,183.4,189,186.2,137.5,153.9,161.6,161.7,167.1,167.2,177.2,167.2,169.7,164.7,150.9,145.1,143.3,138.1,145.7,144,143.2
Goodwill and Intangibles,991.7,986.1,976.8,999,"1,026","1,166","1,158","1,167","1,155","1,210","1,629","1,626","1,645","1,646","1,647","1,657","1,722","1,749","1,729","1,700","1,684","2,056","2,042","2,272","2,316","2,258","2,262","2,249","2,270","5,145","5,024","4,917","4,749","4,562","4,437","4,319","4,340","4,929","4,848","4,777"
Other Long-Term Assets,236.8,237.1,241.7,238.2,241.7,243.2,245.5,252.8,257.1,261.8,297.3,296.9,308.9,316.4,335.4,339,362.3,360.5,492.5,503.6,539.6,593.2,896.9,964.5,"1,083","1,142","1,206","1,294","1,371","1,536","1,627","1,763","1,941","2,128","2,286","2,306","2,386","1,766","1,752","1,716"
Total Long-Term Assets,"1,316","1,312","1,303","1,319","1,349","1,507","1,504","1,525","1,520","1,584","2,057","2,068","2,124","2,160","2,190","2,199","2,282","2,314","2,414","2,391","2,407","2,838","3,125","3,374","3,553","3,562","3,630","3,710","3,808","6,859","6,817","6,849","6,854","6,840","6,869","6,769","6,864","6,841","6,744","6,636"
