,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"292,537","369,620","324,390","402,026","488,698","502,503","553,678","542,551","669,065","680,812","880,426"
Market Cap Growth,31.48%,26.35%,-12.24%,23.93%,21.56%,2.82%,10.18%,-2.01%,23.32%,1.76%,-
Enterprise Value,"316,575","386,241","336,949","475,622","559,702","569,632","592,871","611,456","695,143","767,745","974,367"
PE Ratio,15.02,18.60,13.47,16.70,10.87,124.97,6.80,12.76,7.45,-29.83,11.56
PS Ratio,1.61,1.90,1.54,1.80,2.02,2.23,1.69,1.90,1.89,2.91,2.19
PB Ratio,1.32,1.54,1.27,1.43,1.40,1.44,1.30,1.22,1.32,1.44,1.68
P/FCF Ratio,17.60,21.97,21.05,20.41,14.37,21.98,24.38,20.27,25.59,31.29,32.93
P/OCF Ratio,10.56,11.55,10.30,12.31,10.69,13.44,14.31,13.64,16.97,18.29,19.57
EV/Sales Ratio,1.74,1.98,1.60,2.13,2.31,2.53,1.81,2.14,1.96,3.28,2.43
EV/EBITDA Ratio,8.39,10.05,7.34,10.35,15.13,32.87,5.10,8.78,5.54,-47.73,8.74
EV/EBIT Ratio,10.14,12.44,8.84,12.84,20.13,75.42,5.58,10.36,6.05,-28.45,9.80
EV/FCF Ratio,19.05,22.96,21.87,24.15,16.45,24.92,26.11,22.85,26.59,35.28,36.44
Debt / Equity Ratio,0.33,0.33,0.33,0.36,0.29,0.28,0.24,0.26,0.23,0.26,0.24
Debt / EBITDA Ratio,1.91,2.08,1.84,2.21,2.77,5.62,0.89,1.68,0.91,-7.63,1.12
Debt / FCF Ratio,4.35,4.75,5.47,5.16,3.02,4.26,4.55,4.37,4.37,5.64,4.67
Asset Turnover,0.40,0.38,0.39,0.37,0.36,0.32,0.42,0.35,0.39,0.25,0.40
Interest Coverage,11.15,9.55,10.85,9.91,6.34,1.96,26.83,14.46,27.53,-6.20,20.43
Return on Equity (ROE),9.40%,8.50%,9.70%,9.00%,14.40%,1.10%,20.70%,10.50%,18.90%,-4.80%,15.00%
Return on Assets (ROA),4.30%,3.90%,4.40%,4.00%,6.60%,0.60%,10.50%,5.20%,9.80%,-2.40%,7.70%
Return on Capital (ROIC),7.36%,7.01%,7.90%,6.84%,10.73%,2.44%,15.89%,8.17%,15.03%,-4.71%,12.25%
Earnings Yield,6.66%,5.38%,7.42%,5.99%,9.20%,0.80%,14.70%,7.84%,13.42%,-3.35%,8.72%
FCF Yield,5.68%,4.55%,4.75%,4.90%,6.96%,4.55%,4.10%,4.93%,3.91%,3.20%,3.04%
Buyback Yield / Dilution,-6.36%,0.01%,-50.08%,-0.04%,-0.05%,0.05%,0.60%,2.42%,5.29%,2.74%,1.36%
Total Shareholder Return,-6.36%,0.01%,-50.08%,-0.04%,-0.05%,0.05%,0.60%,2.42%,5.29%,2.74%,1.36%
