,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"1,838","1,774","1,873","1,846","1,887","1,768","1,843","1,888","1,978","1,964","2,126","2,105","2,191","2,160","2,257","2,222","2,408","2,379","2,490","2,393","2,561","2,493","2,631","2,707","2,904","2,543","2,003","2,659","2,709","2,752","3,077","2,932","3,127","3,026","3,244","3,170","3,242","3,389","3,599","3,527"
Revenue Growth (YoY),0.93%,0.74%,3.54%,6.40%,2.67%,-0.34%,-1.60%,2.28%,4.82%,11.09%,15.36%,11.49%,10.77%,9.98%,6.16%,5.56%,9.90%,10.14%,10.32%,7.70%,6.35%,4.79%,5.66%,13.12%,13.39%,2.01%,-23.87%,-1.77%,-6.71%,8.22%,53.62%,10.27%,15.43%,9.96%,5.43%,8.12%,3.68%,12.00%,10.94%,11.26%
Cost of Revenue,556,537,563,550,559,520,540,539,573,573,639,594,619,650,632,637,674,672,739,672,729,730,758,777,851,806,791,869,"1,000",894,945,900,972,955,"1,011",979,"1,011","1,040","1,058","1,101"
Gross Profit,"1,282","1,237","1,310","1,296","1,328","1,248","1,303","1,349","1,405","1,391","1,487","1,511","1,572","1,510","1,625","1,585","1,734","1,707","1,751","1,721","1,832","1,763","1,873","1,930","2,053","1,737","1,212","1,790","1,709","1,858","2,132","2,032","2,155","2,071","2,233","2,191","2,231","2,349","2,541","2,426"
"Selling, General & Admin",724,666,743,741,752,668,700,729,778,716,779,772,831,794,815,800,886,860,886,870,953,869,968,"1,012","1,092",978,798,984,"1,027","1,019","1,121","1,066","1,153","1,060","1,165","1,132","1,163","1,215","1,354","1,242"
Research & Development,217,191,206,212,208,192,220,221,244,210,222,232,256,235,244,254,263,261,275,289,288,280,280,306,308,300,242,315,286,276,298,310,320,319,335,339,330,337,359,356
Other Operating Expenses,213,195,430,279,860,364,164,698,610,172,820,159,345,117,341,154,267,178,199,173,272,73,241,229,443,313,242,697,344,200,453,309,453,226,311,362,338,246,314,136
Operating Expenses,"1,154","1,052","1,379","1,232","1,820","1,224","1,084","1,648","1,632","1,098","1,821","1,163","1,432","1,146","1,400","1,208","1,416","1,299","1,360","1,332","1,513","1,222","1,489","1,547","1,843","1,591","1,282","1,996","1,657","1,495","1,872","1,685","1,926","1,605","1,811","1,833","1,831","1,798","2,027","1,734"
Operating Income,128,185,-69,64,-492,24,219,-299,-227,293,-334,348,140,364,225,377,318,408,391,389,319,541,384,383,210,146,-70,-206,52,363,260,347,229,466,422,358,400,551,514,692
Interest Expense / Income,58,54,53,54,55,60,106,58,59,59,59,58,58,57,58,57,57,61,57,58,64,109,89,95,179,88,91,86,96,82,86,86,87,279,64,63,64,65,70,66
Other Expense / Income,11,-15,-18,7,7,15,8,10,52,6,4,33,-7,2,76,11,35,23,-12,-125,-41,-25,150,197,37,35,20,-65,-350,-44,25,-222,23,32,13,50,-58,41,18,17
