,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"14,012","14,904","12,017","12,494","13,695","12,861","9,412","9,690","8,396","6,424","7,538","8,400","8,888","8,990","10,813","10,772","10,576","9,068","8,935","7,235","7,978","8,701","7,575","8,958","5,030","7,318","8,029","9,448","11,081","11,642","10,361","10,806","9,335","7,995","7,437","9,425","11,498","11,463","9,489","8,427","7,034"
Market Cap Growth,56.67%,49.71%,3.53%,-1.80%,-2.26%,-13.71%,-21.67%,-22.45%,-38.69%,-50.05%,-19.92%,-13.31%,5.87%,39.94%,43.45%,28.23%,18.99%,0.87%,-17.36%,-32.83%,-24.57%,-4.05%,-15.22%,23.80%,-36.95%,-15.89%,5.99%,5.48%,120.29%,59.09%,29.05%,14.38%,-15.76%,-31.33%,-28.23%,-12.79%,23.17%,43.39%,27.61%,-10.59%,-
Enterprise Value,"14,570","15,378","12,546","13,036","14,498","13,557","10,188","11,662","10,602","8,564","9,634","10,176","10,825","10,822","12,794","12,415","12,492","10,879","10,710","8,610","9,548","10,091","8,734","10,086","6,079","8,374","8,744","11,585","13,085","14,435","13,193","13,289","12,118","10,821","10,332","12,542","14,785","14,871","12,268","10,673","9,282"
PE Ratio,21.85,22.67,18.28,19.05,20.27,20.30,15.08,16.79,14.93,11.10,14.94,14.12,14.33,13.46,14.06,24.48,22.23,16.92,16.10,7.77,9.21,11.36,10.02,12.01,7.04,16.45,22.18,18.90,25.42,14.91,13.53,20.12,13.89,12.47,9.09,9.98,11.97,12.08,13.07,13.48,11.46
PS Ratio,1.83,1.87,1.47,1.50,1.67,1.60,1.19,1.21,1.01,0.75,0.84,0.93,0.97,0.97,1.14,1.10,1.04,0.87,0.85,0.69,0.77,0.86,0.74,0.88,0.51,0.84,0.91,0.93,0.93,0.82,0.69,0.92,0.80,0.69,0.65,0.75,0.79,0.75,0.61,0.59,0.50
PB Ratio,3.80,3.89,3.22,3.46,3.91,3.49,2.53,2.73,2.27,1.75,2.03,2.61,2.61,2.49,2.83,2.90,2.70,2.29,2.20,1.71,1.87,1.98,1.70,1.90,1.07,1.59,1.69,1.47,1.74,1.75,1.56,1.56,1.32,1.16,1.10,1.31,1.55,1.52,1.65,1.45,1.21
P/FCF Ratio,47.94,56.30,51.71,52.32,64.81,62.98,66.33,33.34,25.60,16.74,15.79,15.70,16.63,16.27,20.36,17.37,18.70,17.75,16.31,11.75,12.00,10.82,8.09,16.71,6.67,15.64,13.80,12.79,14.87,13.52,21.36,15.39,18.45,18.09,10.68,16.31,34.02,35.38,59.68,14.16,11.82
P/OCF Ratio,18.71,20.01,16.02,15.58,17.38,16.18,12.97,11.16,9.65,7.05,7.61,8.11,8.37,8.38,10.14,9.13,9.16,8.35,8.03,6.43,7.05,6.76,5.43,8.89,4.09,8.43,8.09,7.98,8.77,7.87,9.09,8.93,9.49,8.69,6.61,7.99,10.93,10.27,10.04,6.03,5.04
Debt / Equity Ratio,0.37,0.33,0.35,0.37,0.52,0.49,0.49,0.72,0.70,0.72,0.70,0.69,0.67,0.61,0.63,0.59,0.59,0.55,0.53,0.50,0.49,0.48,0.47,0.42,0.41,0.66,0.60,0.59,0.59,0.66,0.65,0.62,0.61,0.61,0.61,0.58,0.57,0.56,0.65,0.65,0.65
Quick Ratio,1.23,1.08,1.06,1.03,1.62,1.64,1.68,0.95,0.98,0.96,0.93,1.02,1.07,1.10,1.03,1.06,1.09,1.11,1.15,1.14,1.12,1.20,1.15,1.18,1.24,1.80,1.86,1.20,1.25,1.20,1.21,1.25,1.21,1.24,1.21,0.84,1.09,1.11,1.20,1.23,1.23
Current Ratio,1.58,1.40,1.39,1.37,2.08,2.08,2.14,1.33,1.38,1.34,1.35,1.39,1.44,1.52,1.43,1.46,1.52,1.59,1.66,1.59,1.62,1.66,1.58,1.65,1.76,2.36,2.35,1.62,1.68,1.69,1.78,1.74,1.72,1.78,1.72,1.56,1.59,1.62,1.65,1.65,1.65
Interest Coverage,28.71,31.61,27.50,21.31,26.10,13.97,15.95,8.59,12.48,12.62,6.90,15.14,16.31,17.01,16.02,12.03,21.00,21.13,20.36,18.79,18.93,18.50,18.33,-,15.83,-4.78,13.70,52.73,6.94,8.05,10.72,3.81,20.40,19.20,29.42,28.30,31.40,26.83,-,31.43,92.40
Return on Capital (ROIC),Upgrade,12.64%,12.96%,13.04%,13.44%,12.88%,11.87%,11.80%,10.01%,9.59%,10.14%,9.00%,12.12%,11.96%,12.11%,12.92%,5.82%,6.06%,7.18%,7.38%,15.32%,14.23%,12.68%,12.55%,12.06%,11.67%,6.53%,5.52%,3.17%,4.20%,7.16%,7.31%,4.43%,4.38%,3.84%,4.58%,8.03%,7.86%,8.08%,8.60%,8.04%
Dividend Yield,0.60%,0.80%,1.00%,0.90%,0.90%,0.90%,1.30%,1.20%,1.40%,1.80%,1.50%,1.30%,1.30%,1.30%,1.10%,1.20%,1.20%,1.50%,1.60%,2.00%,1.80%,1.60%,1.90%,1.60%,2.80%,1.90%,1.80%,1.80%,1.50%,1.40%,1.60%,1.50%,1.70%,2.00%,2.20%,1.70%,1.40%,1.40%,1.50%,1.60%,1.44%
Payout Ratio,17.90%,14.90%,17.80%,21.00%,16.50%,19.70%,18.60%,31.00%,17.30%,17.10%,33.30%,16.10%,15.70%,13.90%,15.90%,-24.60%,15.90%,13.10%,17.30%,15.30%,22.10%,20.20%,18.10%,15.90%,27.00%,-36.20%,31.50%,10.20%,63.00%,16.50%,42.50%,31.50%,20.20%,18.70%,14.50%,15.50%,18.30%,19.50%,52.40%,16.70%,16.48%
Buyback Yield / Dilution,1.63%,1.09%,0.78%,0.66%,0.98%,1.33%,1.17%,2.25%,3.94%,4.39%,5.41%,4.55%,2.71%,2.39%,1.29%,0.69%,0.68%,0.75%,1.10%,1.27%,1.76%,1.48%,1.15%,0.86%,0.43%,0.39%,-0.48%,-14.07%,-15.62%,-16.31%,-15.68%,-1.78%,-0.25%,0.67%,1.75%,2.25%,1.92%,1.51%,0.13%,0.38%,1.01%
Total Shareholder Return,2.23%,1.89%,1.78%,1.56%,1.88%,2.23%,2.47%,3.45%,5.34%,6.19%,6.91%,5.85%,4.01%,3.69%,2.39%,1.89%,1.88%,2.25%,2.70%,3.27%,3.56%,3.08%,3.05%,2.46%,3.23%,2.29%,1.32%,-12.27%,-14.12%,-14.91%,-14.08%,-0.28%,1.45%,2.67%,3.95%,3.95%,3.32%,2.91%,1.63%,1.98%,2.45%
