,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,265.62,517.02,250.51,551.45,629.45,134.17,-254.7,200.87,150.03,198.63,312.91,367.95,461.83,342.78,384.64,281.59,367.87,742.04,442.74,-10.87,481.3,305.79,779.44,483.15,"-1,066.49",568.27,794.72,748.87,"1,748","1,309","1,402","1,398","2,498",-255.75,3.7,557.85,210.68,"1,204",551.99,0
Depreciation & Amortization,26.26,25.57,25.09,25.01,24.8,23.62,29.53,23.49,22.83,22.83,21.67,15.62,10.96,10.96,10.96,13.89,14.49,14.49,14.48,15.56,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.8,18.78,18.7,18.7,18.7,18.7,18.7,14.89,14.81,13,9.07,0,0
Share-Based Compensation,237.29,0,0,"1,286",23.83,0,0,564.56,11.69,0,0,868.02,407.7,0,0,"1,488",373.16,0,0,"1,054",378.82,0,0,"1,234","-1,318.43",0,0,715.59,"1,276",0,0,"6,160","1,231",0,0,8.21,46.83,0,0,0
Other Operating Activities,451.09,320.6,-51.38,"-2,274.62",-42.62,807.13,8.27,224.64,23.98,-183.04,80.77,"-2,455.17",-729.36,"-1,390.52","-1,314.26","-2,428.23","-2,525.36","-1,647.38",863.65,327.17,-747.34,-159.21,281.18,"-1,145.48","3,367",-94.7,-677.33,"-1,172.23",-746.29,-428.27,183.07,"-8,390.65",-998.72,"2,127",964.33,134.27,82.22,512.8,-551.99,-
Operating Cash Flow,980.26,863.19,224.21,-412.66,635.47,964.92,-216.9,"1,014",208.53,38.41,415.35,"-1,203.58",151.12,"-1,036.78",-918.66,-644.43,"-1,769.83",-890.84,"1,321","1,386",130.53,164.33,"1,078",589.88,999.47,491.32,135.14,310.03,"2,297",899.58,"1,604",-813.95,"2,749","1,890",982.93,715.14,352.73,"1,726",0,0
Operating Cash Flow Growth,-11.23%,265.36%,-83.89%,-,-35.17%,11.79%,-,-,-67.18%,-96.02%,-,-,-27.53%,-,-,-,-,-,-,-,-,-,-18.36%,-57.43%,665.69%,198.97%,-87.47%,-47.44%,129.79%,83.10%,1086.71%,-,19.67%,110.06%,-38.71%,-,-87.17%,-8.68%,-,-
Capital Expenditures,-6.12,-7.5,-7.77,-8.89,-3.28,-13.26,-42.34,-0.37,-9.93,-6.23,-2.29,-3.37,-10.01,-3.66,-6.74,-3.94,-4.69,-4.21,0.14,-9.62,-18.86,-14.67,-15.62,-11.14,-12.43,-13.03,-45.44,-40.75,-20.74,-14.07,-9.65,-19.86,-56.15,-45.24,-85.39,-48.71,-69.56,-60.68,0,0
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168.91,0,0,0,-98.22,0,0,0,0,0,0,0,-55.17,0,0,0,0,0,0,0,0,-5.41,-0.01,0,0
Change in Investments,"-3,406.75",-,-,"-13,648.18",-,-,-,"-10,621.19",-,-,-,"-8,195.59","-3,583.32",-,-,"-37,446.71","-4,644.75",-,-,"-28,260.83","-1,582.14",-,-,"-10,645.24","-2,955.34",-,-,"-18,429.68","-2,710.3",-,-,"-11,971.41","-3,295.09",-,-,"-3,583.29","-1,746.07",-,-,-
Other Investing Activities,"3,413",-,0,"13,648",5.84,-,-,"10,621",5.84,-,-,"8,183","3,591",10.05,-6.6,"37,440","4,645",-,-,"28,261","1,582",-,-,"10,645","2,955",-,-,"18,430","2,710",-,-,"11,971","3,295",-,-,"3,583","1,746",-,-,-
Investing Cash Flow,-0.28,-7.5,-7.76,-8.88,2.57,-13.26,-42.34,-0.37,-4.09,-6.23,-2.29,-16.36,-2.02,6.39,-13.34,-179.25,-4.69,-4.21,0.14,-107.84,-18.86,-14.67,-15.62,-11.14,-12.43,-13.03,-45.44,-95.92,-20.74,-14.07,-9.65,-19.86,-56.15,-45.24,-85.39,-48.71,-74.97,-60.69,0,0
Dividends Paid,-708.86,-414.26,-657.24,-568.23,-970.96,"-1,075.81",-871.34,-579.24,-745.14,-330.62,-433.32,-509.59,-593.56,"-1,043.73",-672.98,-532.31,"-1,062.73",-426.61,-773.47,-783.6,-730.31,-453.38,-610.19,-602.87,-780.78,-473.97,-471.47,-659.35,"-1,255.13","-1,023.26",-925.25,"-1,398.93","-1,958.04","-1,663.67","-1,709.17","-1,187.9","-1,137.34","-1,052.74",0,0
Common Stock Issued,2.21,530.09,526.59,"1,577",507.86,"1,057",436.76,422.48,158.46,559.09,584.81,"2,019",996.89,"1,554","1,296","3,754","2,248",0,0,0,0.02,668.62,882.77,-1.68,0.1,-0.1,890.16,-1.52,0,0,0,0,0,0,0,0,0,-0.08,0,0
Share Repurchases,-19.13,-6.16,-8.57,-2.39,-27.63,-8.03,-22.1,-3.27,-13.26,-1.15,-12.05,-1.16,-12.73,-0.49,-15.51,-1.46,-12.35,-74.67,-224.51,-255.64,-61.4,-274.43,-162.38,-87.12,-268.72,-117.29,-118.07,-0.83,-18.2,-293.92,-382.44,-578.22,-32.06,-202.64,-227.06,-4.2,-108.1,-91.13,0,0
Other Financing Activities,-336.93,-542.12,-373.85,-120.21,-479.62,88.66,-111.62,-404.12,-95.76,-139.08,-290,-235.02,-103.34,-47.46,-140.15,"-1,725.48",-931.21,805.49,-422.29,-551.31,-199.17,-618.74,-466.12,-375.68,-605.75,-192.35,-241.75,-212.15,-125.52,-551.92,"1,500","-1,269.35","1,018",-39.58,-142.17,"1,422",-722.23,-227.91,-,-
Financing Cash Flow,"-1,024.46",-420.13,-495.94,890.61,-915.1,77.39,-524.09,-557.61,-669.19,90.54,-126.47,"1,275",312.72,462.97,498.4,"1,497",266.79,453.55,-971.25,"-1,079.28",-868.06,-129.06,-31.15,-893.11,"-1,117.72",-549.13,295.01,-872.2,"-1,362.45","-1,281.26",957.18,"-2,090.06",-908.11,"-1,500.61","-1,624.28",238.55,"-1,751.46","-1,189.59",0,0
Net Cash Flow,-44.48,435.55,-279.55,468.95,-277,"1,029",-784.24,456.92,-464.77,122.91,286.42,55.37,466.43,-558.13,-429.86,676.81,"-1,486.36",-451.2,347.6,198.64,-756.8,20.69,"1,035",-320.89,-137.32,-66.62,394.4,-649.66,907.25,-394.59,"2,548","-2,925.43","1,779",333.44,-738.3,919.35,"-1,472.42",474.36,0,0
Free Cash Flow,974.14,855.69,216.44,-421.55,632.19,951.65,-259.24,"1,013",198.6,32.18,413.06,"-1,206.95",141.12,"-1,040.43",-925.4,-648.37,"-1,774.52",-895.06,"1,321","1,376",111.67,149.67,"1,063",578.74,987.04,478.29,89.69,269.27,"2,276",885.51,"1,594",-833.81,"2,692","1,844",897.54,666.42,283.17,"1,665",0,0
Free Cash Flow Growth,-11.20%,273.74%,-84.41%,-,-35.10%,11.21%,-,-,-68.59%,-96.62%,-,-,-28.94%,-,-,-,-,-,-,-,-,-,-19.55%,-57.94%,783.87%,219.57%,-91.56%,-53.47%,130.58%,85.14%,1677.20%,-,18.30%,108.29%,-43.69%,-,-89.48%,-9.73%,-,-
Free Cash Flow Margin,70.49%,42.96%,16.57%,-22.84%,27.08%,87.93%,-292.12%,123.82%,24.05%,3.14%,33.93%,-91.25%,8.79%,-77.15%,-63.93%,-42.93%,-120.89%,-39.25%,84.35%,285.74%,6.44%,11.47%,72.09%,34.86%,-,22.42%,3.67%,9.67%,55.54%,22.93%,35.76%,-19.69%,69.40%,242.53%,92.14%,43.89%,21.75%,67.58%,-,-
Free Cash Flow Per Share,1.61,1.40,0.35,-0.67,1.00,1.50,-0.41,1.57,0.17,0.03,0.35,-1.83,0.12,-0.87,-0.77,-0.96,-1.47,-1.31,1.10,2.04,0.09,0.22,1.57,0.86,1.46,0.40,0.13,0.38,3.21,1.23,2.21,-1.15,3.66,2.61,1.21,0.90,0.38,2.19,-,-
