,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,428.24,381.87,615.36,740.88,379.03,336.42,440.36,540.4,489.23,431.77,446.35,762.58,533.28,535.68,955.61,751.77,642.85,531.48,550.47,777.22,604.95,535.62,577.46,971.78,628.45,"1,214","1,482","1,896","1,910","2,143","2,768","2,431","1,657","1,193","1,125","1,318","1,231","1,261","1,252","1,265"
Short-Term Investments,62.83,71.32,70.16,63.47,64.97,69.68,63.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,196",0,"1,202",0,"1,318","1,295",0,0,0
Cash & Cash Equivalents,428.24,381.87,615.36,740.88,379.03,336.42,440.36,540.4,489.23,431.77,446.35,762.58,533.28,535.68,955.61,751.77,642.85,531.48,550.47,777.22,604.95,535.62,577.46,971.78,628.45,"1,214","1,482","1,896","1,910","2,143","2,768","2,431","1,657","1,193","1,125","1,318","1,231","1,261","1,252","1,265"
Cash Growth,-17.44%,-21.35%,22.43%,50.61%,-11.49%,-11.90%,-28.44%,-27.06%,29.07%,28.34%,1.36%,41.11%,9.00%,24.07%,114.10%,-1.42%,20.55%,-0.78%,-42.40%,3.38%,-5.90%,0.78%,4.90%,25.03%,3.88%,126.69%,156.63%,95.13%,203.97%,76.48%,86.77%,28.20%,-13.24%,-44.34%,-59.35%,-45.77%,-25.70%,5.73%,11.30%,-4.04%
Receivables,"1,726","2,378","2,247","2,243","2,617","2,355","2,861","4,239","3,069","3,221","4,042","3,882","3,184","3,723","4,278","4,135","4,283","4,813","5,009","5,011","5,350","5,367","5,433","6,223","5,954","5,516","5,555","6,415","5,304","6,138","6,369","7,006","6,836","6,712","6,520","6,445","6,984","7,331","7,306","6,370"
Inventory,128.31,86.82,71.47,45.6,47.52,36.98,43.6,-148.19,-149.35,-160.3,-142.33,-110.82,-142.07,-124.67,-117.07,-154.38,-185.03,-193.4,-191.18,-158.89,-274.65,-160.19,784.19,-154.36,391.8,-168.48,449.58,-150.26,373.04,-207.36,462.98,-262.83,-408.11,-530.84,410.41,-470.45,-522.63,-538.85,425.46,0
Other Current Assets,-12.01,-24.34,-14.58,-35.38,-8.28,-3.67,3.31,220.96,212.72,230.81,213.08,179.66,201.11,199.39,201.86,227.42,263.99,265.27,268.65,245.61,357.37,237.8,264.28,276.32,289.67,268,285.22,293.32,318.72,321.35,475.55,-824.43,543.4,-532.98,534.38,-760.7,-683.99,635,343.11,0
Total Current Assets,"2,333","2,893","2,989","3,057","3,101","2,795","3,412","4,852","3,622","3,723","4,559","4,713","3,777","4,334","5,318","4,960","5,005","5,416","5,637","5,875","6,037","5,980","7,059","7,316","7,264","6,830","7,771","8,455","7,906","8,395","10,075","9,546","8,629","8,042","8,590","7,850","8,304","8,688","9,327","7,635"
"Property, Plant & Equipment",446.66,455.32,455.86,497.93,479.75,484.03,503.67,529.82,528.35,533.58,550.78,560.76,551.63,556.48,574.27,617.74,633.67,705.47,702.43,721.69,"1,669","1,696","1,762","1,834","1,799","1,888","1,876","1,835","1,775","1,744","1,696","1,862","1,823","1,819","1,761","1,869","1,814","1,833","1,850","1,937"
Long-Term Investments,201.58,214.41,219.44,218.28,209.81,222.54,231.91,217.94,220.53,226.74,249.88,232.24,242.49,246.72,233.63,238,228.95,233.89,195.32,216.17,228.41,307.31,328.58,426.71,422.91,386.12,392.57,854.87,"1,085","1,150","1,248","1,196","1,124","1,202","1,461","1,318","1,295","1,307","1,316",0
Goodwill,"2,305","2,335","2,315","2,334","2,267","2,314","2,997","3,086","3,134","3,061","3,045","2,981","3,020","3,096","3,135","3,255","3,279","3,407","3,643","3,652","3,664","3,664","3,627","3,753","3,674","3,696","3,744","3,822","3,805","3,892","3,875","4,995","4,977","4,795","4,661","4,868","4,934","5,044","4,962",0
Intangible Assets,830.37,816.67,815.37,802.36,789.02,806.1,"1,527","1,450","1,416","1,396","1,415","1,411","1,403","1,399","1,401","1,399","1,399","1,448","1,403","1,441","1,339","1,331","1,326","1,380","1,340","1,331","1,334","1,368","1,370","1,345","1,346","2,409","2,339","2,257","2,146","2,193","2,153","2,130","2,064",0
Other Long-Term Assets,726.75,756.9,735.18,775.4,779.37,838.91,883.7,881.7,914.12,981.85,957.54,881.1,933.57,974.65,989.77,"1,014","1,363","1,324","1,396","1,550","1,756","1,741",938.26,"1,487","1,182","1,570","1,229","1,705","1,307","1,932","1,490","2,065","2,251","2,324","1,596","2,416","2,530","2,731","2,168",0
Total Long-Term Assets,"4,510","4,578","4,541","4,628","4,525","4,665","6,143","6,166","6,213","6,199","6,218","6,067","6,151","6,273","6,334","6,524","6,902","7,119","7,340","7,582","8,656","8,739","7,982","8,881","8,417","8,871","8,576","9,585","9,342","10,063","9,655","12,528","12,514","12,396","11,625","12,664","12,726","13,044","12,361","9,147"
Total Assets,"6,843","7,472","7,530","7,685","7,626","7,460","9,555","11,018","9,835","9,923","10,777","10,780","9,927","10,606","11,652","11,484","11,907","12,535","12,977","13,457","14,693","14,719","15,041","16,197","15,680","15,700","16,347","18,039","17,249","18,458","19,730","22,073","21,143","20,439","20,215","20,513","21,030","21,732","21,687","22,548"
Accounts Payable,734.09,770.49,711.1,827.53,702.13,764.52,"1,320","1,484","1,351","1,382","1,366","1,446","1,321","1,427","1,506","1,674","1,505","1,642","1,674","1,920","1,834","2,064","2,085","2,436","2,365","2,329","2,429","2,693","2,469","2,485","2,605","2,916","2,882","2,825","2,720","3,079","3,008","2,886","2,901",0
