,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,-,"13,566","13,819","18,238","20,654","13,911","17,654","15,272","20,138","19,389","14,714"
Market Cap Growth,-,-,1.86%,31.98%,13.24%,-32.65%,26.91%,-13.49%,31.86%,-3.72%,-
Enterprise Value,"5,457","25,091","23,696","31,244","31,866","26,931","28,292","10,822","17,670","24,429","16,576"
PE Ratio,-,15.68,16.59,17.69,12.61,8.22,10.28,16.08,9.13,9.89,7.83
PS Ratio,-,2.91,3.06,3.73,3.84,2.40,2.90,2.89,2.85,2.57,1.89
PB Ratio,-,0.70,0.70,0.92,1.02,0.67,0.80,0.67,0.86,0.82,0.64
P/FCF Ratio,-,12.54,14.62,15.33,14.04,9.06,11.02,-2181.73,9.36,4.86,4.06
P/OCF Ratio,-,9.76,11.24,12.24,10.97,7.87,10.40,137.59,8.85,4.71,3.94
EV/Sales Ratio,1.30,5.38,5.24,6.39,5.92,4.64,4.64,2.05,2.50,3.24,2.13
EV/EBITDA Ratio,-1.78,15.17,13.72,15.35,13.36,10.19,10.06,6.12,5.06,7.86,5.52
EV/EBIT Ratio,-1.57,19.79,18.87,20.56,16.79,12.50,12.99,9.09,6.17,9.61,6.54
EV/FCF Ratio,2.37,23.19,25.07,26.26,21.66,17.54,17.66,-1546.02,8.21,6.12,4.58
Debt / Equity Ratio,0.44,0.79,0.68,0.87,0.71,0.83,0.65,0.38,0.30,0.67,0.77
Debt / EBITDA Ratio,-2.76,9.17,7.71,8.43,6.05,6.52,5.09,4.86,2.01,5.11,5.86
Debt / FCF Ratio,3.66,14.02,14.09,14.41,9.81,11.23,8.94,-1227.00,3.26,3.98,4.85
Asset Turnover,-,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04
Return on Equity (ROE),-,4.50%,4.30%,5.10%,8.20%,8.30%,7.80%,4.20%,9.50%,8.40%,8.30%
Return on Assets (ROA),-,0.70%,0.60%,0.70%,1.10%,1.10%,1.10%,0.50%,1.20%,0.90%,0.90%
Return on Capital (ROIC),-12.55%,2.51%,2.54%,2.82%,4.75%,4.51%,4.86%,3.31%,7.54%,5.17%,5.05%
Earnings Yield,-,6.38%,6.03%,5.65%,7.93%,12.16%,9.73%,6.22%,10.95%,10.11%,13.27%
FCF Yield,-,7.98%,6.84%,6.52%,7.12%,11.03%,9.07%,-0.05%,10.68%,20.59%,24.62%
Dividend Yield,-,0.40%,1.50%,1.30%,1.50%,3.30%,3.30%,4.40%,3.30%,4.10%,5.32%
Payout Ratio,0.00%,6.50%,25.80%,23.40%,19.60%,27.70%,35.60%,70.30%,30.10%,39.30%,41.69%
Buyback Yield / Dilution,-,0.41%,3.50%,2.66%,3.86%,4.62%,6.08%,5.11%,0.17%,-11.78%,5.29%
Total Shareholder Return,-,0.81%,5.00%,3.96%,5.36%,7.92%,9.38%,9.51%,3.47%,-7.68%,10.61%
