,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"1,795","1,161","1,355","1,089",859,"1,059","1,445",970,"1,014","1,085","1,298","1,315","1,347","1,241","1,380","1,535",851,833,841,726,843,863,948,883,854,997,989,888,995,937,958,832,877,858,938,775,867,819,951,966
Cash & Cash Equivalents,"1,795","1,161","1,355","1,089",859,"1,059","1,445",970,"1,014","1,085","1,298","1,315","1,347","1,241","1,380","1,535",851,833,841,726,843,863,948,883,854,997,989,888,995,937,958,832,877,858,938,775,867,819,951,966
Cash Growth,92.60%,31.33%,87.93%,13.20%,-52.14%,-8.79%,6.64%,-10.93%,18.04%,2.46%,-10.17%,35.57%,32.84%,14.38%,6.32%,16.73%,-36.82%,-32.88%,-39.06%,-52.70%,-0.94%,3.60%,12.72%,21.63%,1.30%,15.53%,4.32%,0.57%,16.51%,-6.02%,-3.13%,-6.31%,-11.86%,-8.43%,-2.09%,-6.85%,-1.14%,-4.55%,1.39%,24.65%
Receivables,"1,670","1,803","1,747","1,552","1,611","1,691","1,561","1,427","1,546","1,575","1,560","1,411","1,496","1,526","1,530","1,480","1,644","1,545","1,532","1,400","1,547","1,590","1,495","1,440","1,551","1,231","1,292","1,264","1,402","1,443","1,424","1,297","1,532","1,490","1,425","1,504","1,590","1,656","1,577","1,586"
Inventory,"1,478","1,508","1,422","1,382","1,350","1,324","1,277","1,180","1,234","1,232","1,193","1,171","1,189","1,199","1,205","1,221","1,312","1,254","1,245","1,250","1,278","1,322","1,371","1,400","1,301","1,524","1,578","1,673","1,676","1,700","1,670","1,692","1,924","2,012","2,073","2,074","2,110","2,039","1,931","1,934"
Other Current Assets,734,702,657,840,880,914,806,807,696,722,713,441,564,589,621,403,485,540,523,417,465,480,535,456,542,460,508,513,490,572,618,576,656,800,842,760,899,923,898,793
Total Current Assets,"5,677","5,174","5,181","4,863","4,700","4,988","5,089","4,384","4,490","4,614","4,764","4,338","4,596","4,555","4,736","4,639","4,292","4,172","4,141","3,793","4,133","4,255","4,349","4,179","4,248","4,212","4,367","4,338","4,563","4,652","4,670","4,397","4,989","5,160","5,278","5,113","5,466","5,437","5,357","5,279"
"Property, Plant & Equipment","4,037","4,077","4,038","4,080","3,968","4,039","3,959","3,796","3,820","3,825","3,837","3,840","3,883","3,930","3,999","4,072","4,087","3,908","3,871","3,881","3,821","3,793","3,689","3,750","3,487","3,483","3,506","3,716","3,609","3,665","3,633","3,730","3,752","3,765","4,123","4,307","4,363","4,431","4,409","4,582"
Goodwill and Intangibles,"3,985","3,975","3,779","3,720","3,542","3,612","3,506","3,449","3,531","3,517","3,527","3,420","3,446","3,531","3,559","3,559","4,354","4,218","4,199","4,167","4,129","4,145","6,067","6,175","6,381","6,415","6,549","6,718","6,488","6,540","6,404","5,746","5,707","5,552","5,757","5,272","5,293","5,274","5,188","5,297"
Other Long-Term Assets,733,762,687,796,946,"1,021","1,009",306,607,559,495,525,523,564,481,406,411,352,360,320,800,958,921,930,954,"1,031","1,044","1,148","1,141","1,142","1,173","1,167","1,275","1,234","1,130","1,039","1,051","1,085","1,089","1,235"
