,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"3,054","1,529","4,547","3,910","3,937","3,486","1,893","2,316","5,628","4,665","2,807","5,073","4,022","2,693","4,114","3,428","6,030","5,726","10,616","3,814","3,498","3,919","3,507","5,500","8,516","13,935","13,707","11,740","14,950","12,378","11,806","8,711","8,880","6,822","5,695","4,749","5,535","7,146","6,435","6,215"
Short-Term Investments,"2,389","2,325",531,602,158,144,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"5,443","3,854","5,078","4,512","4,095","3,630","2,030","2,316","5,628","4,665","2,807","5,073","4,022","2,693","4,114","3,428","6,030","5,726","10,616","3,814","3,498","3,919","3,507","5,500","8,516","13,935","13,707","11,740","14,950","12,378","11,806","8,711","8,880","6,822","5,695","4,749","5,535","7,146","6,435","6,215"
Cash Growth,16.30%,-25.22%,-11.46%,-14.72%,-24.77%,-5.81%,-60.02%,-48.67%,37.44%,28.51%,38.28%,119.04%,-28.54%,-42.27%,46.56%,-32.43%,49.93%,112.63%,158.05%,11.26%,-41.99%,-31.56%,-66.96%,44.21%,143.45%,255.58%,290.85%,113.45%,75.55%,-11.17%,-13.87%,-25.80%,-40.60%,-44.89%,-51.76%,-45.48%,-37.67%,4.75%,12.99%,30.87%
Receivables,"6,151","6,232","6,172","6,321","6,144","7,016","6,527","6,896","6,375","6,708","7,533","7,955","7,525","7,849","7,915","8,834","8,759","8,847","8,983","11,104","10,736","10,835","10,684","11,292","10,800","10,227","10,310","11,466","10,986","11,110","11,974","12,008","12,300","11,956","11,918","12,672","12,287","12,980","12,835","13,813"
Other Current Assets,"2,449","2,686","2,686","2,698","2,682","2,673","2,944","3,091","3,177","3,404","4,888","3,333","3,698","4,290","3,931","4,081","3,964","3,642","3,607","6,930","6,039","6,607","8,132","8,600","4,768","3,323","3,352","3,535","3,502","3,558","3,647","4,088","4,201","5,414","5,803","4,405","4,555","4,796","4,871","3,959"
Total Current Assets,"14,043","12,772","13,936","13,531","12,921","13,319","11,501","12,303","15,180","14,777","15,228","16,361","15,245","14,832","15,960","16,343","18,753","18,215","23,206","21,848","20,273","21,361","22,323","25,392","24,084","27,485","27,369","26,741","29,438","27,046","27,427","24,807","25,381","24,192","23,416","21,826","22,377","24,922","24,141","23,987"
"Property, Plant & Equipment","29,588","29,970","30,362","30,953","31,127","31,572","32,170","33,665","34,122","34,896","35,656","36,253","36,626","37,171","37,856","38,470","39,068","39,355","39,855","44,437","45,721","46,047","46,790","48,322","48,442","48,985","50,466","51,995","52,317","52,769","52,809","54,047","53,820","53,508","53,555","55,485","56,279","56,851","58,165","59,686"
Long-Term Investments,"3,090","3,072","3,129","3,135","3,235","2,999","3,323","3,224","3,638","3,679","3,857","5,247","5,938","6,521","6,695","6,931","7,095","7,438","7,724","7,883","9,159","8,438","8,289","7,683","7,080","7,378","7,131","8,267","8,376","9,467","9,726","8,687","8,933","8,240","7,857","7,740","8,298","8,241","8,360","9,385"
Goodwill and Intangibles,"104,475","104,825","104,768","104,499","104,463","104,435","104,882","110,468","111,044","111,795","114,741","113,868","116,449","116,646","116,628","115,890","116,205","116,304","115,940","167,623","167,282","165,333","164,899","168,095","161,255","160,905","162,748","165,423","164,332","164,115","162,384","163,134","160,885","156,579","144,383","147,167","147,329","147,168","145,304","146,500"
Other Long-Term Assets,"6,577","6,820","7,042","7,068","7,011","7,349","7,082","6,914","6,615","6,838","8,442","8,771","8,221","7,861","8,162","9,828","9,755","9,936","13,910","9,893","13,754","15,376","14,073","13,922","21,560","21,225","21,226","21,443","24,048","23,607","24,715","25,230","25,055","24,513","25,097","25,057","25,146","24,965","25,102","25,253"
Total Long-Term Assets,"143,730","144,687","145,301","145,655","145,836","146,355","147,457","154,271","155,419","157,208","162,696","164,139","167,234","168,199","169,341","171,119","172,123","173,033","177,429","229,836","235,916","235,194","234,051","238,022","238,337","238,493","241,571","247,128","249,073","249,958","249,634","251,098","248,693","242,840","230,892","235,449","237,052","237,225","236,931","240,824"
Total Assets,"157,773","157,459","159,237","159,186","158,757","159,674","158,958","166,574","170,599","171,985","177,924","180,500","182,479","183,031","185,301","187,462","190,876","191,248","200,635","251,684","256,189","256,555","256,374","263,414","262,421","265,978","268,940","273,869","278,511","277,004","277,061","275,905","274,074","267,032","254,308","257,275","259,429","262,147","261,072","264,811"
Accounts Payable,"5,534","5,432","5,680","5,638","6,157","5,880","5,996","6,215","6,333","6,359","6,594","6,915","6,658","6,730","6,976","6,908","7,349","6,940","7,036","8,494","10,232","10,014","10,198","10,826","9,963","10,426","10,979","11,364","11,148","11,672","12,020","12,455","12,707","12,304","12,241","12,544","12,159","12,213","12,214","12,437"
Deferred Revenue,776,847,976,915,970,"1,122","1,265","1,302","1,393","1,611","1,340","1,132","1,234","1,448","1,572","1,687","1,578","1,746","1,633","2,182","2,485","2,642","2,944","2,768","2,634","2,403","2,888","2,963","3,376","3,566","3,091","3,040","3,018","2,787","2,757","2,380","2,663","3,327","3,566","3,242"
Current Debt,"2,819","2,947","3,523","4,217","4,180","3,887","3,152","3,627","4,119","2,934","3,333","5,480","3,509","6,358","5,241","5,134","3,039","2,634","3,173","4,398","4,629","6,365","1,039","4,452","2,973","4,046","4,429","3,146","4,777","3,407",695,"2,132","2,117","2,083","2,047","1,743","6,303","7,697","8,152","2,069"
Other Current Liabilities,"8,674","8,149","6,905","6,640","7,195","6,676","6,946","7,034","7,239","6,697","6,771","8,008","7,673","7,740","7,660","8,264","7,213","7,687","7,785","12,529","10,571","11,987","11,808","12,246","12,030","11,570","11,215","11,323","11,510","10,669","10,932","11,721","11,815","10,411","10,954","11,220","11,290","9,688","10,536","22,450"
Total Current Liabilities,"17,803","17,375","17,084","17,410","18,502","17,565","17,359","18,178","19,084","17,601","18,038","21,535","19,074","22,276","21,449","21,993","19,179","19,007","19,627","27,603","27,917","31,008","25,989","30,292","27,600","28,445","29,511","28,796","30,811","29,314","26,738","29,348","29,657","27,585","27,999","27,887","32,415","32,925","34,468","40,198"
Long-Term Debt,"44,581","43,602","44,827","43,864","42,953","44,636","44,605","48,994","51,515","52,629","57,095","55,566","58,276","57,210","59,720","59,422","63,678","61,946","69,711","107,345","104,464","101,248","105,012","102,931","105,770","105,931","105,162","105,782","104,104","100,344","101,691","97,888","97,614","96,630","95,576","98,240","94,403","94,972","94,351","95,021"
Other Long-Term Liabilities,"43,757","44,150","43,673","44,844","44,791","44,744","45,029","45,424","45,488","46,479","46,968","47,225","47,481","47,697","47,869","36,588","37,309","38,552","38,952","44,234","47,946","46,469","46,213","46,317","46,268","46,811","46,696","47,553","49,496","50,830","51,326","51,179","50,811","50,259","49,800","49,521","49,578","49,571","49,090","46,366"
Total Long-Term Liabilities,"88,338","87,752","88,500","88,708","87,744","89,380","89,634","94,418","97,003","99,108","104,063","102,791","105,757","104,907","107,589","96,010","100,987","100,498","108,663","151,579","152,410","147,717","151,225","149,248","152,038","152,742","151,858","153,335","153,600","151,174","153,017","149,067","148,425","146,889","145,376","147,761","143,981","144,543","143,441","141,387"
Total Liabilities,"106,141","105,127","105,584","106,118","106,246","106,945","106,993","112,596","116,087","116,709","122,101","124,326","124,831","127,183","129,038","118,003","120,166","119,505","128,290","179,182","180,327","178,725","177,214","179,540","179,638","181,187","181,369","182,131","184,411","180,488","179,755","178,415","178,082","174,474","173,375","175,648","176,396","177,468","177,909","181,585"
Total Debt,"47,400","46,549","48,350","48,081","47,133","48,523","47,757","52,621","55,634","55,563","60,428","61,046","61,785","63,568","64,961","64,556","66,717","64,580","72,884","111,743","109,093","107,613","106,051","107,383","108,743","109,977","109,591","108,928","108,881","103,751","102,386","100,020","99,731","98,713","97,623","99,983","100,706","102,669","102,503","97,090"
