,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"44,170","44,198","47,213","45,815","45,895","43,476","48,069","39,337","38,403","36,553","32,523","36,351","42,076","41,652","39,903","40,949","48,271","46,596","44,703","45,417","35,804","38,221","42,611","42,791","47,927","23,048","28,498","32,814","45,214","58,429","69,841","72,257","61,754","54,310","40,952","35,376","35,483","36,645","41,758","37,019","52,264"
Market Cap Growth,31.08%,38.14%,28.68%,13.86%,3.91%,-1.63%,1.81%,-14.14%,-16.32%,-15.93%,-32.34%,-7.59%,9.56%,13.95%,22.69%,12.65%,14.72%,11.87%,12.03%,10.91%,-25.83%,-17.97%,-4.68%,-5.78%,33.86%,-39.70%,-33.12%,-23.32%,-5.66%,153.51%,145.07%,120.20%,36.58%,-7.05%,-41.36%,-51.04%,-42.54%,-32.53%,1.97%,4.64%,-
Enterprise Value,"78,533","68,134","79,595","81,910","87,110","75,614","86,679","75,278","89,495","81,815","84,555","87,077","92,560","80,776","83,142","91,923","94,512","83,281","85,740","86,740","81,523","71,110","76,733","75,820","90,217","53,793","17,580","31,503","45,244","46,384","71,338","83,134","83,094","72,864","78,337","65,091","53,342","38,909","50,420","41,397","56,642"
PE Ratio,10.90,10.65,11.15,10.90,10.57,10.06,12.09,9.84,9.92,9.81,8.63,9.96,11.98,12.64,11.83,11.85,28.33,20.84,14.41,13.00,6.27,6.62,7.76,8.04,9.23,9.51,-241.51,35.25,19.04,8.33,6.09,5.95,5.16,4.92,4.29,4.33,5.04,6.53,8.33,7.25,10.28
PS Ratio,2.33,2.34,2.51,2.46,2.45,2.31,2.58,2.10,2.03,1.94,1.71,1.91,2.21,2.21,2.09,2.11,2.45,2.29,2.09,2.07,1.61,1.71,1.92,1.93,2.14,1.23,1.86,1.95,2.48,2.40,2.28,2.28,1.91,1.70,1.34,1.20,1.25,1.36,1.58,1.41,1.98
PB Ratio,1.06,1.03,1.08,1.04,1.02,0.95,1.03,0.83,0.81,0.77,0.68,0.75,0.89,0.87,0.81,0.82,0.99,0.95,0.90,0.90,0.69,0.72,0.76,0.74,0.83,0.41,0.51,0.56,0.75,0.96,1.08,1.14,1.01,0.96,0.77,0.70,0.68,0.67,0.77,0.69,0.97
P/FCF Ratio,4.82,4.39,5.04,5.30,5.21,5.71,5.83,3.89,4.00,3.12,2.78,3.51,3.80,4.14,3.51,3.71,3.67,4.01,3.76,3.72,2.96,2.48,2.74,2.74,3.04,1.41,1.79,2.13,2.83,4.79,5.60,6.23,5.32,5.52,4.70,3.73,2.76,2.30,2.56,1.79,2.53
P/OCF Ratio,4.42,4.10,4.73,4.96,4.93,5.34,5.50,3.71,3.79,2.99,2.63,3.31,3.55,3.82,3.24,3.39,3.40,3.69,3.48,3.46,2.76,2.35,2.60,2.60,2.88,1.34,1.70,2.03,2.71,4.52,5.30,5.89,5.02,5.13,4.31,3.43,2.57,2.17,2.42,1.71,2.42
Debt / Equity Ratio,0.98,0.70,0.89,0.96,1.08,0.90,0.98,0.90,1.25,1.06,1.23,1.24,1.27,1.01,1.02,1.19,1.24,1.03,1.07,1.03,1.14,0.94,0.88,0.86,0.96,0.98,0.80,0.73,0.67,0.63,0.56,0.59,0.71,0.81,1.10,1.07,0.93,0.89,0.92,0.92,0.92
Return on Capital (ROIC),Upgrade,5.19%,5.89%,5.20%,5.00%,4.73%,5.11%,4.42%,4.52%,3.78%,3.97%,3.72%,3.59%,3.49%,3.68%,3.68%,3.43%,1.75%,2.46%,3.22%,3.60%,5.45%,5.86%,5.52%,5.19%,4.87%,1.98%,-0.85%,0.22%,1.60%,6.87%,11.72%,12.41%,11.90%,11.28%,8.87%,8.11%,7.27%,5.72%,5.07%,5.26%
