,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,3411765000,3982899000,342047000,-3698539000,-91356000,-351132000,-4374788000,3231857000,463078000,151124000,313935000
paymentsForOperatingActivities,0,0,0,3793000,190000,43440000,39420000,40052000,54077000,42407000,4981000
proceedsFromOperatingActivities,,,,,,,,,,,
changeInOperatingLiabilities,110697000,174621000,-71119000,94931000,23762000,1449000,-115855000,-1738000,-77088000,-3552000,56113000
changeInOperatingAssets,46563000,-3545000,-53931000,38989000,3938000,-46967000,115619000,20244000,97280000,-3024000,-168762000
depreciationDepletionAndAmortization,10922000,12612000,17099000,23018000,31580000,42027000,40114000,40348000,41208000,36982000,31967000
capitalExpenditures,4406000,29616000,7113000,44648000,10281000,25548000,15749000,12393000,15231000,15735000,21205000
changeInReceivables,11976000,-95730000,46510000,8733000,-8360000,1001000,-24852000,173234000,67126000,-30547000,-117896000
changeInInventory,-41702000,,,14774000,,,,,,,
profitLoss,771463000,1606349000,406100000,840208000,-429659000,-1093654000,-544635000,-557001000,-78896000,-97405000,-2265000
cashflowFromInvestment,-37910000,-299838000,-306667000,-480325000,-691591000,72971000,-19078000,-26124000,-26080000,13326000,-72363000
cashflowFromFinancing,59820000,1374856000,1958735000,6582673000,-725324000,-2882120000,3378819000,-5609893000,460129000,-1602392000,-591865000
proceedsFromRepaymentsOfShortTermDebt,0,0,0,0,-20000000,-150000000,0,-21073000,-52100000,-22000,0
paymentsForRepurchaseOfCommonStock,,,,,,,,,,,
paymentsForRepurchaseOfEquity,,,,,,,,,,,
paymentsForRepurchaseOfPreferredStock,,,,,,,,,,,
dividendPayout,,,,,,,,,,,
dividendPayoutCommonStock,,,,,,,,,,,
dividendPayoutPreferredStock,,,,,,,,,,,
proceedsFromIssuanceOfCommonStock,,,,,,,,,,,
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,,,1973585000,0,0,0,0,0,0,0,0
proceedsFromIssuanceOfPreferredStock,,,,,,,,,,,
proceedsFromRepurchaseOfEquity,59820000,90478000,36616000,50472000,25866000,18031000,13145000,15303000,13435000,12199000,16273000
proceedsFromSaleOfTreasuryStock,,,,,,,,,,,
changeInCashAndCashEquivalents,3433675000,1606349000,406780000,2403809000,-1508271000,-3160281000,-1015047000,-2404160000,897127000,-1437942000,
changeInExchangeRate,,,,,,,,,,,
netIncome,771463000,1606349000,406100000,840208000,-429659000,-1093654000,-544635000,-557001000,-78896000,-97405000,-2265000
freeCashflow,3407359000.0,3953283000.0,334934000.0,-3743187000.0,-101637000.0,-376680000.0,-4390537000.0,3219464000.0,447847000.0,135389000.0,292730000.0
startPeriod,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31
endPeriod,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,,429.54,294.0,368.9,261.63,198.08,116.3,78.29,87.63,74.31,114.43
stockLow,,208.0,213.22,224.51,150.12,40.83,44.15,31.83,31.55,46.43,68.15
stockAverage,,259.74,246.56,290.37,196.4,97.48,69.55,52.88,59.76,59.59,84.09
